,comments
0,主持人是让我们更了解才这样问的
1,致敬
2,云数据需要大量大体解剖
3,凌晨一点做解剖的。。。
4,逝者也伟大
5,肺部粘液。。。
6,从而起到保护的作用
7,负压就是因为气压的原因，空气只能进不能出
8,致敬
9,致敬
10,多多益善，老师辛苦了
11,致敬
12,致敬
13,致敬
14,致敬
15,致敬
16,我不是
17,致敬捐赠者！好人一生平安
18,致敬
19,闷的很...辛苦了
20,不是天天宣传带两层口罩没用吗？
21,不管多好的选题，董倩来做也就废了。
22,致敬
23,病理学是临床医学的基础
24,致敬
25,致敬
26,好闷啊 辛苦了
27,感动
28,致敬
29,她问的问题……
30,主持人问的问题毫无水准
31,我也觉得记者问的问题没打中要害
32,感谢家属，感谢记者，更感谢和崇敬专家！
33,觉得国家应该给同意解剖的家属给与相应的补偿
34,安息
35,致敬
36,辛苦
37,敬
38,致敬英雄
39,致敬
40,致敬
41,小孩应该没几个死的，指的应该是确诊
42,致敬
43,致敬
44,致敬！
45,逝者安息
46,算个教训吧，以后得研制新型防护服了
47,天哪，就没有那种类似宇航服的……
48,致敬
49,太难了
50,致敬
51,致敬
52,董倩在武汉几个月了吧……
53,致敬
54,央视新闻评论部都是大神
55,致敬
56,谢谢您
57,辛苦了
58,致敬
59,鞠躬
60,辛苦
61,佩服
62,致敬
63,致敬
64,致敬
65,致敬
66,感谢大体老师
67,致敬
68,致敬
69,致敬
70,加油
71,致敬！
72,致敬
73,致敬
74,逝者安息！愿天堂没有痛苦！
75,加油
76,致敬
77,致敬
78,法医秦明里有这么一句话，大量可靠数据可作为科学依据，从而提供参考性，真的很不容易，解剖是非常非常累的，致敬
79,致敬
80,辛苦了
81,怎么又是这个记者
82,变成星星照亮我们这些走夜路的人
83,感谢大体老师
84,致敬
85,看过七龙珠应该知道，贝吉塔训练时的那个空间，然而这里，可以把病毒颗粒看做是贝吉塔
86,致敬
87,辛苦了
88,致敬
89,你还真是个好奇宝宝
90,致敬
91,控制变量
92,致敬
93,谢谢
94,致敬
95,致敬
96,致敬！
97,中国加油
98,致敬！
99,他们给的诊断基本上都是临床治疗过程中的金标准
100,应该是病理医生
101,加油
102,我也想说基本统计学原理吧～
103,尊重大体，我们那时候都要鞠躬的，大体老师
104,致敬
105,致敬
106,致敬！
107,辛苦了
108,致敬
109,致敬
110,感谢
111,适者安息，愿天堂没有肺炎。
112,致敬
113,致敬
114,致敬
115,致敬
116,致敬
117,致敬
118,病理学乃医学中的医学
119,致敬
120,太伟大
121,致敬
122,致敬
123,致敬
124,致敬
125,硬核弹幕
126,致敬
127,愿逝者安息
128,致敬
129,致敬！！！
130,致敬
131,致敬
132,致敬
133,致敬！
134,大体老师，学护理表示每次解剖实践课之前都要像大体老师鞠躬
135,负压是什么意思
136,致敬！
137,真厉害！
138,致敬
139,辛苦了致敬专家
140,太不容易了
141,太辛苦了
142,尸体称大体，以示尊重
143,致敬
144,主持人问的都是什么
145,致敬
146,尊敬
147,致敬专家
148,您辛苦了
149,牺牲者的意志值得敬佩
150,致敬
151,第一刀
152,防止污染的空气流出去
153,防毒面具透气的
154,致敬
155,致敬！
156,致敬
157,致敬
158,致敬
159,致敬
160,致敬
161,此致敬礼
162,致敬
163,致敬
164,致敬
165,致敬
166,致敬
167,致敬
168,致敬
169,致敬
170,致敬
171,致敬
172,致敬
173,致敬
174,致敬
175,这主持人问的啥子问题
176,致敬
177,人类的赞歌就是勇气的赞歌！
178,致敬！
179,致敬
180,致敬
181,致敬
182,致敬
183,致敬英雄！
184,感谢大体老师
185,致敬
186,致敬
187,致敬
188,加油
189,致敬
190,对
191,致敬
192,致敬
193,致敬
194,致敬致敬
195,致敬
196,还我颜色
197,致敬！
198,致敬
199,真的很辛苦
200,致敬
201,致敬
202,致敬
203,？
204,辛苦了
205,致敬！
206,致敬
207,致敬
208,致敬
209,致敬！
210,科学探索 针对治疗
211,致敬！
212,致敬!
213,感觉不好理解的话，把它当成抽烟机理解就行
214,致敬
215,致敬
216,致敬
217,致敬
218,加油
219,致敬
220,致敬
221,致敬
222,致敬
223,武汉加油 中国j加油
224,致敬！
225,致敬
226,那种正压防护服应该是四级防护吧
227,致敬
228,致敬
229,致敬
230,致敬
231,致敬
232,没游戏玩了，致敬
233,致敬
234,嗯
235,致敬!
236,辛苦了
237,感恩
238,致敬
239,央视记者一向杠杠滴
240,致敬
241,加油
242,66
243,致敬
244,致敬
245,致敬
246,致敬
247,致敬
248,致敬
249,致敬
250,致敬
251,真狠真yzx
252,致敬捐献者！致敬医务人员！
253,致敬
254,致敬
255,致敬
256,致敬
257,但是  感觉很初级的答案
258,………………………………问的都是什么黄子
259,致敬
260,致敬！
261,对，戴久了就头昏，发闷，呼吸困难，加上密封好，完全就是闷在套子里面一样
262,这种防护服穿久了就像大白，身上水汽都闷在里面了
263,致敬
264,致敬
265,致敬
266,穿宇航服最保险
267,致敬！
268,被解刨用于教学的的尸体叫大体老师
269,套娃型的建筑构造，外面的空气压比里面的大，里面的空气就不会流出来了
270,感觉家属
271,感谢大体老师们
272,致敬
273,感谢捐献遗体的人及其家属，感谢医务人员
274,负压简单理解就是一个房间内部气压比外部低，内部的空气不会往外流，这样确保病毒不会因为空气流动飘到室外
275,凌晨
276,唉
277,致敬！
278,致敬！
279,我们做局解实验的时候也向大体老师鞠躬
280,助手也是博士厉害
281,致敬
282,老师也很伟大
283,心理压力
284,一听都是武汉人的普通话
285,不是小于大气压
286,一般用于传染病或者感染严重的患者使用
287,致敬
288,法医学是为了未来而存在的学科
289,致敬
290,害 都是来上课的么
291,致敬
292,致敬
293,致敬
294,向大体老师致敬
295,两层呼吸好困难
296,切片？
297,致敬
298,致敬
299,致敬
300,致敬
301,谢谢您
302,致敬
303,这个问题问的，
304,所有的结论都是建立在大量的实验样本上的
305,这个记者北大毕业的
306,这几张切片显示肺泡腔已经被粘液和细胞充满，气体交换的空间非常受限
307,致敬
308,致敬
309,致敬
310,致敬
311,致敬
312,伟大而无私的人类。
313,致敬
314,致敬
315,致敬
316,致敬
317,辛苦
318,辛苦了
319,致敬
320,致敬
321,致敬
322,大体就是遗体
323,最喜欢这个主持人的访谈!
324,感激每一位参与的贡献者们，致敬！
325,支持专业
326,敬礼
327,致敬
328,致敬
329,致敬
330,烈性传染病
331,这个很重要的，关于会不会带来器质性改变也就是后遗症
332,致敬
333,感谢家属
334,致敬
335,致敬
336,致敬
337,致敬
338,安息
339,致敬
340,致敬
341,致敬
342,致敬！！！
343,最勇敢的病理学科人！！！
344,与魔鬼对话的法医学
345,哭了
346,一定可以。
347,致敬
348,致敬
349,致敬
350,相当于太空漫步，走一步都费劲
351,国士
352,中国医生护士千千万万底层人是真正的英雄
353,善良的家属，感谢
354,非医学生也学着医学生们的样子向大体老师致敬！
355,武汉加油
356,致敬！
357,辛苦了
358,致敬
359,致敬。
360,致敬大体老师！
361,负压实验室
362,感谢！
363,致敬
364,致敬
365,厉害
366,致敬
367,加油
368,大体老师……
369,加油
370,见过了多少的生死，又带来了多少的希望
371,致敬！
372,防护服巨热的，还穿两层，长时间工作真的很苦，辛苦了
373,致敬捐赠者，也致敬冒着危险解剖的科研人员
374,致敬
375,致敬！感谢医生，更感谢捐献者家属
376,捐赠者都是英雄
377,致敬
378,致敬
379,大体老师走好
380,致敬
381,致敬
382,致敬 贡献很大
383,致敬
384,致敬
385,致敬
386,致敬
387,英雄
388,致敬！！！
389,致敬
390,致敬致敬致敬致敬
391,致敬
392,做这种手术应该穿太空服，最高生物等级4级。
393,负压是因为免于房间内的病原微生物等细小的物质不外流到其他地方，也可参见美剧《血疫》里边也有涉及，通俗易懂。
394,辛苦了
395,致敬所有医者
396,中国加油
397,致敬
398,致敬
399,致敬
400,致敬！！
401,致敬
402,加油
403,感谢大体老师
404,致敬
405,致敬
406,表示敬意！
407,致敬
408,致敬
