,comments
0,要限流
1,上班很久了
2,表白
3,辛苦了！
4,辛苦了
5,小姐姐好漂亮
6,一脸凝重
7,国士无双
8,钟老辛苦了
9,所以大学九月份开学
10,国士无双
11,国士无双
12,国士无双
13,中国加油！武汉加油！世界加油！
14,国士无双
15,中国加油，武汉加油，世界加油。
16,国士无双
17,看看人家考虑的多周全，真心是佩服，五体投地的佩服！
18,说的太对了，
19,钟老辛苦了
20,国士无双
21,辛苦了
22,害得我玩不了火影
23,精缦毛毯面料
24,精缦毛毯、温暖人心
25,常州唯乐印染：绒布面料染色印花加工
26,人民英雄永垂不朽
27,惹
28,记者姐姐好美
29,爱您
30,比我奶奶还大两岁
31,大家这时候还是不要太放松，出去吃饭什么的
32,现代郭沫若名不虚传 听听就好 无症状患者那么多 保护好自己
33,啊啊啊啊
34,钟老辛苦了
35,国士无双
36,国士无双
37,小姐姐真好看
38,国士无双
39,清远
40,辛苦了
41,主持人浓妆艳抹，没内涵
42,主持人化妆过度了
43,这个记者
44,爱你
45,谢谢了
46,国士无双
47,如果不是今天我可能永远都不会看这些东西
48,辛苦了
49,幸苦了
50,国士无双
51,确实，国士无双
52,辛苦了
53,辛苦了
54,辛苦了
55,国士无双
56,有人吗
57,一打开我的b站变成黑白的了
58,欣赏不来
59,记者出镜时候能不能不要浓妆艳抹的挤笑脸？？？
60,国家脊梁
61,国士无双
62,谢谢您
63,钟老钟老辛苦！国士无双！
64,2月20我就来深圳了
65,国士无双
66,国家
67,要戴口罩
68,民族英雄
69,韩信大招
70,广州南站
71,加油
72,有清远的朋友啊
73,辛苦了
74,加油加油
75,蛋黄长裙，蓬松的头发
76,！？？
77,国士无双
78,辛苦了，钟院士
79,坐稀疏点 主义通风
80,国士无双
81,国士无双
82,应该要限制人流
83,我看成了如何做个好人
84,国士无双
85,棒棒的
86,记者好漂亮
87,精神领袖
88,国士无双
89,国士无双
90,景区可以限制人流量
91,避免扎堆 人和人之间要有1.5米以上的距离
92,钟院士是八十四岁的老人了
93,国士无双
94,都是自我隔离的
95,很少有人去医院做检查
96,您辛苦了
97,英雄
98,好
99,支持
100,南山
101,国士无双
102,。
103,加油！
104,谢谢钟老，您辛苦了
105,钟老要保重身体
106,平衡很重要丫～
107,这个记者
108,要重视
109,国土无双
110,很想知道什么时候去武汉
111,口罩不能少
112,钟老辛苦
113,国士无双
114,国士无双
115,辛苦了！
116,为什么不带口罩
117,钟老啊，难受
118,采访的小姐姐好看
119,希望尽快有疫苗
120,景区就别开放了吧 
121,钟老看起来好憔悴阿
122,感觉老先生憔悴了许多
123,主持人好好看
124,支持支持支持
125,国士无双
126,国士无双
127,感觉复工意思像是要在钢丝上跳舞一样。要加倍小心呀
128,？？？？
129,想的真是事无巨细
130,国士无双
131,和苏州一样吧，预约制，限制人流
132,真的要做好防护！！如果一大片的话，救援力量就不够了！！
133,钟院士辛苦了！
134,清远
135,记者小姐姐好好看啊
136,开吧，反正我不去凑热闹
137,我们听您的
138,完了，我们学校厕所容易堵
139,南老辛苦了
140,清远
141,确实很难，但是不注意感染的话国家没有这么多的救援力量
142,已经开学了
143,真国士无双
144,马上开学了
145,现在钟院士是怕像当年非典那样有二次爆发
146,口罩还是不能离啊
147,我大清远
148,餐饮可以只外卖和打包
149,国士无双
150,好难啊
151,感觉钟老比刚开始的时候憔悴了挺多的。
152,有没发现最紧张时期钟院士紧绷的脸松下来了
153,景区肯定没什么人
154,景区应该开放，做好消毒工作，但不建议聚集
155,应该是口罩勒的
156,国士无双
157,不复工，企业怎么存活？
158,人一多根本不开阔
159,说的是，景区要开放
160,一旦
161,复工真的难，但不得不这么干
162,国士无双
163,唐悠悠是你吗
164,陶陶居
165,实践是检验真理的唯一标准
166,586个人你们好
167,脸红了
168,谨慎出行
169,限量
170,主持人和柳岩有点儿像耶
171,??????
172,避免扎堆就是
173,国士无双 钟院长辛苦了
174,主持的脸怎么了
175,国士无双
