,comments
0,祖国永固！
1,加油
2,干它丫的新冠
3,加油
4,4月了。胜利了
5,稳住啊我们能赢
6,中国加油
7,加油
8,加油
9,加油
10,顺藤摸瓜，杀鸡儆猴
11,就因为回北京
12,四月辣，我们成功了
13,严查
14,中华民族的兄弟姐妹们，我们不懈怠，不放松，团结一心，一定可以战胜疫情，加油！
15,武汉加油
16,这个事情盖过去了。没给结果
17,致敬我们伟大的逆行者向最美逆行者致敬清明时节 断魂无声 逝者安息 生者节哀向英雄致敬，一路走好。逝者安息。精神长存。你们是伟大的，向英雄致敬，人民英雄永垂不朽！向那些停在冬天的同胞
18,继续关起来。
19,让她回去
20,还是我们建始人……
21,武汉加油一定度过困难加油
22,严查
23,一切正常哈哈
24,对对对
25,一定要查出真相
26,严查
27,加油
28,疫情还没结束！！不要懈怠！！
29,加油
30,使劲查
31,三个调查组，划重点
32,别聚集 防同事
33,对
34,对
35,加油
36,加油！
37,稳住啊
38,承包空屏
39,热乎
40,一起加油！
41,师姐好
42,严查
43,BGM是啥
44,明查，严查
45,对，你说的对
46,对
47,1
48,加油
49,武汉加油
50,热乎的
51,加油！
52,欧阳夏丹师姐
