,comments
0,感动中国
1,帅
2,能证明来自国外吗，不然是废话
3,最可爱的人
4,国士无双
5,国士无双！！！安康长寿！！！
6,国士无双
7,国士无双
8,男神男神
9,辛苦了
10,中国加油
11,大帅哥
12,国士无双
13,国士无双
14,是美国
15,是意大利吧！
16,中国加油
17,保护
18,保护
19,好帅啊
20,鄙人女朋友有幸在广东省实验中学南山班
21,↑↑↑竞技大佬儿
22,国士无双
23,国士无双
24,英雄
25,国士无双
26,帅
27,男神
28,大帅哥
29,国士无双！
30,帅哥
31,国士无双
32,国士无双
33,↓世界最帅↓
34,国士无双
35,4.4时代
36,美国DETRICK实验室出来挨打
37,武汉加油！！
38,真帅
39,到底？？？？？？？
40,国士无双！！
41,藏币一年，用币一时
42,致敬
43,国士无双
44,国士无双
45,A state scholar of no equal
46,说迷惑行为的几个意思？
47,中国加油
48,国士无双
49,国士无双！
50,帅
51,帅哥来了
52,看见没有，世界最帅↓
53,国士无双
54,帅
55,国士无双！
56,国士无双
57,加油！！
58,老爷爷好!!!
59,大帅哥↓
60,国士无双
61,国士无双
62,国士无双
63,最帅的钟院士
64,国士无双
65,致敬
66,致敬
67,致敬
68,国士无双
69,致敬
70,奥利给！！！！！
71,武汉加油
72,帅老头
73,国士无双
74,我
75,武汉加油！！！
76,国士无双
77,国士无双
78,↓这帅哥83岁我没想到
79,↓这帅哥83岁我没想到
80,中国加油
81,男神
82,感谢中老
83,中国万岁
84,国士无双
85,好帅捏
86,中国加油！！！
87,国士无双
88,美国流感几千万人感染，死亡几万人
89,美国流感，
90,武汉加油
91,加油
92,注意大家请传播一下，防止传播谣言
93,外国人不了解中国
94,说得对
95,广医威武
96,作为老武汉人自己心知肚明，武汉人根本就不喜欢吃什么野味，把小吃特产全部扒拉一遍都找不到一个和野味沾边的
97,日本不是发论文质疑了讷
98,！！！❤️❤️❤️
