,comments
0,别吹中医啦
1,湖南平均百分之九十几.. 我惊了
2,老祖宗传下来的，牛p
3,祖国加油 祖国最棒！
4,中医药疗法，降低人民群众医疗支出
5,中医药真的是立了大功的
6,要每个人都懂了，才有可能，要普及，
7,没有老祖宗的中医，死的人更多
8,加油！这次疫情让我感受到了中国的强大
9,黑子不敢说话了
10,加油
11,加油
12,主持人不带口罩
13,加油
14,，，
15,所以外行看热闹啊
16,连标题都没读清就在这说三道四的，一看就是个外行。
17,还有聋哑人语好评
18,6.6万播放，22弹幕...
19,致敬
20,中医疗法天长地久
21,希望中医疗法走进每个中国家庭
22,中医疗法必胜
23,1
24,中医要好好发扬，毕竟是中国传统医学。
25,致敬
26,致敬
27,加油，不懂为啥挺多怼中医的
28,不懂为啥还有好多怼中医的
29,Heroes never die
30,中医没后遗症
31,这个间距用心了
32,确实
33,可以写几篇论文上sci了
34,加油，希望剩下的人都能活下来啊
35,一线辛苦了
36,3
37,武汉雄起，中国必胜！
38,2
39,加油
40,呃……
41,微笑自然
42,日本终于找了了解决方法
43,2
44,在
45,1
46,第一吗？
