,comments
0,我河北的
1,赞
2,可是西方最后还是交了白卷
3,加油
4,这38天他怎么过的。太厉害了，吃的啥。
5,真的很厉害
6,可爱
7,有点帅
8,这就是我们的青年才俊哦
9,好孩子
10,河北好青年
11,小孩儿不错哟
12,河北老乡不错嘛
13,河北老乡
14,河北这次真的很不错哦
15,泪目
16,加油，奥利给
17,好样的
18,我们河北的小哥哥，点个赞
19,精神小伙
20,奥利给
21,世界，不客气
22,赞一个！
23,隔离这个方法
24,制度优越性
25,和我一样，宅男
26,啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
27,加油
28,我同学也是，很理智的，隔离期一结束，还自己跑去医院做检测
29,鼻炎
30,p话，本来就不该传染，这种小事都能报道
31,无敌意识
32,奥力给！
33,加油
34,奥利给
35,好样的！
36,好帅
37,这人一定是个宅男
38,好孩子
39,棒
40,加油
41,加油
42,过得好
43,加油
44,好样的
45,加油，早点好起来
46,奥利给
47,Aligame
48,加油！
49,奥利给！！
50,好样的
51,奥利给
52,加油
53,就像打副本一样，被点名远离人群。
54,加油
55,这才是中国大学生！
56,加油!
57,武汉加油
58,厉害
59,加油！奥利给！
60,帅!
61,棒
62,奥利给
63,奥利给加油
64,加油！
65,奥利给
66,赞！
67,加油
68,加油
69,只要一台电脑，合法颓废哈哈哈
70,是中国人真好
71,好样的
72,好样的
73,加油中华
74,加油
75,不出门不就做到了
76,加油
77,加油
78,加油加油加油
79,加油，奥利给!
80,早点康复
81,棒
82,加油！
83,赞
84,中国加油
85,活在中国
86,我们一定能战胜新冠
87,太棒了
88,加油
89,这人有操作的啊
90,加油！
91,湖北人报道
92,加油
93,加油
94,他是宅男
95,好样的
96,好样的兄弟
97, 全民哀悼，向在战“疫”中牺牲的烈士们致敬。他们当中，有的是直接参与一线救治工作的白衣战士，用生命守护生命，以大爱诠释医者仁心；有的是始终坚守在疫情防控一线的公安干警，还有的是用真心真情帮助解决群众生
98,好样的，我们宅男的榜样
99,好样的
100,加油
101,牛
102,奥力给
103,我们这的，离我家只有几分钟距离
104,加油！
105,我们黄骅的
106,加油！中国！
107,加油
108,加油
109,加油！
110,棒！！
111,还不清楚啥时候开学
112,我几个月没出门了
113,小哥哥好棒
114,一月底宅到现在 哈哈哈
115,这位小哥好厉害   奥利给  中国
116,现在的00后素质高了啊
117,玩游戏就没出过宿舍，算不算
118,给力！
119,奥利给
120,赞
121,好小子！
122,优秀！
123,点赞
124,沧州的
125,奥利给
126,真是好人
127,种花家 
128,加油！
129,中国好青年
130,我们河北的！！！！！
131,加油
132,加油
133,棒
134,棒棒哒
135,好样的
136,中药
137,好样的
138,有操作的啊
139,好样的！
140,我一个月没出过门
141,66666
142,中国厉害
143,加油
144,加油
145,暑假
146,优秀！
147,语录哥？
148,我们大学生一个多月不出门也是不在话下的(狗头)
149,加油
150,好样的 无愧中华儿女
151,加油！
152,奥利给
153,38天应该好了
154,精神小伙儿
155,奥利给！
156,祖国的鲜花
157,加油！
158,棒棒棒
159,在家呆傻了，但还是不能给国家添乱呢
160,好帅
161,加油
162,有担当的男人
163,这才是中国大学生的样子
164,预判
165,奥利给
166,好样的，觉悟
167,加油
