,comments
0,太难了啊
1,太难了
2,哈哈哈哈哈哈哈哈哈哈
3,哈哈哈哈哈哈哈哈哈哈或或或或或或或或或或
4,重症慢性病
5,致敬
6,老年人不懂，怕得很
7,医生的字体
8,多些理解
9,太难了
10,工作人员和志愿者都辛苦了
11,太难了吧！
12,辛苦了！！
13,听国医同仁
14,现在协和都是电子病历了，希望推广
15,疫情武汉的社区工作人员真的很辛苦
16,因为每天要写太多 慢慢的就越来越简化了
17,加油
18,到底是谁在背景音里打呼噜啦！
19,↓叔你鼻子里面有一根长长长的白毛
20,向一线人员致敬，太不容易了
21,就觉得吧有些人真不应该帮
22,叔这头发
23,这里的重症指的不是新型冠状肺炎重症患者，是其他疾病的重症患者
24,重症的不是指新型冠状肺炎重症，是指其他的病
25,重症药多半是慢病药，比如高血压糖尿病那些，每日必须服用药品控制的，控制不住的危险性就很高
26,现在可以网上买了，重症的也可以
27,就降压药来说，剂量多了，后果就挺严重的。
28,叔～
29,药是真的不能乱吃的，同一个厂的口服液，同一个名字，同一张成分表，一个支数多但喝起来像糖水一样，另一个喝了我的身体会马上暖起来，不是心里作用，是真的能感觉到很大的差别！
30,给重症患者的药不能乱吃，我也买过这种类似情况的药，但是疗效明显差了好多，互相体谅吧！
31,服务太好，反倒真当自己是大爷！
32,怎么都是妇女啊？就没老爷们送药吗
33,这时候能买的慢性病药就不错了，这种药不能停
34,这时候买药是真难，北京挂号也不容易
35,脸小了。
36,知足吧，没安排老外插队就不错了
37,知足吧，没安排老外插队就不错了
38,换了“人”后果然不一样
39,太辛苦了 致敬
40,太难了
41,药有不能乱吃，规格不同或者剂量不同，不同厂家成分也不一定一模一样，这不是单纯加减法的问题吧。特殊时期大家都有难处，都理解一下。
42,可惜没吃成油饼包烧麦
43,网上买，次日达
44,你们受委屈了
45,辛苦了！
46,辛苦了
47,哈哈哈哈哈哈哈哈
48,爱
49,辛苦了！
50,叔太憔悴了
51,不容易啊
52,辛苦了
53,工资太少了
54,记者真啰嗦
55,4.4日，我们缅怀烈士和逝去的人，我们战胜了疫情
56,bhhh
57,太难了
58,饼叔～
59,只是药的片装不一样，OK？
60,？？？
61,瘦了
62,我们这边社区虽然每个月2500还是今年提高的然后扣完保险其实到手也就2100
63,我们社区每个月2500还是今年才给提高的
64,加密病历
65,武汉加油！
66,叔也辛苦了
67,叔你瘦了不好看 要注意身体
68,心疼
69,迅速改进提高效率就很好
70,真实
71,叔，瘦了
72,辛苦你们了，你们太棒了
73,哈
74,医用符文岂是凡人能看懂的...
75,保重身体
76,……
77,都是英雄
78,人性的自私
79,太不容易了 
80,人家患病的也不容易啊，都互相体谅吧
81,叔
82,？？？
83,辛苦了
84,辛苦了
85,异步回调
86,这也太累了
87,他说，最开始重症药一份都要当两份吃，他们是在拿命抗，拿命支持国家
88,不是新冠重症，是其他重症，知乎上还有个重症小伙伴的帖子
89,不会吃出问题，你停药才会有问题
90,都一样的，没差别
91,默哀：深切哀悼抗疫烈士和逝世同胞
92,真实
93,1
94,233
95,辛苦了
96,有人吗？
97,有人吗？
98,辛苦了
99,啥破人
100,辛苦了
101,也不是刻薄，是害怕吃错了
102,加油！！！
103,右边高架桥过去就是协和医院
104,辛苦
105,哈哈哈哈哈
106,叔瘦了
107,哈哈哈呵呵呵哈哈哈呵呵呵哈哈哈呵呵呵哈哈哈呵呵呵哈哈
108,辛苦了，加油
109,辛苦了
110,以后睡还想去做善事
111,加油
112,太难了
113,辛苦了
114,辛苦了
115,？
116,工作人员辛苦了！
117,武汉加油！！！
118,病历上有啥也认不得，那字也太飘逸了
119, 我猜那个人肯定是
120,大家都辛苦了！
121,辛苦了
122,辛苦了
123,8粒和24粒的药性不一样，不过24的勉强可以顶一下
124,哈哈哈哈哈哈哈哈
125,哈哈哈哈
126,惨
127,有的数量不一样，药效不一样的，不能随便换药
128,为什么全是灰色？？我特麽都忧郁了
129,哈哈哈哈哈哈哈哈哈哈
130,牌子不一样 8颗和24颗的价钱是不一样的呀
131,我们？？？
132,走两步回头，你把后面路挡了
133,我在武汉都是在网上买的
134,毛病都是惯出来的！！！
