,comments
0,2020年十月回来看看，国外都炸了，国内很安全
1,为了全国封锁湖北，为了湖北举全国之力营救湖北！集中起力量就没有办不了的事！
2,强大的基建能力！中国加油！
3,如果奇迹有颜色，那一定是中国红！
4,如果奇迹有颜色，那一定是中国红！
5,如果奇迹有颜色，那一定是中国红！
6,如果奇迹有颜色，那一定是中国红！
7,如果奇迹有颜色，那一定是中国红！
8,中国红！
9,诶嘿嘿
10,我山西支援了三个？？
11,武汉加油
12,如果奇迹有颜色，那一定是中国红！
13,如果奇迹有颜色，那一定是中国红
14,中国加油
15,武汉解封时代前来考古
16,浙江路过
17,武汉加油！
18,如果奇迹有颜色，那一定是中国红
19,加油
20,如果奇迹有颜色，那就是中国红
21,武汉，明天见
22,希望都是中国红
23,泪目
24,一定要胜
25,致敬
26,全民一心
27,上海呢
28,如果奇迹有颜色，那一定是中国红
29,为中国疯狂点赞
30,武汉加油！
31,武汉加油
32,加油
33,加油
34,加油
35,泪目
36,泪目
37,武汉加油
38,武汉加油
39,致敬
40,泪目
41,武汉加油！!
42,武汉加油
43,武汉加油
44,哭了
45,武汉加油
46,武汉加油
47,武汉加油!!!
48,武汉加油
49,武汉加油！
50,武汉加油！
51,谈书记
52,武汉加油
53,武汉加油
54,武汉加油!
55,如果有奇迹颜色，那一定是中国红
56,如果奇迹有颜色，那一定是中国红
57,武汉加油
58,武汉加油
59,武汉加油!！
60,如果奇迹有颜色，那么一定是红色
61,武汉加油
62,武汉加油
63,中国加油
64,致敬
65,致敬
66,中国加油！
67,如果奇迹有颜色，那一定是中国红！！
68,武汉加油！
69,流着泪看到这里
70,加油！
71,武汉加油！
72,大家都有心了
73,如果奇迹有颜色，那一定是中国红
74,才几百例就封城了，太有远见了
75,加油
76,加油
77,英雄不朽
78,厉害了我的国
79,必胜
80,加油！
81,致敬
82,武汉加油!春天终会到来!
83,武汉加油!
84,应收尽收。是今年最美好的词汇之一
85,冲啊
86,何为强大──中国
87,春天迟早会来
88,春天会来吗
89,向英雄致敬
90,湖北襄阳报道
91,中国必胜
92,中国加油
93,武汉加油
94,身负青囊，剑指远方
95,泪目
96,还有外国帮助
97,加油！
98,不管夜晚再黑暗，都会迎来黎明，武汉加油
99,武汉加油！！！
100,武汉加油
101,中国加油
102,歼20口罩
103,暗示纽约
104,武汉加油
105,安徽呢？
106,武汉加油
107,中国很棒
108,武汉加油
109,武汉加油！！！
110,加油，中国！！！
111,如果奇迹有颜色，那一定是中国红
112,这些冰冷的数字之后是鲜活的生命
113,致敬英雄
114,武汉加油
115,我是中国人我骄傲
116,中国雄起！
117,中国加油
118,生者奋发！
119,蓝星守护者
120,武汉加油！！！
121,如果奇迹有颜色，那一定是中国红！
122,武汉加油
123,三连三连
124,武汉加油！
125,武汉加油
126,中國加油
127,武汉加油！中国加油！
128,武汉加油！
129,如果奇迹有颜色，那一定是中国红！
130,武汉加油
131,武汉加油
132,武汉加油
133,要是在外国我估计早就完了
134,太震撼了，我身上鸡皮疙瘩没下去过
135,武汉加油    中国加油(ง ˙o˙)ว
136,中国加油
137,你们是最棒的
138,你们是最棒的
139,武汉加油
140,武汉加油
141,中国加油
142,手机是小米吗
143,有没有人注意到这一次增加的确诊人数变少了？
144,中华民族共和国万岁
145,武汉加油，明年见
146,武汉加油！
147,此生不悔入华夏
148,武汉加油
149,河南支援的随州啊。
150,武汉加油！
151,武汉加油
152,武汉加油中国加油！
153,武汉加油！
154,抗击疫情!众志成城!
155,中国NB
156,如果奇迹有颜色，那一定是中国红！
157,武汉加油
158,中国加油
159,中国加油
160,网课也放了这个，武汉加油！！！
161,厉害了，我的国，加油！
162,加油
163,中国加油
164,泪目
165,武汉加油
166,中国加油，武汉加油
167,泪目
168,武汉加油
169,武汉加油
170,飞飞飞 中国   武汉  加油
171,中国加油!
172,武汉加油
173,武汉加油，中国加油!
174,加油
175,伟大中国
176,如果奇迹有颜色！那一定是中国红！！！
177,武汉加油！
178,武汉加油
179,武汉加油
180,如果奇迹有颜色，哪一定是中国红
181,向白衣天使致敬!
182,饮食乾坤
183,中国nb!
184,武汉加油！
185,OPPO口罩厂
186,你们用命换来的春天很好，真的
187,武汉加油
188,我骄傲，我是中国人
189,希望的颜色
190,武汉加油！
191,如果奇迹有颜色，那一定是中国红
192,没有美国好评
193,下辈子再做中国人
194,加油啊
195,祖国太伟大了
196,中国加油!
197,武汉加油
198,内蒙古对口荆门和武汉
199,中国速度！！
200,如果奇迹有颜色，那一定是中国红
201,武汉加油
202,武汉加油
203,加油
204,四川呢？
205,如果奇迹有颜色，那么一定是中国红
206,武汉加油！
207,武汉加油!
208,向英雄致敬
209,向英雄致敬
210,如果奇迹有颜色，那一定是中国红！！！！
211,前面爱看却又想哭的，等等我
212,如果奇迹有颜色，那一定是中国红
213,武汉加油
214,中国加油
215,今年最美丽的数字:0
216,哭了！！哭了！！
217,武汉加油！中国加油！
218,武汉加油！中国加油！
219,武汉解封倒计时:4天
220,武汉加油
221,如果奇迹有颜色，那一定是中国红！！！
222,中国加油
223,武汉加油
224,此生不悔生在中国
225,武汉加油！！！
226,加油
227,武汉加油
228,武汉加油！！！
229,武汉加油！
230,加油
231,加油
232,武汉加油
233,这是我生活的国家呜呜噫呜
234,武汉加油
235,中国万岁！
236,中国，加油
237,武汉加油
238,武汉加油
239,致敬
240,武汉加油
241,武汉加油
242,你问我什么颜色希望？中国红。
243,此生无悔入华夏，中国人牛！！！！
244,武汉加油
245,奇迹般的颜色中国红。
246,武汉加油
247,如果奇迹有颜色，那一定是中国红！
248,红色不能断。
249,武汉加油
250,河北去神农架林区xswl 那里只有9例啊
251,武汉加油！
252,中国加油 武汉加油
253,武汉加油
254,如果奇迹有颜色，那一定是中国红
255,泪目了
256,希望下辈子还是中国人
257,中国伟大
258,武汉加油
259,中国加油
260,武汉加油！
261,厉害了，我的国
262,加油
263,厉害了我的国
264,如果奇迹有颜色一定是中国红
265,厉害了我的国
266,泪目了
267,武汉加油
268,武汉加油！
269,加油
270,加油！！
271,如果奇迹有颜色，那一定是中国红
272,武汉加油
273, 武汉加油 武汉加油 武汉加油 武汉加油 武汉加油 武汉加油 武汉加油 武汉加油 武汉加油 武汉加油 武汉加油  武汉加油 武汉加油 武汉加油 武汉加油武汉加油
274,武汉加油！中国加油
275,武汉加油 中国加油！
276,武汉加油
277,武汉加油
278,如果奇迹有颜色，那一定是中国红！
279,武汉加油！
280,武汉加油
281,这是我的国家，我永远的中国
282,泪目
283,武汉加油！中国加油！
284,中国加油
285,如果奇迹有颜色，一定是中国红
286,武汉加油
287,十
288,如果奇迹有颜色，那一定是中国红！
289,泪目
290,武汉加油
291,中国加油
292,中国加油
293,武汉加油
294,武汉加油
295,武汉加油！
296,三百多牺牲
297,中国红
298,武汉加油
299,武汉加油
300,如果奇迹有颜色，那一定是中国红
301,中国加油
302,大中国，强！
303,武汉加油
304,武汉加油，中国加油
305,全是专业的UP主  哗众取宠 的up可算是闭嘴了
306,加油
307,站疫必胜
308,陕西呢？
309,加油
310,此生无悔入华夏，来生愿做中国人。
311,武汉加油，中国必胜
312,希望的颜色是中国红
313,武汉加油
314,向  白衣天使   致敬
315,武汉加油！中国加油！
316,如果奇迹有颜色，那一定是中国红！！
317,如果奇迹有颜色，那一定是中国加油红
318,啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊冲啊武汉加油啊啊啊啊啊！！！
319,武汉加油
320,如果奇迹有颜色，那一定是中国红
321,如果奇迹有颜色，那一定是中国红
322,真的被震惊到了
323,天使降临
324,武汉加油，中国加油
325,武汉加油
326,武汉加油
327,武汉加油
328,致敬
329,中国必胜，武汉加油
330,这不是数字！是一条条鲜活的生命！
331,2200年新型柱状病毒前来考古
332,武汉加油
333,武汉加油！
334,致敬英雄
335,谢谢你们，最美的人们
336,致敬
337,这次一定
338,武汉加油
339,武汉加油，中国加油！
340,还别说，我全家生日就在一月到四月。等可以放心出门了全家人一起过生日
341,真的好感动
342,此生无悔入华夏，来世还做中国人！
343,如果奇迹有颜色，那一定是中国红！！
344,武汉加油
345,中国红刷起来
346,武汉加油
347,武汉加油
348,武汉加油
349,致敬英雄
350,武汉加油，中国必胜
351,加油啊
352,中国加油
353,中国加油
354,我爱我们国家 中国加油
355,加油
356,武汉加油！
357,如果奇迹有颜色，那一定是中国红
358,中国加油！
359,泪目……………
360,武汉加油
361,吉林人很不解为什么没有吉林？
362,如果奇迹有颜色，那一定是中国红
363,如果奇迹有颜色，那一定是中国红
364,如果奇迹有颜色，那一定是中国红
365,武汉加油！！！
366,中国加油！
367,中国加油！！！
368,武汉加油！中国加油！！！
369,武汉加油，中国加油！
370,我的祖国太强了！热泪盈眶！
371,武汉加油
372,武汉加油！中国加油！
373,武汉加油
374,武汉加油
375,中国红
376,中国为整个世界争取了时间
377,如果奇迹有颜色，那一定是中国红
378,泪目，想哭，我是中国人
379,宁夏辽宁保卫襄阳
380,我是中国人！
381,如果奇迹有颜色，那一定是中国红！
382,武汉加油
383,中国必胜！
384,泪目
385,泪目泪目
386,这就是中国速度！！！
387,中国加油！
388,武汉加油
389,武汉加油
390,武汉加油
391,武汉加油
392,如果奇迹有颜色，那一定是中国红
393,如果奇迹有颜色，那一定是中国红
394,武汉加油
395,如果奇迹有颜色，那一定是中国红
396,如果奇迹有颜色，那一定是中国红
397,如果奇迹有颜色，那一定是中国红
398,如果奇迹有颜色，那一定是中国红
399,泪目
400,武汉加油
401,武汉加油!!!
402,如果奇迹有颜色，那一定是中国红
403,泪目
404,如果有奇迹的颜色，那一定是中国红
405,中国红
406,武汉加油
407,泪目
408,保卫宇宙
409,武汉加油
410,武汉加油
411,过桥米线为热干面加油
412,武汉加油
413,中国加油
414,中国加油！武汉加油
415,泪目
416,中国加油
417,武汉加油
418,致敬！！！！
419,中国加油！
420,武汉永垂不朽
421,泪目
422,武汉加油。中国加油
423,武汉加油
424,武汉加油
425,"如果奇迹有颜色,那一定是中国红"
426,加油武汉！
427,武汉加油
428,武汉加油
429,武汉加油
430,武汉加油
431,武汉加油
432,曙光渐亮
433,中国加油！！！
434,我是中国人！
435,来之不易的零
436,武汉加油
437,中国速度的力量
438,如果奇迹有颜色，那一定就是中国红
439,如果奇迹有颜色，那一定就是中国红
440,武汉加油
441,中国加油
442,武汉加油(✪▽✪)
443,此生不悔入华夏，来世还做中国人
444,此生无悔入华夏，来生愿在种花家！
445,武汉为自己是中国的武汉而骄傲，作为武汉居民我们感谢全国的同胞，谢谢你们！
446,如果奇迹有颜色，那一定是中国红
447,加油！
448,如果奇迹有颜色，那一定是中国红
449,如果奇迹有颜色，那一定是中国红！
450,如果中国有颜色，那么一定是中国红！
451,泪目
452,如果奇迹有颜色，那一定是中国红！
453,如果奇迹有颜色，那一定是中国红
454,中国加油！
455,武汉加油
456,中国加油
457,武汉加油
458,武汉加油！
459,如果奇迹有颜色，那一定是中国红
460,加油
461,集中力量办大事！万众一心克难关！
462,武汉加油！中国加油！
463,加油
464,致敬
465,武汉加油
466,兄弟们，把中国加油打到公屏上
467,中国加油，武汉加油
468,中国必胜！
469,武汉加油，中国加油
470,武汉加油
471,中国加油，武汉加油
472,武汉加油
473,如果奇迹有颜色，那一定是中国红
474,有一种胜利颜色叫做中国红
475,中国力量
476,武汉加油！
477,加油
478,泪目
479,武汉加油
480,武汉加油
481,中国必胜
482,武汉加油
483,武汉加油
484,加油
485,中国红！！！
