,comments
0,辛苦了
1,这个肩膀好违和
2,致敬
3,新时代最可爱的人
4,感谢
5,辛苦了
6,谢谢大家
7,致敬
8,辛苦了
9,辛苦了
10,感谢
11,给英雄一个交代
12,人生自古谁无死，留取丹心照汗青
13,辛苦了
14,辛苦了
15,辛苦了
16,辛苦了
17,谢谢❤️❤️
18,辛苦了
19,辛苦了
20,  辛苦了
21,谢谢
22,辛苦了，谢谢
23,辛苦了，谢谢
24,辛苦了
25,武汉加油!中国加油!
26,加油，英雄的城市，正是因为有英雄的你们！！！
27,辛苦了
28,辛苦了
29,致敬
30,谢谢
31,加油！
32,我是第一。
33,致敬
34,没有作业我更安心
35,辛苦了！
36,辛苦了
37,辛苦了 谢谢
38,辛苦了
39,辛苦了
40,谢谢，加油！
41,中国加油
42,辛苦了
43,好人一生平安
44,辛苦了
45,中国万岁！！
46,幸苦了
47,谢谢，幸苦了
48,辛苦了
49,加油！
50,谢谢谢谢
51,加油，敬礼！加油
52,你还在乎口红色号？？
53,致敬
54,辛苦了
55,辛苦了
56,加油
57,辛苦了，谢谢
58,最可爱的人
59,辛苦了
60,向英雄们致敬！！！愿他们安息地离开，愿天堂没有病毒!
61,辛苦了
62,辛苦了
63,谢谢
64,致敬！
65,哭了
66,辛苦了
67,默默奉献的无名英雄
68,辛苦了
69,辛苦了
70,辛苦了辛苦了
71,致敬
72,辛苦了，辛苦了
73,向您致敬！
74,辛苦了
75,辛苦了
76,？？？？？？？
77,谢谢您！！
78,辛苦了
79,一定要调查清楚
80,致敬
81,武汉加油！
82,辛苦了
83,谢谢
84,谢谢
85,谢谢谢谢
86,辛苦了
87,知道啦。
88,上海在交了，要是。
89,今天在就好了吧。
90,辛苦了
91,兄弟们把辛苦了打在公屏上
92,谢谢！
93,辛苦了
94,武汉加油中国加油世界加油
95,辛苦了
96,辛苦了！谢谢！
97,谢谢
98,谢谢
99,辛苦了
100,真的是月球啊
101,谢谢谢谢谢谢您们!
102,哔站的屏幕颜色全变成灰色的了，看着不舒服，但是他又有特殊的意义。
103,疫情过后田书记要升了好官
104,谢谢
105,愿逝者安息，愿生者奋发，愿祖国繁荣发展 
106,辛苦了，谢谢
107,向你致敬
108,辛苦了辛苦了！！
109,for river！！！
110,去月球的BGM
111,致敬，谢谢！
112,谢谢
113,致敬，谢谢谢谢！
114,武汉加油
115,致敬
116,辛苦了
117,什么鬼
118,武汉加油中国加油
119,辛苦啊没有人替换社区
120,人民公仆
121,加油
122,谢谢！
123,真的是去月球啊
124,武汉加油
125,加油，辛苦了
126,谢谢❤️❤️❤️❤️
127,❤️❤️❤️谢谢
128,我做到了！
129,辛苦了，谢谢！
130,幸苦了
131,致敬
132,央视主播辛苦了，谢谢！
133,辛苦了❤
134,感动
135,我是小农我骄傲
136,谢谢
137,.
138,辛苦了，谢谢
139,辛苦了，加油
140,辛苦了，谢谢
141,武汉加油
142,加油
143,加油
144,手别乱摸
145,辛苦了辛苦了
146,辛苦了！谢谢
147,鼻子一酸
148,加油
149,不要拿手摸眼睛！！！！！
150,田书记，幸苦了
151,加油武汉，加油中国
152,致敬
153,建议开发志愿者岗位让更多的人体验社区工作才能真正加深理解
154,去月球的BGM哇
155,我来证明你开了弹幕
156,……
157,无名英雄很多的
158,大家尽量理解
159,加油
160,加油
161,。。
162,致敬
163,加油
164,热乎的
165,加油武汉
166,赞
167,求口红色号！
168,辛苦啦 谢谢
169,致敬
170,辛苦了！各个工作人员，谢谢！
171,辛苦了！
172,辛苦，默默做事的英雄
173,加油
174,。
