,comments
0,我，重度抑郁症，过敏体质……
1,医学生表示后天考试，看这些内容权当复习了。。。
2,医学生表示后天考试，看视频权当复习了。。。
3,我就喜欢听他讲小人
4,听不懂了是不？那就去看《工作细胞》yes
5,微生物排面
6,我也头孢过敏
7,2021年告诉你们中国挺过去了
8,“”免疫力”这个词就是不正确的
9,排面
10,细胞内战
11,哪都有你
12,排面
13,简称:你惹我一次，以后都收拾你啊
14,哈哈哈
15,我记得是第四声
16,排面
17,艾滋病毒攻克了CD4+细胞
18,泪目
19,听不懂光点赞了
20,高中生物呀
21,炕！！！
22,炕
23,跟央妈合作，应该不敢开车了吧
24,生物必修哈哈哈哈
25,感谢高中生物老师
26,jljlbn
27,？
28,老师别念了
29,我右手还在握拳呢
30,噗，没忍住
31,美国性病
32,监控防卫清除
33,监控防卫清除
34,正态分布
35,我就是
36,生物必修三的内容（doge）
37,为啥系统性红斑狼疮耳熟能详，我没得病前都不知道[捂脸]
38,我特喵握拳现在右手已经无法自己松开了！
39,红斑狼疮也算吧？
40,排面
41,290天高考！
42,必修三
43,高中生多多少少能听懂
44,确实是高中内容啊
45,网抑云的哪些无病呻吟的人该看看
46,发底端弹幕的能不能停一停？
47,能不能不要发底端弹幕？挡字幕很有意思？往上发不行？
48,考前必拉肚子
49,？？？我懵了
50,央视啊
51,师傅，别念了
52,可怕。
53,泪目
54,所以说考试就是一切病毒的来源
55,？获得     性免疫     缺陷综合征
56,师傅别念了
57,握紧左拳，大脑一片空白
58,就是我
59,好转吧
60,南征北战还不是超德国歌的
61,初二表示听懂了
62,peace!
63,别念了
64,炕元
65,这是医学知识，一群人还在说什么初中和高中
66,说白了，我真听不懂你啊~~
67,就是艾滋病
68,非特异性免疫应答
69,高中生物
70,幼稚园杀手 
71,幼稚园杀手
72,我一个文科生。。
73,耳环带起了
74,免疫防御还有监视作用
75,理科生的狂欢节
76,仿佛看到了我的《医学免疫学》
77,说正常人话
78,我这就是过敏体质
79,来姨妈呢
80,啊(ﾟoﾟ;一着急什么事儿免疫糸统就出来刷存在感
81,求人话
82,看看那些没心没肺的，都不爱得病
83,我的医学老师也读三声，就习惯了这么读
84,高考考生物的注意，全期高考必考知识点
85,我的天空
86,生物必修
87,高考生物
88,糸统性红斑狼疮
89,我要是有你上课，，我还睡觉
90,胎教不是压力高中理解高中部分，专业理解专业部分
91,miss
92,就是我，，过敏体质
93,说人话
94,给分给分
95,刚考完北京高考二模的我
96,高中生理工的，可能有些思维有问题嗷
97,想打人了都
98,宋小宝
99,阿婆主是荷兰娃娃吗？怎么是荷兰口音？
100,妈呀，发现头脑已经放空了
101,排面！！
102,复习高中生物
103,还是没说人话
104,好，现在就去睡觉
105,我一个文科听得有点。。。。。。。懵。。。。。。。
106,排面啊！！！！
107,医学生觉得可
108,强直路过…
109,这高中不都讲过？
110,排面！！！
111,你们聊 我先睡了
112,过敏
113,我TM……那我完了
114,加油
115,Q
116,你以为这就是人话了？
117,peace
