,comments
0,EXS牛逼
1,EXSL厉害了
2,团结就是力量
3,红钢城也是熟悉的地方
4,良知
5,聊城人听着很亲切
6,赢城集团
7,我爱高达
8,泪目
9,这个收货的集团公司特别的棒
10,赢城集团  棒棒棒！！！！！！
11,fgnb
12,我要是可以的话我想买他们的菜
13,辛苦啦
14,这是蔡甸区的话好不好，武汉每个区的口音其实都有点区别
15,这熟悉的口音哈哈哈哈哈
16,宝马车拉菜，正能量
17,全部都是老年人，年轻人帮帮忙
18,这么多大棚的菜运不进武汉
19,感动哭了呀
20,加油
21,应该都揣起来给儿女用吧
22,都是老人
23,加油
24,泪目
25,老家郴州宜章我觉得话好像啊
26,加油
27,从小吃红菜苔
28,还是不理解美国人泼牛奶，毁菜
29,配上这首音乐实在是太有感觉了，太经典了
30,不知道看了多少遍了，感觉这最后一段实在是太经典了，感觉甚至比好多的电影都精彩
31,进度条感人
32,都是老年人
33,他们口罩都没有多拿
34,致敬
35,辛苦了
36,极度唯美
37,双柳那边的
38,好喜欢这个up主拍的视频 配乐 画面 很抓心
39,武汉加油！
40,降临的bgm
41,全国的老头差不多
42,泪目了
43,致敬致敬
44,良心up
45,疫情下苦的是人民
46,都太不容易了
47,心疼
48,都不容易
49,武汉清零考古
50,致敬
51,泪目啊
52,赢城集团！
53,好人一生平安
54,谢谢
55,武汉加油！
56,辛苦了
57,辛苦了
58,加油
59,真.大白菜
60,真的没有哪个民族能做到在困难面前如此团结的
61,这种企业家才是值得尊敬的
62,泪目
63,老板们跟这个企业合作准没错了，老板人好
64,赢城集团
65,都勒红了，辛苦了
66,武汉人民辛苦了！！！
67,青山啊
68,致敬
69,不容易，可以说都是贱卖
70,菜薹还有人没吃过吗，超级好吃
71,熟悉的武汉话
72,加油加油加油
73,加油加油加油
74,谢谢林晨!
75,辛苦了
76,加油
77,辛苦了
78,致敬
79,谢谢
80,谢谢
81,谢谢
82,加油武汉
83,赢城
84,辛苦了
85,赢城集团。
86,\0
87,黄陂话亲切
88,亲切
89,泪目
90,加油
91,加油
92,加油
93,Kn 95口罩20多算贵？我们这卖55一张
94,Kn 95卖20几块钱算贵？我这边kn 95一个卖55
95,这种三轮车不是不能上路了吗
96,来回顾广告植入的
97,加油
98,好人一生平安
99,老爷爷辛苦啦
100,武汉加油
101,诶呦 一下子就泪目了
102,加油武汉加油
103,感谢！
104,看的太难受了
105,红菜苔在我们这边叫红油菜，特别好吃的
106,赢城集团NB！
107,谢谢你们
108,谢谢，加油
109,谢谢
110,致敬
111,辛苦了，谢谢你们！
112, 每次在医院看到抹眼泪的人就特别难过
113,阳逻话hhhhh
114,菜在贩卖过程会有折损，而且摊位贼贵。
115,春暖花开了
116,泪目
117,太难了
118,国家加油！！！
119,我还没吃过红菜薹呢？
120,家乡话好亲切
121,中国加油
122,加油！
123,安徽安庆人听了表示也很亲切
124,我买土豆都3.5。所以真的不贵。
125,这湖北话，，，听得好亲切
126,赢诚公司发展越来越好
127,峰哥财源滚滚
128,感谢这些平凡而伟大的普通人
129,劳动人民最光荣 
130,泪目，
131,鄂州人？
132,加油加油加油加油加油加油
133,红菜老了
134,赢城集团
135,伟大的人
136,"Wc,清风哥"
137,赢城集团！
138,赢城集团
139,好人一生平安，大富大贵！
140,普通人的生活也应该被记录下来的
141,武汉加油
142,保护
143,加油
144,好感动
145,活该你发财
146,人需要正能量的活着
147,希望我的儿子长大了，我可以带他一起做下志愿者
148,尤其是劳动农民
149,每个行业都不容易
150,武汉加油
151,祝老板生意越来越好！！！！
152,阳逻话？？？
153,保护
154,赢城集团
155,辛苦了
156,致敬
157,太空人
158,加油加油
159,老板还是个胶佬？!       爱了爱了
160,加油.
161,有志愿者染病去世 再回来看这个视频
162,致敬
163,加油武汉，加油湖北
164,眼睛好痛，好想哭
165,上一个视频来的
166,加油武汉加油加油
167,活该你发财
168,您摘了我们就要 哇 一下子泪目
169,中国的脊梁
170,加油加油
171,赢城集团
172,谢谢，真想给这家公司捐款
173,保护我方林晨同学！！！
174,感谢
175,感谢所有在这次疫情当中付出过的人
176,真的辛苦了
177,看哭了
178,都不容易啊
179,这手！泪目
180,买的还是市场价，不像某些人
181,fgnb
182,这就是中国吗， 爱了爱了
183,赢城集团
184,真好啊
185,赢城集团
186,类目
187,好人不配过得不好
188,；泪目
189,辛苦了
190,致敬
191,有些人就该发财
192,这么大年纪还在辛苦
193,太不容易了
194,蔡tai
195,泪目
196,伟大
197,哭了
198,武汉解封
199,2元一斤便宜？
200,我为我是中国人而感到自豪
201,赢城集团
202,这就是中国啊
203,农民的手，都是劳作的手，很美。
204,泪目
205,这不是武汉话。。。。。
206,一看就是个老二刺螈了
207,致敬
208,致敬
209,湖北盛产红菜薹，也就是这个阿姨手上拿的紫色的菜薹
210,城外的进不来武汉，武汉市内的区和区之间也都隔离开了
211,up也很了不起
212,谢谢你们
213,辛苦了
214,谢谢你们
215,终于解封了
216,瓶子姐
217,清峰哥NB！！！
218,廉颇年八十，尚能吃斗米，肉十斤。诸侯畏惧其勇，不敢犯赵
219,解封时代前来考古！！
220,4.18武汉解封
221,我很庆幸中国人很团结
222,赢城集团
223,武汉加油
224,感谢平凡而伟大
225,有条件，但更多了是心
226,都是老人
227,心塞
228,天呐
229,唉
230,武汉复活了 看着真好
231,干巴爹！
232,致敬
233,辛苦了辛苦了
234,我对不起国家，都二十多了什么本事都没有
235,中国真的很好了
236,辛苦了
237,辛苦了
238,致敬
239,就这种人只配赚大钱
240,宝马760m
241,不要让他们寒心啊
242,不要让他们寒心啊
243,谢谢
244,谢谢您
245,致敬
246,真的太辛苦了
247,辛苦了
248,致敬
249,谢谢
250,要注意安全啊
251,加油
252,致敬
253,谢谢
254,活该你平安
255,加油啊
256,加油
257,要注意安全啊
258,辛苦了
259,辛苦了
260,原来是企业家啊
261,油菜
262,宝马车？
263,活该他财源广进，健康平安！
264,谢谢这些朴素的人
265,全捐了
266,拿来换钱的菜
267,这全都捐了
268,捐的
269,感恩，互联网是有记忆的
270,你们成功守护住了你们的家-武汉
271,这里不是南方，这里是中部地区啊，冬天也能到零下5度，零下7度的！
272,大家都好善良
273,真好 能找到渠道帮菜农销菜
274,我好难过啊
275,加油
276,赢城集团
277,好人一生平安！
278,感谢有你
279,加油
280,武汉黄陂的
281,致敬
282,赢城集团
283,加油
284,全是老年人，
285,致敬
286,这也不是黄陂话啊
287,这是我的家家家公
288,赢城集团！！！！！！！
289,致敬致敬！！！！！
290,加油加油！！！！！！！！！
291,致敬！！！！！！！
292,赢在诚信，志在恒心
293,四月了
294,这就是中国人
295,致敬
296,是手
297,4.4日，疫情基本结束，我是武汉人，向这群伟大的人致敬
298,好人一生平安
299,辛苦了
300,谢谢
301,早日康复
302,富贵一生
303,辛苦了
304,辛苦了
305,谢谢
306,辛苦了
307,哭了爷爷辛苦了
308,我这里叫油菜
309,都是老人
310,武汉的确为全国全世界做出了牺牲
311,加油啊
312,这些人构成了民族的脊梁
313,武汉加油！
314,谢谢你们
315,哭了
316,赢城集团
317,狗子！
318,感谢！！
319,好亲切的笑声啊
320,这位老人满头白发了啊
321,加油！黎明就在眼前了！！
322,哭了
323,菜薹
324,红菜苔好吃得很啊！
325,红菜苔，跟藕一样是湖北的特色时令菜
326,青山，读书呆了四年的地方
327,母校门口，我看到秦风酒店了
328,莴苣不是莴笋
329,很努力了
330,加油！
331,有你们真好
332,你们都是英雄
333,人民的企业家
334,人民的企业家！
335,太不容易了
336,大家都辛苦了！！！！没有谁是容易的
337,谢谢
338,武汉加油，春天来了一切都会好起来的
339,这些老婆婆讲的不是武汉话好吧
340,又哭了
341,武汉加油
342,@方方 出来挨打
343,赢城集团
344,加油
345,感谢
346,老二次元啦
347,感谢你
348,泪目
349,曙光就在眼前
350,幸福都是奋斗出来的
351,这是我们的爷爷奶奶
352,我们也很难
353,武汉加油
354,不容易
355,加油
356,哎
357,含泪谢谢！我出身农村，深知其中的艰辛和无奈。
358,致敬
359,眼睛好红啊
360,来了
361,鄂州话，想吃老家的红菜苔了
362,活该你有钱！
363,这是个直播公司
364,哭了
365,中国人凝聚力量强大！自豪！
366,其实真的只要能出去就可以卖掉
367,辛苦了
368,加油加油加油
369,每一个人都要加油啊
370,加油啊大家
371,英雄
372,辛苦了
373,辛苦了辛苦了
374,好人一生平安
375,致敬
376,好人一生平安
377,都勒红了，辛苦了
378,辛苦了
379,加油
380,志愿者牺牲了怎么办？哭
381,红菜苔特别特别好吃！一定要在冬天尝尝武汉的菜苔  春天就长老了
382,真的买了几次空莴苣   
383,最爱菜苔  从小吃到大
384,鄂州话的感觉
385,卧槽bgm一出来我鸡皮疙瘩都起来了
386,666
387,好像长沙话
388,病毒给我滚！
389,武汉加油
390,看到了
391,我们有最勇敢的人
392,武汉加油！！
393,致敬
394,来了
395,辛苦了
396,老板发大财
397,这个干部也不错
398,3.25 武汉情况已经全面好转
399,加油
400,武汉加油
401,他们有的把新口罩放口袋里，大概是想给家里的孩子吧。。。。或者家里的亲人，好难受啊
402,好样的
