,comments
0,中国加油
1,我们就是一家人啊
2,全民免费接种啦！！！
3,靠团结～
4,没办法，人自律～
5,疫苗时代开启，回来看看
6,自律
7,5G的优势
8,治病不靠中医靠什么，我也是服了
9,一次疫情让我彻底看清西方的丑恶面孔
10,2020我们经历了悲壮的史诗
11,靠十四亿人民
12,泪目，伟大的人民！伟大的党！
13,中医很厉害的，青蒿素就是从中药里得来的灵感
14,知道什么叫中药吗
15,2020。10。13
16,此生无悔入华夏，来世还做中国人
17,谢谢武汉
18,感谢
19,全在家宅14天
20,我为是中国人而自豪
21,邮政啊 付出
22,希望小白鼠没事，希望科学家没事，希望人没事
23,希望科学家没事
24,希望人没事
25,希望人没事
26,灾难面前总有些人为我们负重前行！
27,中医药加油！
28,我们有中医！
29,中医药威武！
30,很多国家没法跟我们比
31,主要是隔离做得好
32,中医真的是头等大功劳啊
33,加油啊中，打电话！
34,泪目
35,来世再入华夏
36,靠自律逆转
37,中医加油
38,中医啦
39,中医本来就厉害，只是被西医妖魔化很久了
40,辛苦了，全体卫
41,团结一心，无所畏惧
42,我和我的祖国，一刻也不能分割
43,obedient is not a bad word in some cases
44,我大中华！！
45,传染病学都写着切断传播途径，那是科学好不好
46,现在有希望了
47,是所有患者凭借自己的意志抗过去的
48,祖国我爱你
49,靠的是党和人民
50,别发底部弹幕挡字幕行吗
51,日常生活我们互相扯皮，一方有难我们八方支援。这就是同胞
52,如果华佗没被曹操杀死，他可能是世界上第一个外科手术医生
53,谢谢武汉谢谢大家也谢谢您
54,感动不已
55,武汉解封，湖北开学！
56,如果信仰有颜色，那一定是中国红！
57,我们一直在努力
58,泪目
59,武汉人泪目
60,此生不悔入华夏
61,祖国万岁！
62,中药那个你要笑死我
63,感谢！！！
64,加油啊
65,中国加油！
66,中国牛逼中国加油！
67,大佬牛逼！
68,中华五千年华夏的医术
69,哭了T﹏T
70,泪目
71,中国人民团结一致
72,我爷爷说的对，家有存粮遇事不慌
73,因为怕死
74,此生无悔入华夏来生还做华夏人，中国加油。
75,此生无悔入华夏来生还做华夏人
76,看哭了，我的祖国真棒！
77,秘诀只有一个，就是团结
78,我爱的祖国和人民！！！！！！！！
79,为我的祖国和人民点赞！！！！！！！！
80,又用这首歌，别偷我歌单a
81,泪目
82,徐州馓子给武汉热干面加油
83,武汉人感谢国家所做的大量工作
84,我是武汉的，封城期间我们还能吃到各种水果蔬菜和冻肉，政府做了大量的工作
85,泪目
86,战忽局快出来工作
87,祖国万岁
88,我爱你中国
89,几千年的经验，真以为白给啊。
90,真以为中医摆设？
91,中国必胜
92,哇，明明觉得这没什么，是我们应该做的，被这么一说出来感觉好想哭
93,武汉人表示不苦啦，就是真的想吃热干面了哈哈哈
94,中国厉害
95,团结就是力量
96,同行全靠衬托
97,中国加油
98,那些外媒没有心
99,BGM:Reunited（Main Track_Full Length）- Various Artists
100,中国加油，世界加油
101,此生无悔入华夏，来世还做中国人
102,如果奇迹有颜色，那一定是中国红！！
103,我不懂为什么外国人不喜欢传统的防疫措施，明明在没有特效药之前它最好也是可以最快达到效果的一种方式
104,不止封锁了一个武汉 基本全国
105,泪目
106,此生无悔入华夏，乱刷一气尬不尬，心里知道就行了，干嘛来这秀一下
107,我是中国人我自豪！
108,0：32正片
109,我爱这个国家啊，好爱好爱。
110,那段时间天天晚上云监工火神山雷神山，在我们的监工下项目进展极其顺利
111,这个专家人很好
112,他也感动了
113,伟大的祖国
114,主要靠正气
115,军队一动民心就稳了
116,次世无悔入华夏，来生还做中国人
117,说的好像你们都不喝中成药一样 两种方式为你保驾护航还有什么不满吗？
118,说的好像西医不是现代医学一样 而且重症普通都有以中医为主救过来的好吗 央妈有报道
119,鬼扯，哪有什么奇迹！
120,靠伟大的中国人民
121,加油！
122,一脉相承
123,我一定要努力学习，为我的国做贡献
124,了不起
125,团结就是力量！！！
126,天                                    朝
127,天                            朝
128,建国同志加油
129,此生有幸入华夏，来世再约种花家！
130,中国人民和政府太优秀了。
131,我们山东捐了好多菜
132,他们忽略了中国人民的主观能动性
133,宅
134,这其实只是基本的防控，而其他国家的那些东西，根本不叫防控，叫闹着玩
135,文化底蕴我大华夏上下五千年历史文化底蕴
136,QAQ画质感人
137,中医药NB
138,我们广西！
139,！(◎_◎;)
140,如果奇迹有颜色，一定是中国红！
141,在家呗
142,这个美国学得来么？美国的州都是独立管制的吧
143,只有俄罗斯抄作业到位了
144,这种组织能力，还能有谁？
145,真的很感动
146,广西必须有牌面！
147,我竟然泪目
148,泪目
149,中国一点都不能少
150,我为我是中国人而骄傲
151,来世还做中国人！
152,泪目
153,每个中国人都应该自豪。。来生还在种花家
154,人心齐，泰山移
155,同行的衬托
156,靠素质！
157,感动
158,爱我中华
159,感谢武汉人民
160,9:57分报道
161,泪目
162,中华儿女齐心协力～(￣▽￣～)~
163,感谢每一位为打赢这场战役做出贡献的可爱的人们！
164,感谢武汉同胞！
165,为祖国而骄傲！！
166,泪目！
167,给国家投个币
168,有中药辅助
169,靠怕死
170,广西
171,加油
172,我爱我的祖国，我为此感到自豪。
173,中药
174,中药也加油
175,没啥，祖国强大，党爱人民！仅此而已
176,这才叫做  国家  吧，对比了其他爆发国家之后。
177,中国加油！
178,我爱中国
179,武汉是英雄的城市
180,好骄傲好自豪
181,每个人都在努力啊
182,老祖宗留下的方法
183,万众一心
184,人民！
185,广西牌面
186,了不起，美国领导人有点不靠谱
187,武汉加油
188,广西！
189,中国红
190,此生无悔入华夏，来世还做中国人！
191,此生无悔入华夏，来世还做中国人！此生无悔入华夏，来世还做中国人！此生无悔入华夏，来世还做中国人！
192,此生无悔入华夏，来世还做中国人！
193,此生无悔入华夏，来世还做中国人
194,武汉加油
195,中国加油
196,泪目
197,刷中医的都是什么学历
198,中医吹又出来抢功了
199,中医？？
200,弹幕中医吹麻烦出门右拐，不要抢全体国人功劳
201,我哭了
202,说中药的，劝你多读点书
203,现在全球都一样了
204,中国加油
205,每次看都很感慨万千
206,中国加油
207,我们广西穷，没有卡车，只能用火车拉
208,我们靠的就是众志成城
209,武汉加油
210,广西！
211,加油
212,加油！！！
213,半年才能知道疫苗效果
214,因为是中国，不是外国
215,老祖宗留下的财富
216,有脑子的你够了
217,中国！中国！中国！
218,泪目
219,此生无悔入华夏
220,泪目
221,加油，中国最棒的！
222,中医
223,心往一处想，劲往一处使
224,武汉加油
225,团结啊！我真的爱
226,中国加油！
227,来世还做中国人
228,为伟大的祖国，和伟大的人民感到无比自豪
229,中国加油
230,希望大家不要忘记中医药的功劳
231,我们真的有中医药啊
232,有中医药
233,靠的是中医药
234,经过几千年的人体临床实验，祖国医学积累的深厚的经验，所谓的不科学也没关系，以后总能证明的。
235,泪目
236,广西
237,有什么用什么
238,中国红
239,种花家无敌！！！
240,中国加油 武汉加油
241,我没想到有这么一天，我躺家里玩手机也是对国家做贡献
242,武汉加油
243,特朗普这个白眼圈永远都体会不到这种人民带给他的感动
244,谢谢大家
245,中国这份答卷不敢说是满分，但绝对是优秀
246,他说的fifteen million，一千五百万，没错
247,广东省远程医疗实施工作组报道！
248,如果信仰有颜色，那一定是中国红！
249,中国红是信仰的颜色！
250,此生无悔入华夏，来世还做中国人！
251,奇迹的颜色有很多，但信仰，只有一个颜色：中国红！
252,奇迹的颜色有很多，但信仰，只有一个颜色：中国红！
253,使劲夸！！
254,奇迹的颜色有千万，但信仰，只有一个颜色：中国红！
255,我们控制的好，
256,如果信仰有颜色，那一定是中国红！
257,兄弟们，中国红应援！
258,如果信仰有颜色，那一定是中国红！
259,如果有信仰，那一定是中国！
260,如果信仰有颜色，那一定是中国红！
261,武汉加油！中国加油！
262,武汉加油，中国加油！
263,中国加油
264,团结
265,huge
266,感谢武汉
267,此生无悔入华夏，来世还做中国人
268,中国加油
269,武汉加油武汉加油
270,靠的是以命换命
271,奇迹有颜色一定是红色
272,祖国万岁
273,我爱中国
274,世界加油！！！
275,加油加油加油
276,中国我爱你！！！！！！
277,扬我国威
278,抱歉，这世界上还没什么打败过中国人
279,让他们见识自认为垃圾的中药
280,I am proud of china
281,中国加油
282,武汉加油
283,此生无悔入华夏 来生还做中国人
284,感谢国家，感谢国人
285,泪目
286,决定了，孩子的名字就叫疫生吧
287,团结一心
288,此生无悔入华夏，来世还做中国人
289,泪目啊啊啊
290,BBC中文记者？
291,我们有中药
292,中国教你们怎么处理自己不好好学习借鉴怪我们咯（骄傲）
293,666
294,老不老无所谓，有用就行
295,看哭了，你们真的很棒
296,所以我们用人命堆出来的成果别浪费啊！真的要被某些国家气死了
297,凝聚力
298,一月已过，时光荏苒，致敬英雄
299,我是中国人我自豪
300,世界加油
301,中国加油
302,泪目
303,这样的调动真的很中国特色
304,中国加油
305,我们不是容易，是了不起♡
306,热干面加油
307,中西医结合
308,最古老也是最有效的治疗方法—隔离！封城！
309,看哭了T﹏T
310,看哭了T﹏T
311,万众一心
312,没弹幕？
313,加油
314,团结一心，共抗疫情
315,中国最牛！
316,我们全部已经有了群体免疫啊，英国坚持，美国坚持，你们马上也有群体免疫了
317,团结真的很重要
318,武汉加油，中国加油
319,全国人民都呆在家里的
320,是全国人民都呆在家里喔
321,不是鼓励戴口罩，是必须戴，不戴不能出门的那种，懂吗？
322,结果他们抄作业都抄不好
323,你的战术是现代的，构思却相当古老。你究竟是什么人？
324,J型曲线，害怕
325,只要你想，就没什么造不出来
326,中医
327,中国是用科学解释不了的奇迹
328,fifteen million people，1500万人。
329,众志成城
330,这种床老沉了
331,中国最棒，武汉加油
332,中医!
333,感谢父母把我生在中国！
334,中国加油
335,万众一心
336,政府和人员一起努力的结果
337,老祖宗留下来的，我们的信仰就是我们自己呀。
338,清明节考古
339,中国加油，武汉加油！
340,靠老祖宗留下来的中医中药
341,病毒不是生物，学了几年啊给还这s型增长了
342,加油
343,实干精神！
344,中国体制优势，致敬勇敢无畏的前线战役人员
345,这次抗疫中医的功劳不可埋没
346,中国加油
347,此生无悔入华夏，开始再做中国人
348,❤❤❤❤❤❤❤❤
349,中医药万岁
350,中医药万岁
351,加油！
352,运20
353,此生无悔入华夏，来世还做中国人
354,壮哉！我大中国！
355,伤寒杂病论
356,靠的是民族的团结！祖国万岁！
357,我爱我的国
358,广西！
359,脐橙QAQ，好好喜欢吃脐橙。
360,没有飞机，没有大炮，照样把侵略者赶回去
361,加油，必胜。
362,中国我爱你
363,感谢武汉
364,中国人不信耶稣不信上帝 只信自己信团结信人定胜天
365,我爱中国
366,真的感谢每一位抗疫工作人员
367,重庆小面为热干面加油
368,大家祖国我爱你们
369,加油中国
370,踩什么中医。ky怪越来越多了嗷。
371,感恩我是中国人
372,泪目
373,中国加油！
374,武汉加油
375,我爱你祖国！！
376,中国加油
377,中国加油
378,靠数字
379,世卫也掉色了
