,comments
0,中国加油
1,中国加油
2,必胜
3,加油简阳
4,加油
5,此生无悔入华夏 来世还做中华魂
6,中国加油！
7,我们对祖国有信心
8,中国加油
9,我骄傲我是中国人
10,没人看吗？
11,此生无悔入华夏
12,好帅
13,中国加油
14,冲冲冲
15,加油加油！  中国加油！  世界加油！
16,此生无悔入华夏
17,加油中国
18,中国，加油加油加油
19,中国必胜！！
20,大国形象，大国风范
21,武汉加油
22,祖国加油！！！
23,加油！
24,武汉加油，中国加油
25,ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
26,中国！！！
27,今天是4月4日，默哀
28,相信祖国
29,中国加油
30,中国加油
31,芜湖~
32,加油必胜!
33,中国加油
34,加油，中国！
35,帅
36,奥利给
37,武汉加油，中国加油
38,加油！！
39,加油
40,默哀
41,中国加油！
42,加油，中国加油
43,中国加油！
44,加油！
45,还是要夸一句好帅
46,冲！！！
47,加油
48,中国加油
49,他好紧张啊
50,中国加油
51,我爱我的祖国
52,加油中国
53,所有更有干劲
54,加油！！！！！
55,加油
56,好帅啊
57,中国加油！！！
58,帅一脸~
59,奥利给干啊！
60,必须
61,郭叔也太帅了
62,冲鸭
63,好！
64,好！！！
65,中国冲冲冲！！！
66,都要好好的::>_<::
67,我没有
68,帅
69,相信祖国！加油！
70,一往无前
71,相信中国
72,牛
73,他带起眼镜是真的帅
74,加油
75,好帅啊
76,我相信明天会会
77,冲鸭！！！
78,中国小康！
79,加油向前冲
80,中国人说到做到，没有任何困难能难倒英雄的中国人民
81,加油
82,武汉加油，中国加油啊
83,加油
84,加油
85,中国加油！武汉加油！大大加油！
86,相信祖国！
87,中国加油！
88,中国加油!!
89,加油
90,加油
91,冲鸭
92,冲鸭
93,好！！
94,加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油
95,硬骨头瑟瑟发抖
96,冲啊！
97,66666666666
98,牛
99,稳住，我们能赢
100,中国加油
101,我爱中国。
102,战字很精髓
103,加油 冲鸭！
104,武汉加油
105,中国加油
106,加油！
107,加油！！
108,加油！！！
109,加油
110,恩，这对国家信用是起正面意义的
111,太好啦！
112,三月底全面复工的话问题不大
113,加油
114,加油
115,帅呆了
116,祖国强大了，我觉得一定可以实现
117,加油鸭！！！
118,中国加油！
119,郭老师可太帅气了 武汉加油中国加油！
120,中国加油 大家加油
121,武汉加油
122,中国加油!
123,加油
124,加油
125,加油中国
126,太好了
127,中国加油！
128,那咋办嘛
129,加油
130,武汉加油，中国加油！一切都会有转机的！
131,中国加油
132,相信祖国
133,武汉加油ヾ(◍！∇！◍)ﾉﾞ
134,。
135,希望不要赶工，慢工出细活
136,武汉加油，中国加油
137,将来两年是买房的机会了
138,武汉加油，中国加油
139,i
140,中国加油
141,武汉加油啊
142,666
143,中国加油
144,武汉加油
145,加油！
146,武汉加油，中国加油
