,comments
0,三医院烧伤科有名，2019年12月份我去过这家医院
1,辛苦了
2,哈哈哈哈哈哈哈哈哈
3,加油 最棒的你们
4,辛苦了 一线工作者们
5,哈哈哈哈
6,辛苦
7,现在老师改毛卷子
8,辛苦了！
9,辛苦了！！
10,关门大吉
11,再也别开了
12,辛苦辛苦
13,辛苦了
14,卡姿兰大眼睛
15,5.6   现在已经好起来啦
16,好像考完试打扫卫生回家的感觉
17,辛苦了
18,加油！
19,辛苦了
20,辛苦了！
21,辛苦了！
22,又是神奇的比喻
23,辛苦了
24,锅包肉表示，祝愿早日关门大吉
25,身为一个学护理的学生，突然希望全球不在急需护士，而是再也不需要我们
26,叔瘦太多了
27,是亿点点！！！！
28,叔也是一个战士
29,叔别去蹭饭
30,加油，
31,加油
32,辛苦了！！！
33,太棒了，大家加油！
34,泪目
35,机器应该是擦拭消毒
36,关门大吉
37,辛苦了
38,祝叔关门大吉，
39,辛苦了加油？
40,辛苦了
41,辛苦了
42,辛苦了！
43,太好了
44,幸苦了
45,幸苦了
46,辛苦了！
47,你们都是最棒的。
48,辛苦了。
49,护目镜上都是雾水，她们连看东西都看不清吧，太辛苦了，谢谢
50,辛苦了
51,恭喜，关门大吉
52,恭喜 大吉
53,辛苦了辛苦了
54,谢谢，辛苦了，回去好好休息
55,辛苦了
56,辛苦了！
57,辛苦了！!
58,辛苦了，辛苦了
59,太好了！
60,辛苦了！
61,你们幸苦了
62,关门大吉
63,善后工作的感觉哈哈
64,辛苦了！
65,辛苦了
66,nice!
67,叔你感冒了吗？
68,辛苦了
69,辛苦了
70,辛苦了
71,お疲れ様です
72,辛苦了
73,辛苦了
74,辛苦了
75,辛苦，谢谢你们
76,都辛苦了大家
77,辛苦了辛苦了
78,辛苦了
79,辛苦了
80,关门大吉
81,辛苦了
82,烧伤专科医院，腾出来准备恢复正常门诊功能
83,早日关门
84,叔辛苦了，你最棒
85,辛苦了！
86,威海人为武汉加油
87,辛苦了
88,加油
89,加油
90,病毒需要宿主，没有宿主活不成的
91,赞
92,辛苦了
93,能听到这样的消息真是太好了
94,关门大吉
95,致敬
96,辛苦了(≧∇≦)/
97,关门大吉。
98,幸苦了
99,幸苦了
100,关门大吉
101,辛苦了
102,关门大吉
103,蜀黍
104,辛苦了，有您们我们才有安全
105,关门大吉
106,关门大吉
107,辛苦啦
108,看哭了
109,干得漂亮！！！！！太好了！！！！！！！！！！
110,辛苦了
111,辛苦了
112,辛苦了
113,辛苦了
114,好
115,辛苦了
116,辛苦了
117,辛苦了
118,辛苦了
119,辛苦了 天使们
120,辛苦了，谢谢你们
121,关得好
122,武汉加油
123,辛苦了关门大吉
124,。
125,辛苦了
126,辛苦了
127,关门大吉
128,辛苦了
129,加油
130,正道的光
131,加油
132,加油
133,辛苦了
134,谢谢
135,英雄辛苦了
136,加油加油
137,消毒啊！
138,叔！
139,加油！
140,这是部队的？
141,太棒了！
142,辛苦了
143,辛苦
144,你是“魔鬼”
145,谢谢了
146,太伟大了
147,辛苦了！！！
148,比芳芳真实多了
149,太好了
150,电器擦拭消毒，钢筋别杠了
151,辛苦了辛苦了
152,辛苦了
153,辛苦
154,ohhhhhhhhhhhhhhhhhhhhhh
155,关门快乐！
156,辛苦辛苦
157,辛苦了
158,辛苦了！
159,关门大吉
160,辛苦了
161,辛苦了
162,辛苦了
163,辛苦了
164,早日关门大吉！
165,关门大吉
166,关门大吉
167,关门大吉
