,comments
0,Lok tar-ogar
1,吼少侠
2,jeff
3,哈哈哈
4,鲜血与雷鸣！
5,为了联盟，但是还是支持你
6,为了部落
7,致敬英雄们！！！！！！！！！！！！
8,为了部落
9,吼少侠
10,叠甲
11,加尔鲁什
12,保护
13,为了部落
14,你可比游戏人物帅多了
15,叠甲，过！
16,帅
17,为了社区
18,为了部落
19,这句话怎么听着像骂人勒
20,相似度:0%。
21,为了部落！ 洛克塔！
22,哈哈哈
23,超神！！！
24,为了部落！！！！
25,帅
26,吼少侠！
27,为了部落
28,加油
29,一切为了部落
30,加油
31,呦呵老部落了
32,为了部落
33,gayrush
34,大酋长！！
35,6666
36,为了部落
37,为了部落！
38,兽人永不为奴！
39,加油
40,加油
41,钢铁部落 加尔鲁什
42,钢铁部落  加尔鲁什
43,致敬
44,加尔鲁士？
45,jjj
46,帅
47,帅
48,为了部落！
49,感谢
50,为了部落。
51,药水哥
52,艾泽拉斯的勇士们，停战吧
53,老部落了
54,帅！
55,为了艾泽拉斯
56,亡灵序曲！！
57,这个boss不敢打
58,加油
59,无畏战士
60,加油
61,战歌永不停息！
62,为了中国！
63,出门自带吼肩的男人
64,为了部落
65,哈哈哈哈哈
66,为了部落！！！！！
67,挺帅的
68,不胜利，毋宁死
69,加油！
70,不胜利，母宁死
71,为了部落！
72,这才是正统部落！
73,NCH啊哈哈
74,为了部落
75,哈哈哈哈哈哈哈哈哈哈哈
76,为了联盟
77,为了部落
78,乐在其中
79,加油
80,666
81,老wower了
82,不吃好的  不吃贵的  整个嘎嘣脆的
83,不吃好的  不吃好的
84,无聊
85,千
86,为了部落！
87,为了部落
88,为了部落！
89,叠甲！过！
90,人才
91,666
92,lok tar ogar！
93,为了部落！
94,为了部落！
95,是亲妈hhh
96,BGM亡灵序曲！
97,为了部落
98,为了部落
