,comments
0,点赞
1,哈哈哈哈哈哈
2,用心了
3,哈哈哈哈哈哈哈
4,华科校友来辣
5,管泽元是你吗？
6,我江苏nb
7,前面说捐两箱太少的那位，人家捐了好多好多家
8,这繁体字不是林青霞是谁？
9,？？？？？？？？哈哈哈哈哈哈哈哈哈哈哈
10,这个我在央视看过
11,用繁体字，很明显就是青霞了
12,我也很好奇
13,日出东方唯我不败
14,和我一样，不愧是我
15,送了好多家 那就不少了 我为我说捐少了道歉
16,不是我杠精 是这个太少了 真的太少了
17,哈哈哈哈哈哈哈哈哈
18,所以你拿走了！！
19,你咋把信拿走了？？？？
20,叔憔悴了
21,哈哈哈
22,有点像许亚军
23,捐了好多家了，加起来已经很多了，不管怎么样，都谢谢她了
24,女神！
25,大叔肯定是央视十频道的
26,辛苦了
27,辛苦了
28,紫霞捐了吗？
29,女神
30,女神青霞太棒了
31,这霸道的字体。。
32,hh
33,开幕雷击
34,繁体字也
35,低调了
36,太低调了吧
37,辛苦了
38,能不能把脸转过去
39,中过加油
40,猜的。。
41,你胡说～开心的要死
42,从台湾发过来不容易呀！
43,安徽报道！
44,加油
45,江苏制造
46,愁眉苦脸？
47,可想而知，西方现在的医疗物资时多紧缺。4月4日
48,这次一定
49,有的人面对镜头会尴尬紧张
50,抢物资
51,辛苦了
52,这个头好阔怕，再想想青霞挺美的
53,加油
54,林青霞一直觉得自己是中国山东人
55,辛苦了
56,加油
57,女神的字真好看
58,女神
59,辛苦了辛苦了
60,加油
61,加油
62,繁体
63,辛苦了
64,武汉加油，地球加油
65,永远的女神
66,致敬！
67,？？？？？？？？？？？？？？？？？？？？？？
68,平凡岗位上的英雄，辛苦了
69,叔你上央视了
70,辛苦了
71,空手去的？
72,中国必胜
73,我们实验课就用这个
74,走好
75,加油
76,咋还顺走了呢
77,头几天苦了我们医生，现在好了
78,有点黄庭坚的味道
79,？？？？？？？
80,哈哈哈
81,？还拿走
82,辛苦了
83,署名青霞表现了低调
84,采访了一会人也放松了
85,夸一下我大吴江！
86,哈哈哈哈哈哈哈哈
87,人很热心，就是这字写的我不认识啊
88,辛苦了！
89,之前压力太大了！
90,辛苦了
91,辛苦了
92,是我了
93,辛苦了
94,你主动向人家要的，不是他送的
95,明明是你自己向他要的
96,66666666
97,666666
98,疑似。。。
99,其实叔就是拿信去的2333
100,冷链车改货车
101,我大江苏厉害了
102,一个普通人哪里像明星一样镜头感那么强，肯定还有点不适用的
103,2333333333
104,好好休息
105,尴尬啊
106,这个兄弟耳朵都变形了
107,血赚
108,叔你还怕暴露年龄么？
109,好烦那些杠精，捐了也不行，不捐也不行
110,血赚
111,用的还是繁体字，应该是台湾来的
112,每封信都是手写
113,就是青霞本人和朋友捐的
114,青霞好棒
115,叔
116,叔，你头发长了
117,辛苦了
118,女神！
119,辛苦了
120,字好看
121,真好
122,字不错
123,叔就是央视的记者
124,叔很好奇
125,正压呼吸机
126,叔，你的脸还用暴露年龄吗 狗头
127,呼吸机贼贵
128,辛苦了
129,是我女神捐的
130,谢谢
131,我寄的也是这个牌子咧
132,叔，你的观察挺敏锐啊
133,哈哈哈哈哈哈你咋回事！
134,我也一样
135,你就是冲着签名去的吧233333
136,辛苦了
137,繁体字，没有错
138,哈哈哈哈哈哈最可爱可敬的一群人啊
139,哈哈哈哈哈哈哈哈哈哈
140,哈哈哈哈哈哈哈哈哈哈哈 吃了文化的亏
141,三四百人三班倒。正常。
142,字好看
143,年龄写脸上了叔
144,辛苦了
145,我也每个字都认识哈哈哈
146,我就知道叔会拿走，因为我也想要
147,开始了
148,叔是来顺信走的把
149,青霞 紫霞
150,我家用的就这种
151,辛苦了
152,辛苦了
153,安徽牛
154,辛苦了！真正的英雄！
155,丑
156,追星哈哈哈
157,呜呜呜呜我女神！！！！
158,有没有发现叔的脸变小了，口罩把脸给包住了
159,白嫖成功
160,我也是
161,女神姐姐
162,我也喜欢青霞
163,女神
164,真好
165,青霞姐永远的女神
166,铠甲
167,这东西挺贵
168,哈哈哈
169,好事！谢谢你们的努力！武汉快好了！
170,我看视频也又哭又笑，谢谢你们
171,哈哈哈哈哈哈
172,胖了
173,哈哈哈哈哈哈哈哈哈哈
174,我也想要...
175,女神!!!
176,妈耶 五千 一天。。。
177,通过华科大北京校友会在一月底捐献一点点心意
178,真的高兴棒！
179,叔你笑啥呀哈哈哈哈哈哈
180,血赚？
181,赶紧恢复正常！
182,医护人员一定要好好休息啊
183,好好休息
184,眼袋好重啊！
185,白嫖哈哈哈哈哈
186,这字好英气啊！
187,赚大了
188,你笑起来真好看
189,好好休息 辛苦了
190,合力叉车！
191,哇⊙ω⊙
192,我们做化学实验天天用这个。。
193,叔也开心了
194,血赚
195,泪目
196,泪目
197,泪目
198,血赚这次值了
199,叔和小伙伴们都辛苦啦！
200,007
201,憋着笑不笑出来，低调啊
202,早日與家人團聚
203,东方不败
204,开心
205,叔辛苦了 注意身体
206,哈哈哈
207,姐姐超棒！
208,阿霞啊啊啊人美心善啊
209,一定要平安
210,jhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
211,丑了
212,紫霞
213,许亚军
214,你们就是前线！辛苦了！
215,辛苦了
216,就是前线阿
217,真实
218,千反田行为
219,青霞女神
220,林青霞真的是太美了
221,林青霞
222,这就是我们老一批人，跟你们年轻人追星的不同，我们知道这个事也很淡定，拿到签名就拿到了，没必要激动的要死要活，把明星当神，是对自己父母最大的不尊重
223,字挺像的
224,这个人情商好高
225,青霞紫霞
226,辛苦了！！！
227,不，叔，你为啥怕暴露年龄啊，咱爱的就是你这张老脸啊
228,这可是亲笔签名
229,同名同姓？
230,今天看韩国说医生一次性口罩反复用
231,粮草太重要了
232,鲜生活！我们公司！
233,这个口罩戴着真不好受
234,一位铁粉也去支援一线了
235,青霞姐姐的粉丝也组织捐赠物资了
236,辛苦了
237,物资真行！
238,是她555
239,555我的爱豆
240,跟我做完型一样
241,辛苦了
242,辛苦了
243,老粉丝了
244,来都来了笑死我了哈哈哈哈
245,好起来了！
246,应该是物资更规范化了，更适合医疗卫生使用
247,BMW
248,白嫖石锤
249,哈哈哈哈哈哈哈哈哈
250,叔
251,耳朵勒弯了，是因为一直戴着口罩，耳朵会很疼，要戴出来一点
252,字真漂亮
253,我也喜欢林青霞
254,女神！！
255,巧了，我也是她粉丝
256,没事，我也爱林青霞
257,我女神也是青霞啊
258,我可以肯定，应该就是林青霞捐的，这个字迹就是她亲笔写的，一周前还上了热搜
259,确实是林青霞啊
260,女神林青霞
261,我太喜欢林青霞了
262,林青霞好棒
263,青霞真的女神
264,林青霞一直都是默默做好事
265,从小就喜欢的女神
266,不愧是我女神
267,你们去微博热搜看看啊，林青霞这个字体还上了热搜的
268,青霞女神有个爱心基金会，近年默默无闻做过很多捐献
269,不愧是我女神
270,天啊，女神啊
271,青霞年轻时真的超级清纯的
272,林青霞年轻时真的是绝世美女
273,林青霞人美心善
274,青霞女神！！！！
275,谢谢女神！！！
276,感谢女神！
277,林青霞和老公有一个爱心基金会，捐了也不奇怪
278,会不会是林青霞粉丝捐的
279,是林青霞
280,没错，就是女神捐的啊
281,这个就是林青霞捐的，我认得这个标志
282,林青霞是真的有捐，只是一直没有说出来
283,作为林青霞粉丝，林青霞确实捐了物资去武汉
284,青霞确实捐了物资啊
285,林青霞的女神
286,林青霞我爱你
287,啊啊啊啊啊童年女神青霞
288,青霞女神！！！
289,林青霞女神
290,女神啊！！！
291,叔血赚
292,你这都顺走了？！
293,能休息能不笑吗
294,辛苦了，谢谢你
295,眼袋
296,苏州！！
297,哈哈哈哈哈哈哈哈哈哈+1
298,……
299,不用暴露  看脸就知道了
300,终于拿到签名了
301,哭了，现在要越来越好了
302,哈哈哈哈
303,太好了
304,不能笑，口罩会掉
305,辛苦了
306,感动
307,女神
308,微博上有这个，是本人
309,血赚
310,穿插大宝荐特别明显，叔你瘦了
311,哈哈哈哈哈
312,白嫖一封亲笔信
313,是的
314,突然我也想捐手套了，署名青霞，四舍五入我也是林青霞
315,嗨，这可还行
316,王后雄？？
317,有列个单子吗 想以后支持这些公司
318,今天正好看《警察故事》看到青霞姐
319,然而是真的
320,？？？咋还把信顺走了哈哈哈哈
321,这个眼袋，辛苦了。
322,好很多，就是 更加有流程，方便流通
323,老千反田了
324,可以裱起来了哈哈哈
325,我去！发了啊！叔！
326,莫做怪相，叔
327,字很漂亮
328,丑了丑了
329,我至尊宝何在
330,想要啊
331,应该是写了一封，印了很多
332,现在肯定不缺了
333,你们非常重要
334,缓缓打出一个？
335,您还用暴露？ 哈哈
336,假粉
337,厉害
338,我也觉得
339,蛮帅的
340,武汉加油
341,一定要支持
342,口嫌体正
343,也好多啊
344,叔受了
345,春暖花开之时、定是我们打赢这场战役之时！加油。
346,真的辛苦了！
347,厉害了~青霞姐
348,23333
349,太酷了！！
350,青霞哇哦！
351,华中科技大学青岛校友会报到
352,给江苏撑起排面，
353,辛苦了
354,承包空屏
355,繁体字
356,能休息说明好转啦
357,张青霞是你吗
358,哈哈哈哈哈哈
359,这嘴唇简直了
360,字是真的好看
361,我也觉得不是
362,叔
363,被怼脸多少有点紧张吧
364,都写在脸上了还要暴露个啥
365,哈哈哈哈哈是我
366,青霞姐~~
367,叔听着气短啊……
368,前线后勤很重要啊，没有物资还怎么工作
369,青霞姐姐啊啊啊
370,何炅？
371,青霞姐姐我来了
372,开   屏   暴   击
373,哈哈哈哈哈哈哈
374,江苏必须有排面
375,我觉得不是
376,辛苦了
377,白头发
378,该剪头了
379,来都来了
380,越来越好了
381,准一线
382,第一
383,千反田
384,开心
385,不敢说充足，怕背锅
386,紧张了，小哥哥好可爱
387,牙科
388,又不是只捐了一个地方
389,辛苦了
390,辛苦了
391,哈哈
392,李青霞 王青霞
393,辛苦了
394,字写得真好
395,不要道德绑架哦，捐了就是心意
396,赶紧微博去点赞
397,叔是专门去要签名的
398,永远的女生
399,白嫖
400,涂点唇膏啊叔
401,哈哈哈
402,紫霞那个，我是至尊宝
403,情况好了
404,上新闻了都
405,就是他
406,这个爱心是上海的书法家王宇鸣先生的创作
407,前面不是说了吗....送给叔了....
408,加油，武汉！
409,好字好心！
410,看看现在的明星
411,老一辈国民级偶像
412,太好了，这说明越来越正常啦，辛苦
413,辛苦了
