,comments
0,河北加油啊！！！
1,我燕赵儿女
2,你们辛苦了
3,石家庄加油，河北加油
4,江西排面！
5,再见了
6,笑眯眯的眼睛好好看
7,江西人加一
8,年末看这画面依旧泪目
9,心疼心疼
10,河北排面
11,再见
12,辛苦了
13,泪目
14,兴奋吧
15,赶赴下一个战场
16,哈哈哈
17,再见
18,青海欢迎你
19,青海排面！
20,青海排面
21,回到了童年。。
22,再见
23,英雄们辛苦了！
24,河北的举手！！！！
25,我已出舱，感觉良好。
26,国旗
27,再见
28,再见
29,辛苦了！！
30,关门大吉
31,再见
32,再见
33,叔儿也是英雄
34,谢谢你们
35,泪目
36,类目
37,关门大吉
38,再见
39,您还挺幽默
40,我也是
41,0317报道。
42,再见！
43,再见
44,关门大吉
45,再见
46,有的人愿意露脸，有的不愿意
47,23333
48,流言蜚语，它们陪吗
49,再也不见
50,再见啦
51,拜拜
52,好可爱
53,谢谢大家
54,我已出仓感觉良好
55,无害化处理呗
56,关门大吉
57,再见
58,周冬雨
59,再见 加油中国
60,辛苦了
61,再也别回来了~再见
62,再见
63,像极了明天放假的我
64,浙江医疗队
65,再见
66,再见
67,再见！以后 万事都会顺利！
68,再见
69,中华人民共和国万岁，中国人民万岁
70,看到希望了
71,关门大吉
72,记住这个记者  他之前是胖子胖子  现在快认不出了
73,再见
74,再见
75,河北的白衣战士们！
76,啊啊啊啊啊江西棒棒的
77,再见 感谢你们
78,叔
79,再见
80,谢谢
81,关门大吉
82,河北来了！！！！！！！！！！！！
83,再见
84,关门大吉！
85,再见
86,hhhhhhhhhhhhhh好可爱
87,再见
88,关门大吉
89,有你们更英雄
90,再见
91,再见
92,再见
93,泪目
94,关门大吉
95,关门大吉
96,再见
97,aij
98,关门大吉
99,再见！
100,泪目...
101,辛苦了
102,可爱溢出来
103,再见
104,我们的五星红旗
105,哈哈哈哈
106,再见
107,辛苦了
108,泪目
109,河北老乡！
110,河北！！
111,关门大吉！
112,武汉加油
113,再见
114,再见
115,泪目
116,泪目
117,哈哈哈哈哈
118,哈哈哈哈哈哈
119,再见
120,辛苦了
121,这些床怎么处理？
122,关门大吉
123,再见
124,八方支援
125,哈哈哈哈哈
126,辛苦了！
127,谢谢你们！
128,再见
129,关门大吉
130,关门大吉
131,哈哈哈
132,再见
133,只能看见眼睛
134,再见
135,你们也辛苦了白衣天使
136,关门大吉
137,大家都是第1次，上次出现这种情况的时候，还是1918年美国流感。
138,再见，再也不见
139,再见
140,都是过命的交情
141,再见各位
142,再见
143,再见
144,再见
145,关门大吉
146,关门大吉
147,"再见,不见."
148,辛苦了谢谢
149,关门大吉
150,永远不见
151,青海欢迎你！
152,坐标河北唐山下某县 前天最高礼遇接回了我们的五位援鄂医疗队的医护人员
153,再见
154,关门大吉
155,感谢医护人员
156,祝贺关门
157,再见
158,再见
159,关门大吉！
160,小林老师
161,再见
162,辛苦了！
163,辛苦了！
164,再见
165,再见
166,再见
167,再见
168,关门大吉
169,再见
170,再见
171,再见
172,再见
173,扎心了老铁
174,扎心了老铁
175,再见
176,再见，感谢你们!
177,再见了，关门大吉
178,再见都辛苦了
179,打不打码是病人自己要求，要打就打，不打就不打
180,我在武汉客厅的方舱医院，出来的时候哭惨了
181,再见
182,谢谢你，方舱医院，愿中华与你再也不复相见
183,再见
184,小姐姐
185,含着泪的笑
186,再见
187,这大叔在泡脚 hhhhhh
188,关门大吉
189,再见
190,再见
191,辛苦了
192,江西老乡争脸了！
193,鼻子暴露了
194,关门大吉
195,以后别开了哟
196,再见
197,这个医院必关门大吉
198,再见
199,你们辛苦了，谢谢你们
200,江湖再见
201,再见再见
202,再见
203,关门大吉
204,致敬
205,真实
206,老表
207,辛苦了
208,江西欢迎你们！！！
209,恭喜关门
210,床垫商家辛苦了
211,好涩哦（褒义
212,我们中国人支持！
213,去看看他们的脸
214,再见
215,关门大吉
216,叔你来了人家挂机了
217,再见
218,关门大吉
219,再见，平安回家
220,江西101，这才是值得追的101
221,我大河北
222,谢谢你们
223,再见
224,关门大吉！
225,关门大吉。
226,来来来，江西欢迎你们
227,再见
228,再见
229,再见！
230,泪目
231,再见
232,再见，再也不见！
233,来吧，小姐姐
234,大江西
235,再见
236,希望不要开门
237,人民万岁
238,再见
239,再见
240,再也不见
241,再见
242,关门大吉
243,我看哭了 辛苦了
244,再见
245,再见
246,关门大吉
247,再见
248,再见，永不再见
249,关门大吉
250,关门大吉
251,泪目
252,大江西
253,再见！再也不见
254,河北小姐姐
255,完结撒花
256,233
257,辛苦
258,我大河北牌面！！
259,河北老乡
260,辛苦了
261,国旗！
262,英雄们，辛苦了。
263,河北杠杠的
264,再见
265,单亲妈妈有些人还如此严苛吗
266,玩游戏放松下没啥。。
267,"出院快两个月了,我非常理解"
268,坑队友
269,再也不见，方舱医院
270,再见
271,关门大吉
272,关门大吉
273,再见
274,再见
275,再见
276,关门大吉
277,再见
278,再见
279,关门大吉
280,再见
281,泪目
282,哈哈哈哈哈
283,关门大吉
284,再见
285,再见
286,看不到脸
287,泪目
288,只看双眼还是挺帅
289,你们辛苦了
290,关门大吉
291,辛苦了
292,关门大吉
293,大河北光荣
294,再见
295,这个国旗我直接泪崩
296,再见
297,再见
298,泪目
299,哈哈哈哈
300,辛苦了
301,再见
302,江西欢迎你们
303,关门大吉
304,眼睛里进砖头了
305,关门大吉！
306,再见
307,辛苦了
308,关门大吉
309,再见！
310,关门大吉
311,关门大吉
312,关门大吉
313,九江前来报道
314,好哭
315,！！江西
316,再见
317,再见
318,再见
319,人家不舍是舍不得战友
320,再见
321,再也不见
322,辛苦了
323,我眼睛里进了珠穆朗玛峰
324,关门大吉
325,大河北的英雄！！
326,辛苦了
327,关门大吉
328,关门大吉
329,年纪大了，眼睛里面就容易进沙子
330,see you
331,see you
332,再见
333,江西欢迎你
334,江西
335,再见
336,哈哈哈
337,你们最棒
338,辛苦了
339,关门大吉
340,辛苦了
341,江西风景独好！欢迎你们
342,再见
343,关门大吉
344,关门大吉
345,再见!
346,再见
347,我的大河北！！
348,河北人民爱你们！！
349,再见
350,河北小姐姐辛苦了
351,再也不见！
352,辛苦了
353,关门大吉
354,关门大吉
355,关门大吉
356,不舍是在另一个方面的
357,再见
358,再见
359,再见，再也不见
360,再见，关门大吉
361,再见
362,大河北！
363,关门大吉
364,关门大吉
365,再见
366,关门大吉
367,浮南人
368,再见
369,唐山的么？
370,河北老乡！
371,再见再见，这辈子别开
372,再见
373,辛苦了
374,再见
375,关门大吉
376,哭了
377,关门大吉
378,再也不见
379,江西老表
380,关门大吉
381,真的从头到尾见不到这些医护人员的脸
382,加油！
383,再见！
384,武汉欢迎大家
385,江西欢迎大家
386,再见
387,再见
388,再见
389,再见
390,再见
391,关门大吉
392,关门大吉
393,应该说永别
394,再见，永别吧疾病
395,再见
396,幸苦了
397,再见
398,江西老表欢迎你
399,再见
400,出舱? 。。哈哈哈
401,再见
402,江西老表
403,再见，再也不在方舱见面
404,再见
405,我就站在你面前 你却不知道我是谁
406,再见
407,你们都是英雄
408,辛苦了
409,再见
410,谢谢你们肯来武汉帮助我们！！！你们辛苦了
411,再见
412,哈哈哈
413,辛苦啦！
414,英雄们你们辛苦了
415,现在是15:06分，关门大吉
416,赶紧关门
417,再见也再也不见
418,再见
419,感恩 你们
420,Go china
421,永远都不要开门了
422,关门大吉
423,再见
424,加油
425,拜拜，祝未来更加美好
426,再见了大家，辛苦了。
427,再见
428,再见
429,我大江西
430,再见
431,关门大吉
432,辛苦了
433,再见
434,再见
435,再见
436,你们辛苦了
437,再见！！
438,待到春回大地，我们一起去武汉旅游吧！
439,再见
440,再见
441,关门大吉
442,福建人民献上敬意
443,关门大吉
444,关门大吉！
445,再见
446,你们辛苦了
447,再见
448,再见
449,关门大吉
450,关门大吉
451,拜拜
452,再见
453,给我早点回家休息。
454,谢谢你们
455,再见
456,再见
457,再见
458,哈哈哈哈
459,再见 永别
460,再见 永别
461,再见 永别
462,再见
463,关门大吉
464,再见
465,辛苦了
466,好哈哈哈哈哈哈哈哈哈哈哈
467,恭喜关门！
468,关门大吉
469,再见
470,See you.
471,关门大吉
472,这次病毒给我们中国人民上了一节团结的课。      泪目。
473,谢谢你们
474,再见再见
475,兄弟们把谢谢打在公屏上。
476,江西只魂！
477,再见
478,再见
479,辛苦了
480,再见
481,再见
482,关门大吉
483,谢谢，再见。
484,再见
485,再见
486,泪目
487,谢谢你们！
488,大江西！！
489,再见
490,中国万岁
491,河北人在此
492,再见
493,关门大吉
494,关门大吉
495,关门大吉
496,笑出眼泪
497,光看眼睛就觉得漂亮
498,再见
499,再见
500,好可爱
501,笑着笑着就哭了
502,泪目
503,辛苦辛苦
504,哈哈哈哈哈
505,你们也辛苦了！
506,关门大吉
507,可爱
508,叔还问人家穿纸尿裤什么感觉。哈哈哈
509,再见
510,4.4号中午13点，有人吗
511,我大河北！
512,不相忘于江湖
513,出舱了哈哈哈
514,再见
515,河北小姐姐们辛苦了！
516,关门大吉
517,关门大吉
518,应该搞一个关门大吉仪式
519,再也不见
520,福兰人儿
521,关门大吉
522,再见！辛苦啦
523,再见
524,你们辛苦啦
525,关门大吉
526,再见
527,江西江西！
528,关门大吉
529,关门大吉
530,再见
531,江西！！！
532,关门大吉
533,这辈子别开门了谢谢
534,再见
535,再见
536,辛苦了
537,我们记得！
538,江西！
539,关门大吉
540,说死在里面的有问题吧
541,再见
542,关门大吉
543,感觉这个小姐姐好好看
544,再见
545,再见
546,hhh湖南口音我一个外省的都听出来了
547,叔
548,再见！
549,再见
550,洪山体院馆
551,感觉好羞耻
552,关门大吉
553,再见
554,再见
555,再见了！
556,再见
557,辛苦了
558,再见
559,再见
560,阿卡林的人
561,老表好！
562,江西！
563,辛苦了
564,感谢医护人员，关门大吉
565,关门大吉
566,拜拜
567,关门大吉
568,关门大吉
569,哈哈哈，好可爱
570,声音好好听呀
571,关门大吉
572,再见
573,再见再见
574,历史会铭记这一切
575,关门大吉
576,关门大吉
577,泪目
578,心酸
579,阿卡林省的前来报到！
580,年纪大了眼睛里容易进砖头，我擦嘞
581,我已出舱，感觉良好
582,关门大吉
583,再见！
584,再见
585,再见
586,河北啊
587,送走瘟神
588,再见
589,再见
590,再见
591,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈太可爱了
592,再见
593,关门大吉
594,再见
595,关门大吉
596,关门大吉
597,关门大吉
598,再见
599,再见
600,关门大吉
601,再见
602,再见
603,辛苦了，各位英雄
604,关门大吉
605,辛苦了辛苦了
606,再见。
607,泪目
608,武汉加油，再见
609,快倒闭
610,再见
611,再见
612,再见
613,再见
614,热泪盈眶
615,这个床垫一定很舒服
616,再见
617,再见
618,再见！
619,老乡
620,关门大吉
621,再见
622,关门大吉！
623,再见
624,关门大吉
625,关门大吉！
626,为江西打call
627,有你们真好
628,笑眼真好看~
629,河北!
630,再见
631,再见
632,关门大吉
633,再见
634,再见
635,辛苦了
636,关门大吉
637,哇靠穿这个一晚上，好辛苦
638,再见再见再见再见
639,再见
640,再见
641,再见再见
642,关门大吉
643,关门大吉!再见!
644,我一个泪点低的人居然哭了
645,再见
646,再见
647,再见
648,拜拜
649,辛苦了大家
650,希望再也用不到了
651,看看她们的脸，这句话真的泪目
652,致敬
653,再见
654,关门大吉
655,23333333
656,关门大吉
657,辛苦了
658,再见
659,再见了，希望再也不见
660,关门大吉
661,关门大吉
662,关门大吉
663,再见
664,关门大吉
665,今天的B站怎么了
666,河北！！！
667,好可爱
668,再见
669,给河北人长脸了！
670,再见
671,医闹的长点心吧
672,啊啊啊
673,再见
674,再见   谢谢
675,哈哈哈哈哈哈哈
676,江西！
677,唉
678,哈哈哈哈哈
679,辛苦了
680,再见
681,再见
682,辛苦了
683,关门大吉
684,辛苦了！再见！
685,关门大吉！
686,再见
687,再见
688,再见
689,河北唐山哒路过
690,辛苦了
691,感谢
692,再见
693,关门大吉
694,这是第一次，也希望是最后一次
695,致敬
696,小哥不敢玩了，心疼段位
697,再见
698,再见！
699,哇，我大河北
700,关门大吉
701,关门大吉
702,再见
703,再见
704,你们辛苦了！
705,辛苦了
706,天啊我们河北的 爱你们
707,关门大吉！
708,辛苦了
709,再见 你们要健健康康的
710,关门大吉
711,江西欢迎你
712,再见 中国加油！
713,大江西～
714,战友情
715,再见
716,再见
717,再见
718,再见
719,加油
720,辛苦了！
721,她的不舍是对患者和一起奋斗的医生护士的不舍，不是对这个医院的不舍。
722,谢谢你们为国家所做的一切
723,再见
724,辛苦你们了
725,关门大吉
726,关门大吉
