,comments
0,致敬
1,致敬
2,吓得我赶紧看了进度条一眼
3,辛苦了
4,辛苦了
5,致敬！
6,辛苦了
7,这不能白嫖
8,危
9,辛苦了
10,我以为是加里奥说话呢
11,辛苦啦
12,跃空锤！！！
13,危
14,致敬英雄
15,美利坚精神
16,致敬！
17,辛苦了！
18,排面！
19,辛苦了
20,致敬
21,辛苦你们了
22,排面
23,致敬
24,靠，空中劈叉
25,排面
26,后悔椅
27,哈哈哈哈哈哈哈哈
28,致敬
29,辛苦了
30,哎哟，眼睛进宏原子了
31,斯哈斯哈
32,谣妹妹
33,排面
34,辛苦了
35,什么叫排面啊
36,辛苦了
37,危
38,斯哈斯哈
39,我没哭，只是眼里进pocky了
40,WASTED!
41,辛苦了
42,排面
43,危
44,危
45,危
46,排面
47,辛苦了
48,院长：我不干了
49,排面
50,辛苦了
51,致敬
52,辛苦了
53,辛苦了
54,致敬！
55,辛苦了
56,辛苦了
57,英雄们永世不忘！
58,辛苦了
59,经典，后悔椅
60,这是什么奇怪的要求。。
61,前方泪目！！！！！！！！！！
62,泪目
63,辛苦了！
64,造谣是违法的，大家注意举报
65,干得漂亮
66,^_^
67,致敬！
68,辛苦了
69,警察管得宽多了哈哈哈
70,辛苦了
71,眼睛里进了星熊
72,辛苦了
73,排面
74,右边川普。。。。
75,辛苦了
76,辛苦了
77,感动
78,辛苦了
79,辛苦了
80,致敬
81,武汉加油，中国加油！
82,辛苦了！
83,辛苦了
84,辛苦了
85,泪目们把兄弟打在公频上
86,空中劈叉
87,假的（滑稽）
88,辛苦了
89,辛苦了
90,辛苦了
91,？？？
92,绥芬河人哭了
93,绥芬河人哭了
94,绥芬河人表示欣慰
95,排面
96,辛苦了
97,啊噗鲁派！
98,蕾姆
99,方方给我滚出来挨打
100,？？？
101,危
102,这次一定
103,致敬
104,我眼睛里进n95了
105,致敬
106,泪目泪目
107,加油！！
108,泪目  幸苦了
109,敬礼
110,全体起立
111,幸苦了
112,加油！
113,灯泡nb！
114,排面！
115,狗喘气声？
116,辛苦了
117,辛苦了
118,？？？？？？？？？？？？？？？？？？？
119,危
120,危
121,危
122,危
123,女少口阿
124,ohhhhhhhhhh
125,死  刑
126,眼睛里进眼睛里进眼睛里进眼睛里进眼睛里进眼睛里了
127,辛苦
128,今日张三（1/1）
129,危
130,危
131,排面
132,共屏们，把兄弟打在排面上
133,排面
134,辛苦了
135,才发现央视，排面！
136,辛苦了
137,可以
138,辛苦了
139,辛苦了
140,危
141,辛苦了
142,辛苦了
143,80
144,辛苦了
145,辛苦了
146,辛苦了
147,致敬！！！
148,阿里嘎到
149,辛苦了！
150,排面
151,辛苦了
152,危
153,辛苦了
154,辛苦了
155,转发有内味了
156,私闯民宅的怪叔叔
157,私闯民宅的怪叔叔
158,私闯民宅的怪叔叔
159,私闯民宅
160,幸苦了
161,辛苦了
162,基金会欢迎你⊙▽⊙
163,张 三
164,辛苦了
165,辛苦啦❤️❤️❤️❤️
166,辛苦啦
167,泪目
168,辛苦了
169,辛苦了
170,看见yagoo了
171,yagoo草
172,舰长~~
173,听话椅
174,致敬
175,辛苦了‘
176,该死的谣言。
177,辛苦了
178,武汉加油，中国加油
179,私闯民宅！
180,辛苦了
181,辛苦了
182,女生：你是怎么到我家来的
183,辛苦了！
184,辛苦了
185,背景音来源：人工距骨移植手术
186,排面
187,辛苦了
188,干得漂亮！
189,谢谢！！！
190,空中劈叉！
191,眼睛里进基岩了
192,辛苦了
193,排面
194,致敬
195,辛苦了
196,辛苦了
197,辛苦了
198,80
199,排面
200,私闯民宅
201,危
202,辛苦了
203,辛苦了
204,辛苦了
205,辛苦了
206,搭噶，口头哇路
207,危
208,辛苦了
209,敬礼！！！
210,辛苦了
211,致敬
212,？？？？？？？？
213,转发，并嘲讽
214,美利坚
215,致敬
216,致敬
217,辛苦了
218,打洗你个龟孙儿（doge）
219,恭喜
220,致敬，加油
221,排面
222,辛苦了
223,辛苦了
224,私闯民宅私闯民宅
225,排面
226,辛苦啦！！！
227,致敬！！！辛苦了！！！
228,泪目，敬礼
229,辛苦了
230,危
231,牌面
232,←张三
233,梦幻联动
234,武汉加油，中国加油
235,感谢
236,辛苦了
237,哈哈哈哈哈哈哈哈
238,哇这个真的忍不住哭了
239,辛苦了
240,辛苦了
241,抬走，下一位
242,向英雄们致敬
243,辛苦了
244,斯哈斯哈
245,害怕
246,危
247,牌面
248,yagoo
249,排面
250,ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
251,ohhhhhhhhhhhhhhhhhhhhh
252,哇，收容，scp的兄弟们，九尾狐们，来货了
253,重型收容区
254,辛苦了！！！
255,辛苦了
256,我 乐 意
257,爱酱锤
258,宁也是舰长？
259,排面！
260,辛苦了
261,你被我老师盯上了
262,泪目
263,辛苦了
264,辛苦了
265,辛苦了
266,辛苦了
267,辛苦了
268,向英雄们致敬！
269,辛苦了
270,刀客塔，刀客塔，刀客塔，刀客塔
271,致敬
272,致敬
273,致敬
274,泪目
275,辛苦了
276,辛苦了
277,辛苦了
278,排面
279,排面
280,排面
281,波纹呼吸法
282,张三↓
283,危
284,感谢医护人员们的付出，向英雄致敬
285,辛苦了
286,排面
287,排面
288,泪目
289,危
290,泪目
291,辛苦了
292,辛苦了
293,我没开弹幕？
294,\
295,辛苦了
296,。。。
297,危
298,排面
299,辛苦了
300,听着好像沸羊羊
301,后悔椅启动！
302,后悔椅子
303,鸡皮疙瘩
304,辛苦了
305,泪目
306,辛苦了
307,辛苦了
308,排面
309,辛苦了
310,辛苦了
311,泪目
312,辛苦了
313,泪目
314,加油
315,辛苦了
316,危
317,辛苦了
318,666
319,致敬！
320,致敬
321,致敬
322,辛苦了
323,辛苦了
324,排面
325,感谢医务人员的付出
326,辛苦了
327,辛苦了
328,泪目
329,辛苦了
330,瞬间后悔椅子
331,哭了
332,身前是个体面人
333,致敬
334,致敬！
335,扇他
336,辛苦了
337,泪目
338,泪目
339,辛苦了
340,危
341,危
342,危
343, 带  头  王
344,辛苦了
345,排面
346,致敬英雄，一线战士辛苦了
347,辛苦了
348,辛苦了
349,辛苦了
350,辛苦啦
351,危
352,院长没有护目镜用了
353,致敬
354,辛苦了
355,辛苦了
356,致敬
357,辛苦了
358,哈哈哈哈哈哈哈哈哈
359,辛苦了
360,排面
361,泪目
362,精神小伙
363,还真能
364,哈斯哈斯
365,戴口罩不香吗
366,辛苦了
367,辛苦咯
368,慎，你怎么用锤子了
369,老子泪奔了
370,泪目
371,泪目
372,泪目
373,危
374,★☆☆☆☆
375,泪目
376,y
377,辛苦了
378,哈哈哈哈
379,辛苦了
380,排面
381,什么叫寻衅滋事啊？
382,致敬
383,辛苦了
384,辛苦了
385,中国加油
386,感动感动感动
387,恍恍惚惚哈哈哈
388,辛苦了
389,排面
390,把你逮起来，隔离！
391,辛苦了！
392,嘶
393,双厨狂喜？
394,乌鸦坐飞机！
395,致敬
396,致敬
397,坚果头再次出现
398,辛苦了
399,可爱坚果头
400,危
401,？？？
402,小朋友你是否有很多问号？？？？？
403,哈哈哈哈哈哈哈哈哈
404,危
405,危
406,院长，你知道你们收容了多少人吗，这个数据你掌握了吗
407,？？？
408,辛苦了
409,辛苦了
410,辛苦了
411,辛苦了
412,医生：希望下次见面，不是在医院
413,请收下我的膝盖
414,可可可
415,感谢医护人员的付出，向英雄致敬！
416,辛苦了
417,致敬
418,排面
419,剖面
420,排面
421,辛苦了
422,害怕
423,泪目
424,辛苦了！
425,很低.就是代表有可能?
426,排面
427,哈哈哈哈哈哈哈啊哈哈哈
428,哈哈哈哈哈哈哈
429,危
430,感谢你们的付出！
431,致敬！
432,泪目555
433,辛苦了
434,致敬
435,辛苦了
436,幸苦了
437,泪目
438,辛苦了
439,泪目
440,辛苦啦
441,谢谢你们
442,辛苦了
443,辛苦了
444,辛苦了
445,辛苦了
446,辛苦了
447,辛苦了，请加油！
448,老张三了
449,我笑傻了
450,大灯泡？！
451,辛苦了
452,致敬
453,辛苦了
454,祝病人们早日康复
455,放过yagoo吧魔鬼们
456,致敬！
457,哈哈
458,辛苦了
459,致敬！！！
460,家族群
461,辛苦了
462,泪目
463,辛苦了
464,致敬！
465,泪目
466,泪目
467,致敬
468,不错嘛
469,危
470,现在就是后悔
471,辛苦了
472,泪目
473,辛苦了
474,泪目
475,泪目
476,加油，辛苦了
477,辛苦了
478,辛苦了
479,辛苦了
480,一方有难，八方支援
481,这不是yagoo的卧室吗！
482,排面
483,危
484,是呢
485,排面
486,隔离
487,辛苦了
488,辛苦了
489,食我辟谣锤啦
490,辛苦了
491,致敬
492,危
493,危
494,辛苦了
495,泪目
496,辛苦了
497,辛苦了
498,致敬
499,向英雄们致敬！！！！！！！！！！！！
500,哭了
501,哭了
502,哭了
503,哈哈哈哈哈
504,辛苦了
505,真的很宽
506,真的锤子！
507,排面
508,排面
509,哈哈哈哈哈哈哈哈哈哈
510,ohhhhhhh
511,辛苦了
512,泪目
513,辛苦了
514,害怕
515,泪目了
516,排面
517,打屁屁
518,明天开学
519,yagoo!!!
520,排面
521,在老软？
522,辛苦啦，致敬
523,辛苦了
524,排面
525,排面
526,辛苦了
527,辛苦了
528,鼻子酸了
529,辛苦了
530,危！
531,辛苦辛苦
532,泪目
533,哈哈哈哈
534,排面
535,排面
536,排面
537,辛苦了
538,泪目
539,人民才是真正的英雄
540,辛苦了
541,辛苦了!
542,辛苦了
543,辛苦了！
544,辛苦了
545,排面
546,隔离
547,哒噶，口头挖路
548,辛苦了
549,辛苦了
550,排面
551,排面们，把公屏打在兄弟上
552,辛苦了
553,排面
554,致敬英雄，逝者安息
555,敬礼
556,白嫖不能
557,辛苦了
558, 辛苦了
559,把它们带走
560,致敬
561,辛苦了
562,致敬
563,牌面
564,辛苦了
565,排面
566,辛苦了
567,危
568,泡面
569,辛苦了，中国加油！
570,迫不及die
571,感谢医护人员付出，向英雄致敬
572,辛苦了
573,突然泪目
574,后悔 非常后悔
575,辛苦了
576,辛苦了
577,上电视
578,辣条好辣眼泪都出来了
579,泪目
580,辛苦了
581,辛苦了
582,辛苦了
583,辛苦了
584,致敬
585,特殊时期，管的宽，是真理
586,危
587,感谢为我们负重前行的所有人
588,排面
589,辛苦了
590,辛苦了
591,辛苦了
592,泪目
593,你不怕死别人还怕死嘞
594,辛苦了
595,辛苦了
596,这牌面
597,危
598,排面
599,辛苦了
600,emmm
601,辛苦了
602,辛苦了
603,辛苦了
604,谢谢
605,排面
606,排面！
607,辛苦了
608,泪目
609,辛苦了
610,危
611,危
612,不戴没问题  不过吐口水是真有问题
613,辛苦了。
614,排面！
615,看，坏人脸上有字！
616,致敬
617,抓起来
618,感谢医护人员们的付出，向英雄们致敬！
619,感谢医护人员们的付出，向英雄们致敬！
620,感谢医护人员们的付出，向英雄们致敬！
621,辛苦了
622,辛苦了
623,辛苦了，天使战士
624,辛苦了
625,辛苦了
626,泪目
627,排面
628,辛苦了
629,辛苦了
630,致敬！！
631,排面
632,灯泡做的动画终于有人说话了？
633,辛苦了
634,泪目
635,收容失效
636,辛苦了
637,辛苦了
638,加油，辛苦了
639,来人呐，把这些白衣天使给我保护起来
640,辛苦了
641,再嫖不能
642,辛苦了
643,红红火火恍恍惚惚
644,排面
645,辛苦了
646,辛苦了——
647,致敬——
648,辛苦了
649,谣言危险
650,向英雄们致敬
651,没错，当警察就是了不起
652,辛苦了
653,辛苦了
654,危
655,辛苦了
656,致敬
657,辛苦了
658,我不看了，我眼睛进口罩了！
659,德玛西亚！！！
660,危
661,辛苦了
662,辛苦了
663,辛苦了
664,辛苦辛苦辛苦辛苦了！
665,口头哇路
666,辛苦了
667,快结束
668,辛苦了
669,幸苦了
670,辛苦了
671,这不是妨碍公务了吗
672,hhhhhhhh
673,致敬
674,辛苦了
675,加油
676,可是下周我们真的开学了哎
677,辛苦了
678,排面
679,危
680,辛苦了
681,眼睛进挖机了
682,辛苦了
683,辛苦了，加油
684,危
685,幸苦了
686,致敬
687,？
688,泪目
689,危！
690,搭噶，口头哇路
691,辛苦了
692,辛苦了
693,隔离
694,奇怪的要求.jpg
695,致敬！
696,泪目
697,辛苦了
698,泪目
699,致敬，辛苦了
700,泪目
701,ICU 让我想起了某个社团的社长
702,危
703,辛苦了
704,白衣天使
705,排面
706,辛苦了
707,致敬
708,辛苦了
709,排面仔
710,泪目
711,辛苦了
712,排面
713,辛苦了大家
714,辛苦了
715,辛苦了
716,辛苦了
717,感觉背景在公共场所戴口罩比较好
718,危
719,辛苦了！
720,辛苦了
721,辛苦您了
722,辛苦了
723,致敬
724,铐走
725,致敬！
726,辛苦了
727,泪目
728,我可以这么说，我是中国人！我骄傲！
729,泪目
730,辛苦了
731,辛苦了
732,总想着FBI的入场
733,辛苦了
734,我爷爷也回不来了
735,眼睛进酒精了
736,辛苦了
737,辛苦了
738,辛苦了
739,辛苦了
740,大锤80
741,我们是马上就能出门上学了。。。
742,哦，原来是这样呀
743,你不是小妹妹吗？
744,舰长，舰长，舰长。。。
745,危
746,帽子还是绿色的？
747,辛苦了
748,辛苦了
749,辛苦了
750,辛苦了
751,畅快！再来80！
752,泪目
753,辛苦了
754,辛苦了
755,辛苦了
756,为自己是中国人感到骄傲
757,辛苦了
758,哈哈哈哈
759,危
760,泪目
761,辛苦你们了
762,辛苦了
763,幸苦了
764,瞬间酸了
765,请停止你的作死行为
766,giaogiao
767,感动！爱了爱了，抗击疫情我们在一起！
768,危险危险危。
769,法外狂徒张三
770,致敬
771,辛苦了
772,辛苦了
773,辛苦了
774,辛苦了
775,辛苦了
776,辛苦了
777,⭐⭐⭐⭐⭐
778,致敬!那有什么岁月安好，是有人在为我们负重前行
779,排面
780,致敬
781,泪目
782,辛苦了
783,辛苦了
784,辛苦了
785,辛苦了
786,辛苦了
787,抱歉，真的很宽哈哈哈哈哈
788,泪目
789,致敬
790,辛苦了
791,排面
792,隔离！
793,排面
794,排面
795,危
796,辛苦了
797,辛苦了
798,辛苦了
799,辛苦了
800,辛苦了
801,危
802,危
803,危
804,排面
805,向英雄致敬
806,辛苦了
807,态度恶劣抓起来
808,辛苦了
809,请收下我的膝盖
810,辛苦了
811,排面
812,辛苦了！
813,辛苦了！！！！
814,well done 
815,石锤
