,comments
0,我英语炸了
1,国士无双
2,腾讯会议
3,国士无双
4,国士无双
5,国士无双
6,国士无双！
7,国士无双
8,国世无双
9,国士无双
10,国士无双
11,太棒了！！
12,国士无双
13,隔离是quarantine。
14,辛苦了，一路走好
15,求中国不用中国话？这是求人的态度吗
16,致敬
17,国士无双
18,国士无双！
19,国士无双！
20,国士无双
21,国士无双
22,国士无双
23,国士无双
24,国士无双
25,国士无双
26,这大佬
27,666
28,国士无双
29,国士无双
30,国士无双
31,国士无双
32,国士无双
33,国士无双
34,国士无双
35,国士无双
36,这个外国人语速很慢，体现了礼貌
37,国士无双
38,国士无双
39,66666
40,国士无双
41,国士无双!
42,国士无双
43,国士无双
44,国士无双！
45,国士无双！
46,国士无双
47,前面那个，用他们的语言他们不更好理解吗
48,国士无双
49,国士无双
50,国士无双
51,国土无双
52,国士无双
53,举世无双
54,国士无双
55,在线教学
56,66666
57,国士无双
58,国士无双
59,加油!!!
60,国士无双
61,国士无双
62,国士无双
63,国士无双
64,致敬
65,国士无双
66,国士无双
67,国士无双
68,国士无双
69,国士无双
70,国士无双
71,国士无双
72,国士无双！
73,国士无双
74,国士无双
75,国士无双
76,搞得好像我们的城市不大一样 一城顶的过他们一国人
77,搞得好像我们的城市不大一样 一城定的过他们一国了
78,国士无双
79,国士无双
80,国士无双
81,国士无双
82,国士无双
83,国士无双
84,钟老666
85,国士无双
86,外国不好管啊
87,国士无双！！！！！
88,咿呀咿呀哟
89,国土无双
90,国士无双
91,国士无敌
92,囯士无双
93,国士无双
94,国士无双
95,请让他们来学习我们的文化和语音
96,国士无双
97,国士无双
98,国士无双
99,致敬
100,国士无双
101,国士无双
102,国士无双
103,国士无双
104,国土无双
105,国士无双！
106,国士无双
107,国士无双
108,国士无双
109,国士无双
110,钟老太帅了
111,囯士无双
112,国士无双!!!!
113,国士无双
114,国士无双
115,国士无双
116,国士无双
117,心疼我的寒假 
118,国士无双
119,国士无双
120,国土无双
121,国士无双
122,国士无双
123,国士无双！！！！
124,国士无双
125,国士无双
126,国士无双
127,国士无双
128,国士无双
129,国土无双
130,国士无双
131,英雄
132,国士无双
133,加油
134,国宝啊
135,国士无双！男神保重身体！
136,国士无双！
137,国士无双
138,国士无双
139,国士无双
140,国土无双国土无双
141,国士无双
142,国士无双
143,你欧洲大城市能有多大多少人口？
144,国士无双
145,国士无双
146,国士无双
147,国士无双！！！
148,这是到现在还不放下傲慢的姿态？中国没有肩比你欧洲大城市的城市？
149,国士无双
150,国士无双
151,国士无双
152,国士无双
153,国士无双
154,钟老真的厉害了
155,国士无双
156,国士无双
157,国士无双
158,国士无双
159,国士无双
160,国士无双
161,国土无双！
162,国士无双
163,国士无双
164,国士无双！
165,国士无双
166,国士无双
167,国士无双
168,国士无双！
169,加油加油！
170,国士无双
171,加油！
172,国士无双！
173,国士无双
174,国士无双
175,国士无双
176,国士无双
177,国士无双
178,国士无双
179,国士无双
180,国士无双
181,国士无双
182,国士无双
183,加油 早点让我们可以上课
184,国土无双
185,凭什么他们求助却要用他们的语言
186,国士无双
187,致敬我们伟大的逆行者向最美逆行者致敬清明时节 断魂无声 逝者安息 生者节哀向英雄致敬，一路走好。逝者安息。精神长存。你们是伟大的，向英雄致敬，人民英雄永垂不朽！向那些停在冬天的同胞
188,无敌了老爷子
189,国士无双
190,国士无双
191,为什么一直要讲英文
192,武汉也是大城市
193,国士无双
194,国士无双
195,国士无双，祝愿钟院士身体健康
196,国士无双
197,国士无双
198,国士无双
199,国士无双
200,国士无双
201,国士无双
202,好厉害！！！！
203,见男神就点赞
204,厉害啊
205,国士无双！
206,国士无双
207,当然难啦
208,国士无双
209,我很骄傲我是个中国人
210,院士辛苦了
211,别抬杠好吗，病毒等得及外国人学中文吗，世界上最难的五种语言之一，这不是为难人嘛
212,其实中国人口众多，城市也多，不是更难，有决心就不难。。。
213,致敬
214,国士无双
215,致敬
216,这是天下无双!
217,什么是国际专家啊
218,网课？
219,国士无双
220,国士无双
221,好熟悉的bgm
222,欧洲有几个城市比武汉大，开什么玩笑
223,国士无双
224,BGM极度好评：time will tell
225,国士无双
226,only way听见没
227,国士无双
228,国士无双
229,国士无双
230,国士无双
231,国士无双
232,国士无双
233,看见男神心里稳稳的
234,国士无双！
235,她的声音在颤抖
236,国士无双
237,交学费了吗
238,国士无双
239,对面菜鸡一脸蒙圈
240,国士无双
241,bgm？
242,国士无双
243,only way！！！
244,政府性质不一样，欧洲国家是不能这样强迫管理的
245,国士无双，愿钟老爷子身体健康
246,男神♪～(´ε｀　)
247,国士无双
248,自由美利坚
249,国士无双
250,国士无双
251,国士无双
252,国士无双
253,国士无双
254,国士无双二
255,看过院士英语讲课
256,太棒啦！！！！
257,有字幕君吗
258,加油
259,国士无双
260,国士无双
261,中国加油！
262,e
263,男神
264,国士无双！！
265,国士加油
266,国士无双
267,这才是偶像呀！！
268,女主席还不太果断啊
269,国士无双
270,国士无双
271,国士无双
272,国土无双
273,最棒
274,国士无双
275,国士无双
276,国士无双
277,神话了
278,国士无双
279,国士无双
280,国士无双
281,国士无双
282,国士无双！！！
283,国士无双
284,不同的制度不同的结果，我爱社会注意制度
285,国士无双
286,国士无双
287,国士无双
288,国士无双！
289,英语好厉害
290,需要支持
291,国士无双
292,也不管你们有没有办法，你们起码要开始做，别不检测就没病例OK？
293,国士无双
294,国士无双
295,国士无双
296,国士无双
297,国士无双     全体「中国红
298,无法追踪隔离，那么怎么做都是白做，必须要追踪人群和隔离病人
