,comments
0,不是部分吧，现在全美国新型流感都“消失”了只剩下新冠
1,ohhhhhhhh
2,就是
3,破案了
4,真香
5,自信点，把可能去了（doge）
6,……
7,？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？
8,？
9,自信点，把可能去掉
10,美国应该向各国赔偿
11,+100
12,美国肺炎
13,东东给哥哥.！n
14,美国面对现实吧
15,世  界  第  一
16,你们为什么还不戴口罩？
17,灯塔国
18,可怕，连知道咋死的都不知道
19,好像知道点什么
20,你的口罩呢
21,不能
22,星巴克瞩目
23,我可以把新冠叫做美国病毒吗？
24,加油阿美
25,加油阿美
26,英国的秋后算账呢
27,可怕
28,晚了
29,没错
30,口罩没戴
31,流感没了
32,标题有是证实，又是可能，矛盾了呀
33,标题又是证实，又是可能。矛盾了呀
34,?????
35,瞒不住了
36,细思极恐
37,美帝完啦
38,66666
39,电子烟:我冤啊！
40,我记得这个胖子以前不是很嚣张吗？
41,小丑一样的作态
42,默哀
43,这些人为什么还不戴口罩？
44,..
45,?9月份? 咱不是年底才……
46,??????????
47,自信点
48,真相只有一个
49,这数字真恐怖
50,兜不住了8
51,使用标准名称好评
52,口罩呢
53,美国要道歉
54,这叫证实？
55,瞒 不 住 了
56,这个数据看起比新冠还恐怖
57,？？？？
58,这小红脸蛋
59,可怕，有病都不准确检测
60,没戴口罩
61,第一次发弹幕
62,哦豁
63,我靠
64,脸不脸的这一张皮
65,56倍流感死亡率我看你们怎么洗
66,等美国CDC编一个完整的故事出来
67,发言人：我不能明说，但是你懂我意思的
68,美国新冠？
69,这数据也太夸张了吧
70,美国加油？增加石油生产？简称加油！
71,身体挺好啊，不带口罩。病毒：有被冒犯。
72,终于承认了
73,美国肺炎，是不是该道歉了
74,电子烟：我冤死了
75,过段时间咱就叫美国肺炎了
76,以后就叫美国肺炎了
77,Chris Redfield?
78,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
79,还在装
80,打脸
81,美国现在打脸了不？
82,害怕
83,尸检就行了
84,证据来了
85,是新冠肺炎，不能称为美国肺炎
86,这就是你抢我们送给你儿子试剂盒的原因？
87,呵呵
88,哟哟哟哟
89,现在咋忙着验尸
90,为啥好想笑
91,要戴口罩哦
92,都不戴口罩
93,9月！！！
94,终于
95,ohhhhhhh
96,nice啊
97,场面一度尴尬
98,哦哦哦终于承认了啊
99,自由
100,终于意识到了
101,自由美利坚，连病毒都是自由的
102,瞒不住了吧
103,美国绝对不少
104,没人带口罩
105,这么大的事 世界不报道
106,不要脸
107,反转
108,看清楚了是流感，不是新型冠状病毒
109,0.0006左右的死亡率。死的和住院的大部分都是新冠患者吧
110,自信点，承认就痛快承认呗
111,真敢承认
112,胡说，那是电子烟（滑稽）
113,灯塔国人类的希望（狗头）
114,病毒:资本主义社会的空气是真滴香甜，这就是自由的味道吗？！！！
115,说话自带电音
116,自   由     的    病    毒
117,@fox的那位大哥，道歉！
118,实锤
119,自由美利坚，甩锅每一天
120,后面有个人玩手机
121,两万！
122,自由死法
123,请尸检
124,哈
125,可以可以，这些人终于反思自己了
126,瞒不住了
127,哈～利路亚
128,瞒不住了吧
129,你知道了呀，这不你美国干的吗
130,美国不生产口罩吧
131,我猜到了？
132,终于认了
133,漂亮
134,这是你们美国的理由？
135,电音王子
136,嘻嘻嘻
137,3400万！美国还不采取措施仅仅当做流感？！
138,资本主义越发达，就越难改变，傲慢和自私已经融入他们的骨子里，慢慢地演变成所谓的自由.
139,谦虚点山姆就是这次的源头
140,终于有成人的了
141,资本主义越发达，就越难改变，傲慢和自私已经融入他们的骨子里，慢慢地演变成所谓的自由
142,破案了……
143,星巴克广告?
144,承认了吗。。
145,美国起源?
146,果然
147,客观 公正 中立
148,哦吼
149,不是暗示，是明示了
150,检查个病要不要验尸，你想什么
151,终于承认了
152,你们
153,美国肺炎
154,之前电子烟背锅，现在轮到流感背锅了
155,细思极恐
156,终于真相大白了
157,美 国 瘟 疫
158,可怕
159,死亡2万人
160,电子烟肺炎？
161,细思极恐
162,哈哈哈哈哈
163,支持开棺验尸！！！
164,美洲病夫
165,我笑了
166,瞒不住了，世界指控多了
167,其实是死于新冠肺炎
168,自由的气息开始蔓延了
169,呵呵
170,搞不住了吧
171,哈哈哈
172,打脸
173,为什么只有一条评论？
174,评论区啥情况？
175,你们真能瞒那
176,嗯
