,comments
0,已经六月，基本结束
1,爷爷，您辛苦了
2,有美国，结束个蛇
3,我叫陈明
4,日本也有带口罩
5,日本也有
6,印度40多度不也爆发
7,老了10几岁啊，唉
8,……
9,……
10,老爷子辛苦了
11,开学吧我受够了
12,加油加油
13,加油加油
14,全体免疫事在力行
15,加油！
16,六月印度非洲又爆发了
17,我有国士，天下无双！
18,钟老也是世界卫生组织的人
19,钟老保重身体呐
20,别吧 我不想上学 哭哭
21,加油
22,辛苦了
23,辛苦了
24,陈江河
25,我要高考啊！
26,国士无双
27,钟老：美西意德英，就你们几头蒜硬要推翻我的预测呗？
28,老爷子辛苦了，我们要做好自我管理，让老爷子少操心些
29,六月份没戏了
30,我方了
31,戴不戴口罩钟老说了算，最权威~
32,好想回学校
33,6666
34,一看就是还活跃在医疗科研一线，不知不觉冒英语单词
35,不先想着发文章的国士
36,初二，颤颤发抖
37,辛苦了
38,啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊我的高考
39,中国加油
40,国士无双
41,中考生怎么办
42,加油！
43,你说啥我都听！
44,国士无双
45,加油
46,厉害了我的国
47,广东人的骄傲
48,国士无双
49,中国加油
50,对头
51,低
52,对头
53,嗯
54,嗯
55,就光印度吧，怎么可以6月结束。。。。。
56,国士无双！
57,为啥不戴口罩
58,疫情啥时候结束
59,国士无双
60,辛苦了
61,暗示特朗普
62,加油
63,辛苦了
64,注意休息昂
65,老爷子辛苦了
66,北京的大学到底还让不让回学校
67,辛苦了
68,美国现在全国爆发怎么防吼
69,非洲也开始流行了
70,各国重视不起来 
71,赞
72,辛苦了
73,美国：？？？？
74,我要中考啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
75,各国重视继续加油！！
76,现在意大利12%了
77,印度其实更可怕
78,加油中国
79,中国加油
80,钟老请一定照顾好自己！
81,大家都加油啊
82,加油加油
83,现在10了
84,国士无双
85,挺过夏天就复活了
86,加油！
87,民族脊梁！国士无双！
88,建议钟老去世界卫生组织担任总干事
89,房价那 钟老
90,辛苦了
91,辛苦了
92,钟老是1936年生，比我爷爷岁数都大，本该颐养天年了，却还在为国分忧，
93,高考生真的慌
94,中国加油
95,国士无双
96,辛苦辛苦（鞠躬）
97,那南半球要进入冬天了
98,幸苦了
99,中国加油
100,国士无双
101,WOC我要中考啊啊啊啊啊啊啊啊啊啊啊啊
102,钟爷爷健康长寿
103,86了，不容易，辛苦了
104,辛苦了
105,加油！
106,中国加油
107,中国加油
108,加油
109,钟老记得多休息，您辛苦了
110,中国加油
111,国士无双
112,国士无双
113,国士无双
114,我也要中考啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
115,加油啊。加油啊。加油啊
116,我就服钟老
117,国士无双
118,国士无双
119,默哀
120,加油
121,意大利今天百分之十了
122,11%
123,命都要没了就不要提高考了吧
124,憨憨特朗普出来挨打
125,今天禁止娱乐项目
126,国士无双
127,辛苦了
128,流量院士
129,感觉6月结束很难
130,好好休息吖
131,高考顺利！
132,高考生慌极了
133,年底结束吧，明年继续
134,外国这情况至少明年
135,我想去上班了
136,666
137,你是真的棒
138,你们辛苦了
139,辛苦了
140,憔悴了QAQ
141,带不动啊
142,辛苦你们聊
143,辛苦了
144,一场瘟疫改变世界
145,现在已经9%了
146,一直抽动的大拇指哈哈，思考的象征
147,校长点名批评，班主任全班批评，家长不停点头，你们知道在说哪些同学。
148,现在8%了
149,可怕
150,开学吧。。。
151,早点抑制病毒
152,又6月了加油中国
153,全球啊！！我国是差不多了！
154,国士无双
155,江苏病死率为0%
156,院士的衣服大点儿了
157,国士无双
158,加油
159,"Come on, get better "
160,"Come on, China. Come on, Wuhan "
161,"Come on, China. Come on, Wuhan "
162,预防很关键
163,这种国士要多来点。压力分摊一下
164,辛苦了
165,加油
166,六月我要哭了，毕业论文怎么办
167,指的就是你英国和瑞典
