,comments
0,加油
1,怎么取消不了啊
2,太好了
3,加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油
4,来了来了
5,duang
6,加油！！！
7,愿在天堂的天使安好
8,武汉，加油
9,嘿嘿
10,厌战度-1
11,加油
12,河南家人陪我们的兄弟湖北，和妈妈中国一起度过疫情
13,加油加油
14,加油加油
15,前面的你爱祖国什么意思，难道你自己不爱吗？
16,好
17,中国加油！
18,武汉加油，中国加油
19,感谢国家
20,武汉加油 中国加油！
21,我们赢啦
22,支持！
23,我为我的国籍是中国而骄傲
24,生为中国人，我骄傲！！！
25,棒！！！
26,武汉加油
27,中国加油
28,加油
29,祖国好棒
30,加油加油
31,我爱祖国
32,海甜甜啊
33,海霞女神！！
34,看看中国吧
35,我爱华夏
36,村花儿
37,中国加油
38,海霞
39,抄作业抄起来
40,这个头发是p的，哈哈哈哈ilil
41,哈哈
42,这还不三连！！
43,致敬所有伟大的医护工作者。致敬所有为疫情努力的人们
44,彳亍
45,女子
46,加油加油加油加油
47,加油
48,加油中国
49,中国加油
50,加油
51,支持！
52,4月4号十点的时候好吵啊
53,唉现在防空警报响了
54,好美哇
55,好
56,来啦
57,愿逝者安息，愿生者奋发，愿祖国昌盛
58,中国君临天下，庇护全球
59,我爱祖国
60,你爱祖国
61,我骄傲，我是中国人
62,好！
63,海霞姐姐！！！！
64,世界是不是在等中国疫苗
65,厉害了我的国加油吧疫苗搞出来
66,村儿
67,海霞
68,地球村
69,世界是个村儿～
70,收官之战将会是最终的关键，千万千万不能疏忽大意了。100步半90啊。
71,高考要点
72,重视 坚定 合作
73,中国加油湖北加油，冬瓜加油。
74,中国加油，武汉加油，冬瓜加油！
75,民心团结！
76,好！！
77,终于要结束了
78,村长的硬核广播。。。。
79,我们国家还在同病毒斗争中！大家不要给国家拖后腿！
80,加油
81,不要放松
82,团结
83,漂亮国:嘻嘻，我是例外
84,如果应对。。资本主义解体吧。。
85,赞！！！！
86,一天新增50例以下，感觉4月之前就能胜利了
87,好！
88,美的很
89,点赞
90,中国人都是善良的 总是在以德报怨
91,祝福祖国
92,中国最棒！！！！！！！！！！！！！！！！
93,帅啊，哈哈哈
94,瘟神快走开
95,地球村儿
96,自豪
97,棒棒哒
98,唯独中国可以
99,国外难治理，是体制问题
100,RE';从零开始的中国抗击疫情
101,厄运离开（永久有效）
102,弹幕来了
103,村春儿
104,能不能求求中国专家呼吁西方社会戴口罩！！！！！
105,专家一定要安全回家！
106,真美
107,美
108,一个半月的假期啊，不要再充值了
109,这音乐太撩人了
110,组成弹幕
111,海甜甜
112,参考答案
113,nice
114,太好了
115,赞!
116,。
117,人类命运共同体！！！加油！
118,干得漂亮
119,开卷考试
120,没弹幕？
121,村儿～
122,村儿
123,风景这边独好
124,是不能发弹幕吗
125,嗯嗯嗯，我会继续坚持不出门的
126,地球村加油
127,说的比唱的好听，说的就是中国央视的播报员，字正腔圆，真好啊！世界各国加油！！！
128,点赞
129,真就是抄都抄不来
130,我胖了三十斤
131,中国最棒
132,没弹幕吗
133,中国加油！世界加油！
134,好
135,加油啊
136,!!!!!!!!
137,中国加油
138,对当下有耐心，对未来有信心，武汉加油，中国加油
139,这个就很难了
140,团结才是最好的选项
141,都要加油呀，愿我们的医疗队能早日平安归来
142,弹幕呢
143,没弹幕？
144,中国万岁！
145,就中国安全了
146,好
147,..
148,村里人
149,泪目
150,这就是中国！
151,女子！
152,所以这是中国
153,海霞好美
154,加油
155,哈哈哈
156,我怕谁？病毒？我不怕，我有强大的祖国。
157,西班牙学学吧
158,祝福祖国
159,赞！
160,第一
161,地球村！
162,大家都是英雄
163,早日结束
164,为祖国自豪，加油，中国！
165,来了来了
