,comments
0,全境封锁
1,30万加了
2,123
3,这还不戴口罩，唉
4,自由女神跟自由
5,不戴口罩？
6,不戴口罩？
7,太好了
8,若为自由故 两者皆可抛
9,这不自由
10,66666
11,自由美利堅
12,499一定OK
13,哈哈哈哈哈
14,留胡子照顾脸盲症？？
15,???
16,估计没口罩用了
17,醒醒，纽约十万了
18,后面的人好像在比划什么
19,25万了
20,一脸不爽
21,太晚了
22,无病不戴口罩
23,纽约人民要自由！反对！
24,后面那个是手语老师吗？
25,第一次
26,只有我一个人注意到了手语老师吗？
27,全境封锁启动
28,后面的靓仔，在干嘛?
29,499人就行了
30,the division
31,全境封锁
32,没有凳子了吗
33,后面…哈哈哈哈哈哈哈哈哈哈哈
34,⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠
35,川建国：nice
36,纽约独立
37,7天
38,哈哈哈难搞哦
39,手语不配有座位
40,500人以上？真是个重大的决定啊
41,签文件...来点硬核手段直接封城
42,噗
43,自由！
44,熊二，是你吗
45,这是对自，由的藐视
46,特朗普，世界小丑
47,四月四号前来考古
48,27万了
49,499个人的俱会可以吗
50,？？？
51,川普什么时候戴口罩，疫情什么时候有拐点。
52,别啊！
53,我一直盯着后面那个人
54,全站默哀
55,。
56,灵魂手语
57,不戴口罩
58,中国加油
59,4.04
60,加油
61,长发版史航
62,暗冬计划启动，颁布51号政令
63,美国加油鸭
64,你们为什么不带口罩啊啊啊啊啊啊啊啊啊啊啊啊！！！！！！！
65,现在每天确证一万人？
66,唉
67,想多了，增加2万起步
68,全境封锁
69,20多万了！！！！！！
70,恭喜
71,两个人都不行，还五百个人
72,499警告
73,可以整个499人
74,特朗普疯子
75,要自由，不自由毋宁死
76,我要自由
77,nb
78,封城了美国人民的字由谁来保障
79,手语师不分个镜？
80,但499人是可以的。
81,收益老师点赞！
82,手语老师好可爱
83,晚了
84,you are snake
85,手语老师是搞艺术的么
86,大部分
87,大胡子手语醒目
88,我看你百老汇怎么手语？
89,每家聚集490个人玩得了
90,我不担心，我特硬朗
91,499人就可以了
92,口罩都不带，还紧急情况
93,川建国的手语专业啊
94,搬起石头砸自己的脚，报应到了！
95,我以为有特朗普就不需要手语老师了
96,病毒:我要自由，别(눈_눈)
97,美国都是这样开新闻吗
98,自由万岁
99,自由！
100,499
101,晚了
102,499可还行
103,囤抢感觉没错，马上就要粮食危机了，说不好得刚一波
104,他为啥要站在后面？
105,为啥你们还是不戴口罩
106,全境封锁开启
107,不是说可以自愈么？
108,全程在看手语老师
109,我以前怎么都没见有手语老师啊？
110,扭腰遭到袭击
111,面筋哥在后面？
112,手语哥很抢镜
113,后面太抢镜了
114,手语并非全球通用 每个国家都不一样 甚至中国大陆和中国台湾都有差别。
115,想起来以前奥巴马后面的那个假的手语翻译。
116,u see
117,不自由
118,政治勇气
119,手语老师全程抢镜
120,明    白    人
121,真 全境封锁
122,上帝有点想你们
123,见证最双标的国家
124,好吧~_~其实手语都是我现场编的
125,这不自由
126,手语老师C位
127,好傻
128,右边这哥们，真是生无可恋
129,打击自由
130,那就举行499人的聚会，。。。不行
131,为什么不能让手语老师和广权儿合作呢
132,封城真不自由啊
133,说好的自由呢
134,高晓松是你吗
135,抢镜
136,莫名想笑
137,抢镜
138,哈哈哈哈哈哈哈
139,手语老师好可爱哈哈哈哈
140,建议0.5人以上的
141,汤姆克兰西丶全境封锁！
142,五十个人都不行
143,大 失 败
144,大失败:资本主义的崩溃
145,汤 姆 克 兰 西 ： 全 境 封 锁
146,粗一看还以为手语老师坐在两个人肩膀上。。。。
147,手语老师上镜
148,499就没问题了
149,全  境  封  锁
150,真的 还不戴口罩
151,纽约人民要自由 反对反对！！！！
152,今年都第几次紧急状态了？
153,为什么美国手语都那么抢镜...
154,厉害
155,不自由了
156,那个说拍市长脑袋的，别走
157,抗议抗议！
158,要自由啊，怎么能因为感冒放弃自由呢？太不美利坚了
159,戴口罩阿
160,不，这不自由
161,这怎么看都像一个恶搞视频呢，就是因为后面多了个人。哈哈
162,这怎么看都像一个恶搞视频呢，就是因为后面多了个人。哈哈
163,你们这是侵犯病毒的自由
164,自由啊
165,这是对自由的践踏！
166,纽约州旗是在法国国旗基础上改的
167,不！这不美利坚！
168,就这还不戴口罩
169,yes or no
170,晚了
171,不可以这样，这 不！自！由！！
172,这不自由啊
173,哈哈
174,499
175,晓松
176,自愈啊！别带口罩啊！美帝忽悠百姓！
177,自由城进入紧急状态
178,该来的总会来
179,美国金融要蹦
180,完了
181,那就499个
182,不用看了还要蔓延。看老天脸色吧
183,手语师真的好抢镜啊
184,你们居然不戴口罩？
185,最近才开始加手语么，我感觉以前是没有手语的
186,全境封锁
187,你抢戏了
188,全境封锁
189,英语说的不错
190,进入紧急状态，那就今晚先演吧
191,如花是你吗？
192,这不自由!
193,哈哈
194,499
195,美的手语老师都很抢镜
196,全境封锁
197,前面坐着的嘉宾都让让，都看不清后面站着的主播了
198,手语翻译高晓松
199,500？
200,我一直看那个手语老师哈哈哈哈
201,我怀疑手语是冒充的
202,自由的气息
203,美国的手语翻译都“奇形怪状”的
204,这不可以，不自由
205,基本上还是不限制
206,替身使者
207,全 境 封 锁—纽 约 军 阀
208,不精神老伙
209,I want free 
210,这不自由
211,手语老师真的太喜感了
212,我怎么觉得这手语翻译是个偷混进来的骗子啊
213,我抗议 为什么限制我的自由
214,凭什么，凭什么剥夺字由美国人的字由
215,胡子小哥有点可爱
216,哈哈哈哈哈哈后面好搞笑
217,不行，请你给纽约人自由
218,自由万岁，反对州政府
