,comments
0,国士无双
1,国士无双
2,看到zoom想到要上课了
3,别用win7了win7不安全微软公司已经停止对win7的保护了
4,只是互相交流，上网课不是把终老
5,国士无双
6,国士无双，帅！
7,zoom
8,国士无双
9,辛苦了
10,辛苦了
11,小张在打了，真是在打了。
12,小心在打和小张。！
13,999999.
14,小心在今年的无法了，重新在让的和小李。
15,国士无双
16,美国以后人少了 我要移民过去
17,钟爷爷万岁
18,国士无双
19,思维清晰
20,只是没染，80+头发白正常的
21,第1000条弹幕由我组成
22,世界加油!!
23,帅！
24,国士无双
25,国士无双，你辛苦了
26,zoom我们上课也用
27,学费
28,我们阜阳0死亡
29,男神
30,25万了2
31,世界无双！
32,注意休息
33,头发白了好多，身体很魁梧
34,高端网课
35,在等一个诺贝尔
36,国土无双
37,举世无双
38,他们不配
39,钟爷爷记得休息！
40,钟爷爷记得休息！
41,钟爷爷记得休息！
42,钟爷爷记得休息！
43,钟爷爷记得休息！
44,钟爷爷记得休息！
45,钟爷爷记得休息！
46,钟爷爷记得休息！
47,网课同款ZOOM，我可以骄傲了
48,Zoom
49,国士无双！1200的专家门诊费哪里贵了！很多黄牛挂号费比这个贵多了吧
50,全世界奔波的钟老啊
51,国士无双！
52,国士无双
53,国宝啊
54,zoom啊哈哈哈哈哈哈
55,世界无双
56,国士无双
57,辛苦了
58,国士无双
59,辛苦了
60,辛苦了
61,致敬
62,国士无双
63,国士无双
64,国士无双
65,国士无双
66,国士无双
67,win7
68,win7
69,国士无双
70,国士无双
71,国士无双
72,叫给各个国家上网课
73,国士无双
74,国士无双
75,亿些些
76,瞩目。。。。。
77,啊，我反应过来了，病死率推断感染虑
78,国际专家们连线谈话，这是以前只有在科幻片或奥特曼才有的画面……
79,国士无双
80,国士无双
81,辛苦了
82,同款zoom
83,男神来了
84,男神来了
85,国士无双
86,钟院士辛苦了
87,国士无双
88,国士无双
89,国士无双
90,辛苦了
91,帅！
92,。
93,美国几个人，中国几个人。别平均
94,国外已经感染100万人了
95,国士无双
96,国士无双
97,可能为了拍摄暂时摘了吧
98,广州啊
99,人家室内网络会议，戴什么口罩？说没戴口罩的脑子有饼吗？
100,不可以德报怨，要以直报怨
101,人家室内连线，带什么口罩？
102,难道要高三倍？
103,牧羊人比我更了解密切接触者
104,国士无双
105,爷爷太帅了
106,中国加油
107,国士无双
108,80的人了语言流畅，口齿清晰
109,国士无双
110,中国加油
111,钟院士帅
112,国士无双
113,好多 头皮发麻
114,国士无双
115,国士无双
116,国
117,不戴口罩是对外国友人的尊重，而且他们在进入这里时一般会进行全面的消毒，就别杠了
118,国士无双
119,国士无双
120,国士无双！
121,国士无双
122,国士无双
123,钉钉
124,瞩目？
125,国士无双
126,zoom
127,国士无双
128,不说话时候静音不是很正常么，没来过视频会议还是怎么的
129,到这里来了每个人都是检查过的吧 别什么都抬杠
130,钟老师在线开课
131,国士无双
132,帅
133,医者世无双
134,钟老辛苦了
135,哈哈哈哈哈哈。美国完蛋
136,国士无双当之无愧
137,。。。
138,钟院辛苦了
139,国士无双
140,泪目
141,中国，奥利给
142,辛苦了
143,国士无双
144,钟老伟大
145,口罩
146,国士无双
147,帅
148,我们国家真的也太好了吧
149,意大利快到百分之九了
150,钟爷爷辛苦了
151,纽约医生现在都是一边看丁香园一边啦，药
152,大家注意啊 这是zb推出来的神
153,致敬钟老
154,国士无双
155,优秀
156,举世无双，钟老保重身体
157,院士辛苦了
158,上课了！
159,国士无双
160,zoom
161,这个记者好可爱，我要娶她
162,瑞幸桌上抢眼
163,那意大利好害怕
164,国士无双
165,攀枝花病死率0
166,特朗普：没人比我更了解一切
167,钟老都憔悴了 心疼
168,钟老要注意安全！戴口罩
169,太辛苦了
170,比刚开始老了好多
171,还要戴口罩啊
172,国士无双
173,以德报怨
174,zoom！！！
175,人类命运共同体
176,为什么每次都是这个美女
177,最美的人
178,为什么现在这些专家都没有戴口罩？
179,钟老
180,zoom不是极速吗 闪电侠 哈哈
181,国士无双
182,多休息啊
183,钟老不老！钟帅！
184,英文对话
185,中医也是科学好吧。
186,中医也是科学好吧。
187,钟老好帅٩(๑´3｀๑)۶
