,comments
0,翻译：饼叔行为
1,这也太好了
2,真果粒打钱
3,哈哈哈哈哈哈哈哈哈哈或或
4,哈哈哈哈哈哈哈1
5,？？？？？？？？？？、
6,哈哈哈哈哈哈哈
7,哈哈哈哈哈
8,哈哈哈哈
9,名字写的好康
10,大开大合
11,要不是这样不好，估计叔很想吃这份饭
12,哈哈哈  没用上
13,少吃哈胀
14,哈哈哈哈哈哈哈哈哈哈哈再来一遍
15,这伙食还叫不行？
16,武汉话就说冇啊
17,长威打来福笑死我了
18,央视的味出来了
19,3？三连
20,哈哈哈哈有恩必报
21,我爷爷每天准时看养生堂
22,和我爷爷一样，我爷爷老是跟我说按摩穴位
23,哈哈哈哈
24,大疆打钱
25,是老师吗
26,营养跟得上就好
27,哈哈哈哈
28,哈哈哈哈哈哈哈
29,一 转 攻 势
30,爱了爱了
31,贴心了
32,哈哈哈哈哈哈哈哈
33,这些护士太不容易了，穿这么严实
34,不容易啊
35,有wifi不
36,看的知否
37,四川的也笑了
38,美的的电饭煲
39,太可爱了
40,感谢党
41,哈哈哈哈哈哈哈哈
42,哈哈哈哈哈
43,mou 广东话
44,太像黄渤了
45,↓你们的logo居然是画上去的？
46,哟，家门
47,孙红雷声音
48,牛奶应该是企业捐的
49,老中医了
50,三相之力
51,哈哈哈哈哈哈哈哈哈哈哈
52,奶奶好可爱
53,耳se
54,天呐
55,啊哈哈哈哈
56,互  相  治  疗
57,哈哈哈就差广场舞设备
58,国家真好
59,电饭煲硬核雾化哈哈哈
60,苕吃哈涨哈哈哈哈
61,。。。
62,头发
63,大开大合
64,因为免费
65,克7
66,麻城人来了
67,哈哈哈哈哈
68,现在排骨这么贵好久没吃过排骨了
69,为什么没写丑叔
70,云南的去也叫克
71,眼泪不争气的从嘴角留下来了
72,很好吃的感觉
73,真好
74,？？？？？？
75,真名哈哈哈哈
76,这能播?完了，中医解释不清楚了
77,没用上好啊
78,重庆的笑了
79,反客为主
80,哈哈哈哈哈哈哈哈
81,古语
82,哈哈哈哈
83,就是吃的撑死的意思
84,克7
85,武汉方言 冇得 就是没有的意思
86,mao 第四声
87,加油
88,奶奶你是累的了
89,。。。学校
90,我爱中国
91,哈哈哈哈哈哈
92,这叫不行？！
93,好有爱
94,哈哈哈哈哈哈哈哈哈
95,真果粒打钱
96,太可爱了
97,好
98,嗨……？伙食真不错啊
99,反向治疗哈哈哈
100,就是最普通的份饭，弹幕别杠了
101,都是东方的神秘力量
102,这叫还行？？我惊了
103,冇
104,里面各个都是人才
105,哈哈哈哈哈哈哈哈哈
106,哈哈哈哈哈哈哈哈哈
107,哈哈哈哈哈哈哈
108,哈哈哈哈哈哈哈哈哈哈哈哈哈哈不知道呀
109,哈哈哈哈哈哈哈哈哈哈哈哈哈反向输出
110,西安小姐姐啊
111,没有的意思
112,Mou
113,头发
114,早饭都有这么多排骨！
115,哇这个大妈好热心
116,早上就这么好
117,摄像小哥有点想法
118,好亲切
119,地道
120,帅哥你哪位
121,真名？
122,丑了
123,就闷头吃，不说话
124,够不着老头子了
125,这医院的免费伙食都比我平常吃得好
126,我这里读mou，二声，也是没有的意思
127,老头子拍的怎么样了
128,卓尔不凡
129,反客为主
130,西安的！！！骄傲
131,真果粒打钱！
132,哈吃哈胀
133,冇得
134,哈哈哈
135,哈哈哈哈哈太可爱了
136,看饿了
137,他们才是病人呀哈哈哈哈大家太可爱了
138,哈哈哈哈哈哈太可爱了
139,比我吃的好啊！！！
140,有的酸
141,嫉妒了
142,人家刚刚说了句疼哈哈哈哈
143,这个专业哈哈哈
144,百万。
145,哈哈哈哈哈哈哈哈哈哈哈哈
146,哈哈哈哈哈哈哈哈哈哈哈哈
147,奢侈，我们过年差不多也就这样，对不起，我们拖了祖国后腿
148,冇在广东是“没有”的意思
149,发现情况比预计好
150,叔也辛苦了 都瘦了
151,她们好开心啊
152,粤语也是这字
153,哈哈哈开心没用上
154,标题上线
155,反向治疗
156,加油
157,那我是有还是没有呢？！
158,辛苦了。
159,？？？？？？？
160,天天听
161,西安小姐姐～(￣▽￣～)~
162,感觉被隔离的是我们
163,气喘是因为戴着口罩吧
164,大妈真的是一种好可爱的生物
165,真好哎还有电饭煲
166,我的妈呀
167,广场舞设备等等我哈哈哈哈
168,我好喜欢吃鱼糕
169,真果粒出来打钱∽
170,实锤了，偷拍up（狗头保命）
171,哈哈哈哈哈哈哈哈哈哈好可爱！！！
172,谁啊你是
173,张竣，头一次听说哈哈哈哈
174,dbq这个发型真的很好笑
175,贵州憨吃哑涨
176,电饭煲雾化就很强
177,就很强
178,蒙牛打钱
179,这个武汉话就很有灵性
180,广东也用这字
181,好事啊
182,？？？？不行
183,？？？我都想隔离去了。。。
184,小姐姐懵逼了：我有肩周炎？
185,冇得
186,哈哈哈哈哈哈
187,哈哈哈哈哈哈哈哈哈哈哈哈挺好挺好
188,阿姨暗示三连
189,哈哈哈哈哈哈
190,辛苦了
191,突然暴击
192,冇 是 有 的反义词，没有的意思
193,真 全民中医
194,哈哈哈哈哈哈哈哈哈
195,全民中医哈哈哈哈哈哈
196,这发型爆炸
197,哈哈
198,打钱
199,哈哈哈哈
200,造就完了
201,真果粒打钱
202,还送东西?
203,加油
204,哈哈哈哈哈哈哈
205,传功大长老
206,没用上也太棒了
207,哈哈哈哈哈哈
208,一进来就看见常威在打来福
209,这句话太棒了吧
210,，
211,人家那么说就是让一下，别太较真
212,康复专业的大二学生在这里
213,托尼老师？
214,哈哈哈阿姨好可爱
215,中国人：不是我不吹，只要有吃的，我都好说
216,我们终将战胜病毒
217,中国加油，中国必胜
218,学医的也进来了……
219,哈哈哈嗝
220,好温馨的氛围
221,好可爱
222,张叔你好啊！
223,加油
224,来了
225,湖北大学加油
226,啊哈哈哈哈
227,哈哈哈
228,我好饿orz
229,常德也是这样子叫的诶嘿嘿嘿
230,俩月没剪头发的等等我
231,这比我家饭好啊。。。。
232,九阳电饭煲
233,就是狂吃
234,辛苦了
235,加油
236,反客为主xswl
237,武汉加油
238,小姐姐太可爱了！哈哈哈哈哈哈哈
239,哈哈哈哈哈哈哈哈
240,民间大佬
241,武汉一般也没澡堂，都是私人卫浴
242,哦哦哦老乡
243,武汉话也是，冇得就是没有
244,辛苦了
245,哈哈哈哈哈
246,三相之力
247,真的好温馨……
248,不能发弹幕吗
249,我放下了手里的泡面……
250,加油加油加油
251,打晚上看肚子有点饿
252,三相之力 牛B
253,来了来了。他来了。
254,人均老中医
255,哈哈哈哈哈哈
256,美食博主的自我修养之食物察觉
257,辛苦了
258,传说的凤凰三点头专治打嗝？
259,太温馨了！！泪目，太温馨了，我爱我们国家和人民
260,排骨……
261,比我吃的好
262,大喘气！
263,哈哈哈哈哈哈病人给医生治病
264,本武汉人感觉太亲切了
265,？？？
266,冇错
267,凶市鸡蛋，记者北京的
268,这发型
269,不用做饭
270,这图真好看
271,手工作画
272,武汉卓尔
273,到底谁治谁？！
274,辛苦了
275,毛
276,笑死了
277,笑死了
278,我爱我的祖国
279,恭喜没用上，挪作他用
280,一天天好起来了，太好啦
281,真好
282,哈哈哈哈哈哈太可爱了
283,哈哈哈哈哈哈哈哈哈哈或
284,习惯可还行哈哈哈哈哈
285,哈哈哈哈哈哈哈哈哈哈
286,哇塞
287,哈哈哈哈哈哈哈哈
288,我大概两三个月没吃过排骨…您早饭就吃排骨我好酸
289,酸酸酸！吃的真好！
290,比我在家吃的好，酸
291,少暴饮暴食，尤其是免费又美味的食物
292,量大啊早饭菜还能留到午饭吃
293,国家兜底，，要不然得多大矛盾，国家强大真好
294,哈哈哈哈哈哈
295,排骨？社会社会！
