,comments
0,加油
1,我爱中国
2,加油
3,欢迎乖宝回家，巨婴丑拒
4,是的
5,中国加油
6,加油
7,怕是被正能量
8,好白
9,英雄你们一路走好
10,加油
11,加油加油加油加油加油加油加油加油加油加油加油必胜必胜
12,郭志坚
13,好的
14,谢谢
15,你好
16,像英雄致敬
17,中国加油
18,中国加油
19,只要是中国人，不管他是好是坏，都是家人
20,加油
21,反正我不欢迎
22,反正我不欢迎
23,希望以后都给我推这种，我喜欢新闻
24,希望以后哔哩哔哩都给我推这种，我喜欢
25,中国加油！
26,加油
27,中国加油
28,加油
29,加油
30,加油
31,加油
32,加油
33,加油
34,加油
35,加油
36,中国加油
37,中国加油
38,加油加油
39,加油！
40,中国加油
41,中国加油
42,中国加油！
43,欢迎回家
44,逝者安息
45,中国加油
46,中国加油
47,中国加油
48,中国加油！
49,郭志坚帅！
50,郭志坚棒
51,加油
52,加油
53,加油
54,中国加油
55,中国加油！
56,向英雄们致敬
57,中国加油
58,加油
59,中国加油
60,来世还是中国人
61,支持
62,中国加油
63,中国加油！
64,加油加油，一起加油
65,加油
66,我姐姐还在美国上学，我们担心她但是她没有回来，我妈已经给她送了好多口罩过去了，希望我姐姐没事
67,中国加油！
68,中国加油中国加油
69,中国加油
70,向英雄敬礼！
71,嗯，那些自私小聪明的孩子不用回来了
72,好
73,加油
74,谢谢中国 世界加油！！！
75,中国加油
76,小B站全是正能量
77,加油！
78,加油！
79,4.4胜利时代前来考古
80,加油
81,中国加油，全世界人民加油!
82,加油！
83,加油
84,中国加油！
85,我们应该懂事了（00后）
86,自费怎么了？凭什么白给？
87,加油
88,向英雄致敬!
89,中国加油
90,中国加油
91,中国加油
92,心疼留学生啊
93,致敬
94,中国加油
95,武汉加油
96,中国加油
97,中国加油
98,中国加油
99,中国加油
100,非中国籍人员自费
101,中国加油
102,愿逝者安息，愿生者奋发，愿祖国昌盛。
103,中国加油
104,都要加油鸭
105,中国加油
106,祖国加油
107,中国加油！
108,中国加油，武汉加油
109,加油中国
110,加油
111,疫情期间反倒爆出不少自私自利不顾疫情的小人。。唉
112,我想要开学了
113,加油
114,加油
115,祖国永远向自己的好孩子敞开大门，当然是兄弟！
116,加油加油
117,世界加油
118,。。。
119,谢谢！我爱中国
120,加油
121,留学人员不为国家做贡献？海外经商人员没为国家做贡献？都是同胞要互相关照，别那么自私
122,加油
123,不管谁来满14天再说
124,有毒自远方，来虽远必诛。
125,叫你们不注意了，外国
126,支持
127,感谢中国
128,祖国太累了
129,坚守
130,中国加油！
131,好温暖
132,上海加油！
133,太正了
134,欢迎回家，但也要保护好大家呀！
135,说的好！
136,不要毁了他
