,comments
0,致敬！
1,此次疫情，我们牺牲了很多同胞和医护人员
2,致敬英雄
3,向英雄们致敬
4,致敬
5,辛苦了
6,致敬！
7,致敬英雄
8,英雄不朽
9,致敬
10,致敬
11,致敬
12,致敬
13,致敬
14,致敬!
15,泪目
16,致敬
17,致敬
18,致敬！！！
19,美国还有什么脸放弃老人？？？？？？
20,致敬
21,英雄
22,致敬
23,致敬
24,犯我中华者虽远必诛我管你是啥的
25,5555
26,致敬
27,美利坚合众国除外
28,加油 你们都是最棒的
29,加油加油加油
30,致敬
31,英雄不朽！
32,致敬
33,致敬英雄！
34,致敬！
35,致敬
36,武汉加油！
37,致敬
38,致敬
39,英雄永存
40,致敬
41,致敬
42,美国都说特朗普救不了他们中国旧的两弹
43,致敬英雄
44,致敬
45,致敬英雄
46,致敬
47,致敬
48,致敬
49,医生加油！
50,致敬
51,致敬！
52,致敬
53,致敬！
54,bgm是啥啊
55,致敬
56,致敬
57,致敬
58,致敬
59,致敬
60,致敬英雄
61,为英雄们献上祝福
62,他们是真正的英雄
63,致敬
64,致敬
65,致敬！最好的你们
66,致敬
67,谢谢英雄
68,加油
69,致敬
70,致敬
71,致敬
72,致敬
73,致敬
74,致敬
75,致敬
76,辛苦了
77,致敬
78,致敬
79,致敬
80,致敬！！！
81,生而为华夏，此生为华夏
82,致敬！
83,致敬！
84,致敬
85,他们，是真正的英雄
86,致敬，你们都是英雄，辛苦了
87,辛苦了
88,致敬
89,加油！
90,致敬英雄
91,致敬
92,致敬
93,致敬英雄
94,致敬
95,致敬英雄
96,不知道说啥，感谢你们这些英雄
97,英雄不朽
98,致敬
99,向英雄致敬
100,致敬
101,三杯鸡为热干面加油
102,致敬！
103,致敬英雄！
104,他们是真正的英雄
105,加油
106,泪目
107,致敬 愿山河无恙
108,致敬！！
109,致敬！
110,致敬
111,致敬英雄！
112,向英雄致敬！！！
113,敬礼！
114,！！
115,！！！
116,致敬！
117,致敬！！！
118,小石榴吗
119,致敬！
120,致敬！
121,致敬，真的泪目了，祖国伟大
122,致敬
123,致敬
124,致敬
125,武汉加油！中国加油！！！！
126,致敬
127,致敬
128,致敬
129,致敬
130, 永垂不朽
131,致敬
132,致敬
133,这种分层管理真的很棒
134,致敬英雄
135,致敬
136,致敬！
137,致敬
138,致敬
139,致敬
140,向英雄致敬
141,我们的祖国 不放弃任何一个人
142,向英雄致敬
143,致敬  致敬
144,致敬
145,一个不能少
146,英雄不朽
147,致敬！
148,他们，是真正的英雄
149,致敬
150,致敬！
151,冬天很冷慢慢走看一看春天的花把
152,泪目
153,流浪地球的饱和式救援
154,致敬！！
