,comments
0,谢谢！
1,致敬
2,谢谢你们
3,致敬
4,致敬
5,泪目
6,眼睛里进核弹了
7,致敬
8,谢谢你们
9,牛壁
10,这场景只在中国有  谢谢你们
11,真的泪奔了
12,感谢
13,感谢  感动
14,这个小区不错
15,谢谢！
16,谢谢
17,可惜没能帮上你们，武汉加油
18,眼睛进砖头了
19,辛苦了英雄们
20,泪目
21,欢迎回家！！！
22,谢谢
23,谢谢你们！
24,鸡皮疙瘩出来了
25,辛苦了
26,致敬
27,致敬
28,谢谢你们
29,谢谢你们
30,中国真的是一个伟大的国家，中华民族是伟大的民族
31,泪目
32,谢谢
33,泪目
34,谢谢逆行而上的英雄们，真正的白衣天使！
35,谢谢你们
36,致敬
37,谢谢你们
38,辛苦了
39,泪目
40,辛苦了啊各位.
41,谢谢
42,辛苦了，致敬
43,此生无悔入华夏，来世还做中国人！！
44,泪目
45,感动
46,致敬。
47,今天人哭累了，币投完了！
48,群演警告
49,请了多少警察？
50,辛苦啦
51,感谢
52,谢谢你们
53,致敬
54,谢谢白衣天使
55,致敬
56,太感动了
57,八方支援
58,致敬
59,dmnq
60,泪目
61,泪目
62,武汉加油
63,谢谢医护人员，辛苦了
64,谢谢
65,加油
66,泪目
67,致敬
68,谢谢您们！
69,泪目
70,谢谢你们！
71,哭了
72,辛苦了
73,加油！
74,辛苦了
75,一路平安
76,谢谢你们！白衣天使！
77,加油
78,致敬
79,谢谢你们
80,泪目
81,泪目
82,谢谢你们
83,谢谢
84,辛苦啦
85,武汉加油
86,敬佩
87,哭了
88,为什么眼睛在发烫
89,谢谢
90,谢谢你们
91,谢谢你们
92,谢谢
93,致敬
94,真的好庆幸自己是中国人啊
95,欢迎回家。
96,武汉加油，谢谢你们
97,我这人泪窝子浅  看不得这个 但就是想看
98,谢谢
99,谢谢
100,谢谢最好的你们
101,真的辛苦了！谢谢你们
102,加油
103,谢谢
104,辛苦了
105,谢谢你为国家拼过命
106,致敬
107,泪目
108,谢谢你们
109,泪目
110,泪目
111,白衣天使，谢谢你们
112,山河无恙  英雄凯旋
113,泪目
114,泪目
115,泪目
116,谢谢你们
117,谢谢你们
118,谢谢你们
119,泪目
120,加油
121,泪目
122,辛苦了
123,哭了
124,谢谢
125,泪目
126,谢谢你们
127,泪目
128,感谢白衣天使们
129,泪目
130,进来就哭了
131,泪目
132,致敬
133,大家都要平平安安的啊
134,看的想哭
135,谢谢
136,致敬天使
137,谢谢。你们辛苦了
138,谢谢
139,谢谢你们
140,泪目
141,落泪了感动哭了！！！！
142,武汉加油，谢谢你们
143,泪目
144,真忍不住了
145,加油
146,眼泪突然就下来了
147,辛苦了
148,谢谢你们
149,中国加油
150,欢迎回家
151,泪目
152,我想，这许多的事件都可以说明，我们中华民族有着很强的凝聚力，任何的困难都压不倒我们，中国人民是不可战胜滴！！！我相信，我们一定会取得最后的胜利！！！
153,泪目
154,武汉加油中国加油
155,泪目
156,致敬
157,致敬
158,泪目
159,泪目
160,谢谢
161,泪目
162,谢谢
163,谢谢！
164,哭了
165,谢谢！
166,谢谢
167,致敬
168,感谢
169,谢谢你们
170,一看就想哭
171,泪目
172,感谢
173,泪目
174,泪目
175,面对疫情，艰难而上，庆幸你我都在，都平安，缅怀逝者，庆幸祖国繁荣昌盛！让我等能安居乐业，致敬英雄！你的名字我们的荣光！！
176,太好哭了
177,泪目
178,泪目
179,泪目
180,谢谢白衣天使们
181,加油武汉加油祖国
182,谢谢
183,谢谢你们！
184,谢谢你们
185,谢谢你们
186,致敬！！！！
187,谢谢
188,谢谢
189,谢谢
190,谢谢谢谢你们！
191,泪目
192,谢谢你们
193,谢谢
194,致敬
195,辛苦了
196,泪目
197,加油！！
198,谢谢你们！
199,泪目
200,泪目
201,泪目
202,谢谢你们，让中国春暖花开
203,谢谢
204,武汉加油！
205,辛苦了
206,加油
207,感谢英雄
208,泪目
209,谢谢
210,致敬
211,泪目
212,致敬
213,谢谢你们
214,谢谢！
215,致敬
216,泪目
217,泪目
218,哭了
219,谢谢你们
220,感谢你们
221,加油，辛苦了
222,谢谢你们
223,中国红支援
224,泪目
225,谢谢
226,致敬
227,泪目，武汉加油
228,谢谢
229,泪目
230,大爱天使们
231,立即泪目
232,谢谢你们的负重前行
233,真的谢谢你们啊
234,辛苦了
235,谢谢你们  
236,泪奔了
237,武汉加油!
238,武汉加油
239,铭记这次在抗疫前线牺牲的战士们
240,致敬！
241,致敬！
242,一进来就泪目
243,白衣天使们欢迎回家！
244,谢谢你们
245,致敬
246,谢谢白衣天使，你们最棒！
247,武汉加油！
248,谢谢
249,谢谢谢谢
250,泪目
251,泪目
252,辛苦了
253,致敬
254,谢谢你们
255,真的哭了
256,加油
257,辛苦了
258,谢谢
259,泪目
260,泪目
261,谢谢你们
262,谢谢你们
263,泪目
264,致敬
265,致敬
266,眼睛又进水龙头了
267,蟹蟹你们
268,谢谢！
269,谢谢你们
270,真好
271,加油
272,致敬
273,辛苦了，白衣天使
274,谢谢，致敬
275,谢谢你们！
276,武汉加油
277,致敬
278,欢迎回家
279,谢谢
280,谢谢你们
281,致敬
282,感动
283,谢谢最美的白衣天使
284,哭了
285,感谢你们
286,感动
287,泪目
288,谢谢老板
289,武汉加油！
290,谢谢白衣天使
291,致敬英雄！
292,谢谢你们！
293,武汉加油
294,x谢谢
295,白衣天使谢谢
296,流泪
297,感谢
298,谢谢你们
