,comments
0,以前医疗不发达这还真只能这样，不过现在不用了
1,国士无双
2,嗯
3,国士无双
4,国士无双
5,当代雷锋啊
6,帅
7,发现老外专家跟我们差远了
8,钟老辛苦了
9,爷爷好帅啊
10,英国首相对线，对不过了，首相自己都中招了
11,国士无双
12,美国本来打算靠疫苗挣一笔，没想到啊啊啊
13,英国：你管我？
14,国士无双，感谢中国有您！
15,对
16,国士无双
17,帅
18,这东西就跟着凉了会感冒一样。得一次抗过去就不得了？自我安慰而已
19,国士无双
20,默哀
21,加油
22,致敬
23,中国加油！
24,嘿嘿
25,就是想躺赢
26,印度群体免疫还挺成功的……
27,国士无双
28,？？？？？我B站颜色没了
29,提出群体免疫计划的都确诊了
30,国士无双
31,.
32,国士无双
33,好的
34,国士无双
35,国士无双
36,我方了
37,男神！！
38,有生以来我看过最帅的男人
39,生命为大
40,支持支持
41,好好好支持
42,这次一定
43,没有人该要为了这些数据去世
44,4月4前来考古哇哦
45,@英国
46,好
47,国士无双
48,欺人之谈——群体自我免疫
49,腮腺炎
50,集体免疫简直就是扯淡
51,中国加油！！！
52,中国加油！！！
53,国士无双
54,走好
55,哭了
56,辛苦了！
57,帅
58,@大嘤帝国
59,国士无双
60,中老太帅了！
61,加油
62,国士无双
63,国士无双
64,国士无双
65,希望疫情早点结束
66,国士无双
67,这次一定
68,帅
69,@英国
70,辛苦了
71,英雄永垂不朽！！！
72,投币投币
73,我眼睛怎么了早上一醒打开b战发现视频都是黑白的
74,它们那是社会倒退
75,印第安人和天花
76,可以
77,他老了
78,疫情期间消失的光芒，一路走好
79,集体面子。。。抱团找死
80,集体免疫和报团找死有啥区别？？
81,国士无双
82,中国加油
83,自动变色
84,英国就是胡闹
85,感冒不就是个典型的例子。
86,英国首相算个求，最多就是个政客不配和钟院士说话
87,好
88,。。
89,您辛苦了
90,中国加油！
91,国士无双
92,国土无双国土无双国土无双国土无双国土无双国土无双国土无双国土无双国土无双国土无双国土无双国土无双国土无双国土无双国土无双国土无双
93,那个那个高福院士呢
94,钟老好棒，帅到炸！
95,觉得帅的把帅打在公屏上
96,帅
97,像以前的鼠疫，第二次出现升级成黑死病
98,辛苦啦！
99,点名批评@英国
100,免疫BUFF
101,英国人说得对，全死了，都全免疫了
102,中国加油
103,国士无双
104,继续努力
105, 钟爷爷一阵见血！
106,等70%，人都没了
107,给钟院士点赞，国士无双
108,他们好相信中国的疫苗啊
109,他们在赌中国的疫苗吗？
110,国士无双
111,男神
112,国士！但愿有双
113,钟老辛苦了
114,得了好了也是生不如死啊那些病！还有后遗症
115,集体防疫是有根据的，但那是用疫苗来达到的不是英国的那种
116,棒呆！！！
117,我爱的南山爷爷
118,只要是病毒就会变异
119,英国出来走两步
120,英国认为有
121,对啊，不是终生免疫就没有意义
122,国士无双
123,日不落已经没办法了才提的这么个馊主意
124,钟老照顾好自己
125,先赞后看
126,快去和英国首相对线
127,绝不吧，说不是打错字了
128,傻子都知道，得病不治疗，等自然痊愈是可以的，但是这样你要医院干嘛
129,国土无双
130,真看不出八十多岁啊
131,6
132,有疫苗可以集体免疫，否则就是拿国民开玩笑
133,嗯
134,钟老说的实话
135,所以别省钱了
136,听医生，得永生
137,康复也还会再感染，英国算盘打不响了吧
138,帅到掉渣
139,加油
140,666
141,一句否决
142,治愈不等于充钱，不能得到永久装备
143,这个
144,集体防遇是最后的手段，现在还是正常防治最好
145,钟老说的是我觉得我认为，严谨
146,大城市病首先解决卫生问题
147,加油
148,666666
149,钟老说的对
150,男神
151,说钟院士50多岁我都信
152,中国加油！
153,我合计着感冒流感都能反复得，英国凭啥肯定群体免疫有效?
154,国士无双
155,集体免疫就是自欺欺人！
156,估计英国是听了钟老的这段讲话，现在都改口了
157,好家伙……都得了、也快完事了……
158,对
159,对
160,支持
161,好
162,国士无双
163,英国宛如疯魔了
164,支持
165,好！
166,危  英国  危
167,看来要等到疫苗应用才能全面复工了
168,英国看一看
169,点赞
170,国士无双
171,66666
172,加油
173,好好好
174,说得好
175,院士表示这个词没听说过
176,hhh
177,钟老辛苦了
178,h
179,希望疫情快快过去，每个省份都树上小红旗，本省清零
180,人呢
181,666
182,自然选择
183,钟爷爷说话好严谨
184,外国领导快来学习！
185,国士无双！！！！
186,说的对！
187,钟老辛苦了
188,@英国
189,第一
190,点名批评
191,希望早点结束
192,您辛苦了
193,国士无双
194,快
195,牛牛已经改口了
196,点名批评
