,comments
0,方法
1,VB
2,加油
3,加油
4,1918年西班牙流感也是美国带来的，就因为西班牙先发现报道了，就背锅了
5,谢谢您所做的一切
6,爱您
7,这标题跟院长说不一致啊你没币了
8,大众男神
9,张文宏主任随即打这老贼的脸
10,老侯子
11,国士无双
12,国士无双
13,钟爷爷加油！
14,加油
15,有理有据，国士无双
16,武汉加油
17,在蝙蝠
18,源头在美国
19,国士无双！！
20,美国听好了
21,武汉加油
22,中国加油！
23,中国加油，武汉加油
24,好灰啊
25,国士无双
26,你爷爷还是你爷爷
27,武汉加油
28,…………
29,国士无双
30,为什么变白了
31,国士无双
32,加油
33,老英雄！！！长命百岁。您是中国的骄傲
34,中国加油！
35,帅
36,肯定在武汉啊
37,终老，国士无双，致敬！
38,这真的是专家吗...
39,中国加油
40,武汉加油
41,武汉加油
42,美国病毒
43,加油
44,太对了！航空母舰怎么说？
45,加油
46,说的太对了！
47,嗯
48,锅在天上飞
49,加油加油
50,国士无双
51,懂了
52,钟爷爷好帅
53,加油
54,武汉加油
55,顶
56,国士无双
57,武汉加油
58,幸得有你，山河无恙
59,国士无双
60,我懂了，说的好
61,加油
62,加油
63,挺
64,说的太对了
65,地域黑出来挨打
66,……
67,中国牛逼
68,中国加油
69,源头在火星
70,听不懂！！！
71,没错！
72,加油
73,国士无双
74,中国人可干不出这种损人不利己的事
75,真心不能随便下结论，不能不负责任
76,美利坚扑街仔
77,我支持你
78,我支持你
79,CIA估计要请水军弄您
80,我爱您
81,国士无双
82,国士无双
83,不是蝙蝠啊！我才知道
84,国士无双
85,说得好！
86,国士无双!
87,加油
88,太对了！
89,说的好
90,美利坚
91,没有证据，也不要无端指责别国
92,我爱您啊啊啊啊啊啊啊啊啊
93,钟老啊啊啊啊啊啊啊啊啊
94,可能源头在其他国家，但是没有曝光，大众不知道
95,只能说是中国武汉在发现了新冠病毒后第一个将它曝光出来了
96,有的研究显示，新冠病毒来自东南亚走私的穿山甲。
97,美国开的好头
98,对
