,comments
0,辛苦了
1,这头发
2,怎么都是女士呀
3,辛苦了
4,辛苦了
5,你真棒
6,汶川地震的时候我们80后也是这种心情，小妹加油
7,你们就是中流砥柱
8,辛苦了
9,哈哈哈哈哈哈哈哈哈
10,土块
11,暗中观察
12,江西队排面
13,幸苦了
14,94的觉得可以
15,辛苦了
16,辛苦了
17,天哪比我年纪都小
18,每个人的金牌
19,战友情！！！！！！！！！
20,哈哈哈哈哈哈哈哈哈哈
21,江西老表！
22,安排
23,太难了
24,等等马上成年！
25,得得得得得得
26,我可以的！@
27,泪目
28,安排不了
29,小撒
30,你好，我是国家安排来的
31,姐姐，不要哭了
32,那你可以带我们去吗（期待）
33,好可爱
34,前面的没彩礼可不行
35,让我来！
36,青海牛壁
37,辛苦了
38,好可爱
39,致敬
40,致敬
41,好看
42,辛苦了
43,必须的
44,叔太坏了
45,同款眼镜框
46,辛苦了
47,请一定让在下来
48,幸苦了
49,我准备好了
50,好可爱啊
51,珍重
52,撒贝宁的签名照弄到了没
53,哈哈哈
54,辛苦了
55,比我小
56,哈哈哈哈
57,眼睛进石头了
58,辛苦了
59,感谢感谢
60,辛苦了
61,我感觉记者和你要成
62,张竣？
63,叔很棒
64,好可爱
65,谢谢
66,记得安排啊
67,辛苦了
68,西哭了
69,99年可以吗
70,来来
71,辛苦了
72,老乡不哭，辛苦了
73,江西家乡队
74,辛苦了
75,我来
76,辛苦了
77,谢谢你们
78,辛苦了
79,辛苦了
80,辛苦了
81,青出于蓝而胜于绿！
82,未来你们就是钟院士那样的人
83,辛苦了
84,辛苦啦
85,现在，你也是前辈了
86,辛苦了
87,加油加油
88,姐姐顺便给妹妹也留一个吧
89,蓝盆友，哈哈哈哈哈哈，普通话烫嘴
90,自愿做小姐姐男朋友的这里报名了
91,安排安排
92,来了
93,几乎每个人都眼里都是血丝
94,江西赣州支持小姐姐
95,辛苦了！！
96,太可爱了
97,我来
98,我
99,我可以
100,雷哥好 哈哈哈
101,辛苦了
102,兵哥哥可以的
103,太老了
104,俺也一样
105,恋爱禁止的世界！这位小姐姐了解一下
106,江西加油
107,谢谢
108,？？？？？
109,希望不要只是精神上美化他们，不要宣扬无私的职责，牺牲精神，只希望能给他们更好的待遇，只希望能更好地保护医务人员的安全
110,我我我
111,95
112,我94的
113,给她给她！！！
114,好漂亮呀
115,谢谢你们！
116,好年轻啊
117,太小了！都是孩子啊~
118,哈哈哈哈哈哈哈哈哈哈哈哈哈
119,你们是的！！
120,辛苦了
121,武大听见了吗！？
122,让她看！！！
123,哈哈哈哈哈哈哈
124,给她给她！随便挑！！！
125,辛苦了！！！
126,谢谢你们！！！
127,我家有哥哥有弟弟！
128,辛苦了
129,太难了
130,这里的101只是专供方舱的护理团队，另外还有其他批次的医疗队一千多人
131,喜欢这个小姐姐。
132,必然会青出于蓝胜于蓝的，90后加油。
133,叔，你这个头发哟
134,我不要蓝朋友我要男朋友
135,救命
136,我！
137,我我我。。。
138,东北吉林单身91，考虑吗
139,辛苦了！
140,这个普通话听起来亲切，一听就是江西浙江那块的
141,好可爱
142,98年的！
143,你们好伟大啊
144,辛苦了
145,泪目
146,我成年了
147,辛苦
148,我来排队
149,辛苦了
150,你这一辈子 有没有为别人拼过命
151,谢谢您。
152,辛苦了。
153,辛苦了
154,辛苦了
155,辛苦
156,后面有个小鬼~
157,00后随时准备接棒
158,辛苦了
159,哈哈哈哈哈哈哈哈哈
160,好年轻啊
161,辛苦了
162,谢谢你们
163,报名的肯定多
164,帅哥
165,最可爱的就是平民英雄
166,中华好儿女
167,辛苦啦，感谢
168,大嗓门
169,好美！
170,武大的樱花安排没啊
171,拥军女孩无疑了
172,我可以
173,你需要女朋友吗？
174,谢谢你们
175,辛苦了
176,辛苦了
177,辛苦了
178,辛苦了
179,抱抱
180,老干妈瞩目
181,展露真实的一面，哈哈哈哈，斗地主
182,哈哈哈哈哈
183,太可爱、太漂亮了
184,李雪琴？
185,不还要请奶茶
186,姐姐，等我成年
187,帅气
188,我
189,真美
190,拔刀吧
191,天使
192,我的
193,欢迎回家
194,辛苦啦！
195,辛苦啦
196,江西赣州报道，感谢小姐姐守护
197,可以
198,辛苦你们了
199,我报名
200,江西报道
201,哈哈哈，好可爱
202,03
203,算了，我还小
204,辛苦了
205,突然发现同款眼镜
206,辛苦了辛苦了。
207,辛苦了
208,辛苦了
209,辛苦了
210,辛苦了
211,最美丽的人
212,辛苦了
213,哈哈哈哈哈哈哈哈哈哈
214,我我我
215,辛苦了
216,门口那个美女吓我一跳
217,辛苦了
218,我来
219,80后谢谢90，99后
220,哭了辛苦了小姐姐
221,辛苦了
222,辛苦了
223,辛苦了
224,辛苦了
225,辛苦了
226,我来
227,辛苦了
228,别怕，，小姐姐我来了
229,哈哈哈哈
230,我想抱抱你
231,好可爱
232,安排上了
233,我服从分配
234,安排上了
235,美美美
236,辛苦了
237,安排
238,辛苦了
239,辛苦啦！！
240,江西排面
241,我不配
242,老表辛苦了辛苦了
243,太可爱了
244,哈哈哈哈哈哈
245,江西加油 ！
246,我可以吗99年的
247,我大南昌流批
248,这个我不行
249,我可以
250,辛苦了
251,好想抱抱小姐姐
252,积极响应党和国家号召
253,辛苦了！感谢你们！
254,辛苦了!
255,辛苦了
256,辛苦了
257,95后医学僧 求国家分配男票
258,辛苦了
259,辛苦了
260,我可以
261,我来
262,我来
263,辛苦了
264,辛苦了
265,辛苦了
266,辛苦了……
267,谢谢您们，感谢我的父母！
268,辛苦了
269,辛苦了
270,致敬
271,辛苦了致敬
272,辛苦了
273,辛苦了
274,辛苦了
275,辛苦了
276,给个联系好约会
277,我的同事已经待了快80天了
278,辛苦了
279,让我来
280,辛苦了
281,辛苦了
282,辛苦了
283,辛苦了
284,辛苦了
285,安排安排
286,辛苦了
287,哈哈哈哈哈哈，我看这个要求可以有
288,群星不会显的像萤火那样！
289,辛苦了
290,辛苦了
291,让我来，给援鄂的小姐姐做点贡献
292,辛苦了
293,我爸小时候10岁的时候我爷爷就走了
294,辛苦了
295,我要了
296,我是团员我可以
297,给江西排面
298,谢谢你们，辛苦了
299,安排安排
300,谢谢你们
301,各位弟弟，都往后退退
302,辛苦了
303,分
304,问问题的内个，你注意一点，别刺激别人了
305,很旺夫的面相。没结婚的赶紧吧
306,都剪了短发
307,脸上还能看到压痕
308,特别赞的90后
309,辛苦了
310,辛苦了
311,？？？？？？？？？
312,？？？？？？？？？？？？
313,原来小姐姐也是土块
314,前面的不要走，我也是91年的
315,辛苦你了
316,我来了，老婆
317,我91年的
318,我可以
319,江西老表
320,辛苦了
321,必须给她安排上，单身狗都给我上去，现在必须上去
322,弹幕寻
323,国家该发一个男朋友了
324,好可爱的小姐姐！
325,哈哈哈，
326,中国以你们为荣
327,辛苦了
328,肯定是个美女
329,我
330,曼妙
331,民政丘赶紧安排！！！
332,江西恰噶！南昌恰噶！切飒！
333,我不配
334,我们不是乖宝宝，我们是个性的非主流
335,80后！我们90是主力，你们替补，我们来保护00后，00后准备接棒
336,辛苦了
337,民政局，听到没有，办事效率高一点！
338,江西恰噶！！！！！！！
339,辛苦了！
340,土怪
341,辛苦了
342,1993年我自愧不如
343,辛苦了
344,这姐姐好漂亮
345,快去带她们去看樱花吧
346,现在都知道你喜欢斗地主 放心吧都录下来了
347,只会剃光头可还行
348,不 你们是英雄
349,哭吧 哭吧 库存量好受点
350,完了 没我们的事儿了
351,我去了现在就去 哼
352,欢迎回家
353,恭喜这里就有一堆人
354,像宝拉
355,辛苦了！！！
356,老表
357,汉街
358,萍乡萍乡
359,辛苦了
360,我行
361,97！
362,哈哈哈哈哈太可爱了
363,辛苦啦
364,辛苦了
365,我才知道有这个小程序
366,辛苦了
367,我我我
368,真实感谢医护人员的帮忙，感谢他们的付出，就是希望大家医患关系真正得到缓解
369,我可以 我01
370,辛苦了
371,让我来
372,要女朋友么
373,江西人愿意服从国家安排
374,辛苦！
375,辛苦了
376,我来了！！！
377,1995年的自愧不如
378,人民就是中流砥柱这个小姐姐好可爱
379,你们都是中流砥柱
380,辛苦了
381,好可爱
382,致敬致敬
383,辛苦了可爱致敬
384,雷锋！
385,辛苦了
386,姐姐缺女朋友吗
387,辛苦了
388,这个小姐姐太可爱了哈哈哈哈哈
389,自愧不如
390,太伟大了
391,太太太太太辛苦了
392,谁家女非掌中玉，谁家儿不负家冀
393,谢谢你们
394,我00的，在线排队
395,我可以，我喜欢江西
396,辛苦了
397,我是80后，我向这些90后英雄致敬~~~~~~
398,90后算是主力军了。。90用自己证明了自己
399,致敬~~~~~~~~~~
400,致敬~~~~
401,辛苦了。
402,请务必让我来
403,我全都要
404,谢谢你们
