,comments
0,支持
1,下次换个BGM，引起强烈不适
2,红种人
3,说得好
4,bgm是time   back
5,是我们做的就做的吧又不是没有取过各国几十万人头
6,BGM : time back
7,保护
8,911评论
9,谢谢！
10,加油！
11,谢谢
12,谢谢谢谢
13,cho
14,人类命运共同体
15,感谢每一个支持中国的国家！
16,牙缝
17,该闭的嘴就闭好了
18,但特朗普的描述恰恰相反
19,谢谢
20,西班牙大流感
21,特离普是真小人，跟个民众一样~~~
22,说的好
23,确实
24,特朗普病毒
25,美国病毒
26,谢谢
27,中东呼吸综合征：？？？
28,bgm：time back
29,加油
30,说得好！！！！！！
31,人类的灾难不分国籍
32,加油
33,抗美英雄特朗普
34,没错
35,美国自己都没有治好病毒
36,人是自私，这是人之常情，但如果外国要针对中国的话，中国人民能团结到让你们不敢相信你们信不信，团结到让你们觉得可怕你们信不信？
37,美国就是缺少一顿父亲一样的爱
38,明年
39,加油中国
40,特朗普就是个胎神
41,人类命运共同体
42,为逝者默哀
43,说的对
44,世界是大家庭！
45,自己搞不好怪中国
46,哪都是这个bgm 听吐了！
47,世界是个大家庭
48,支持
49,谢谢
50,美国出来挨打
51,离谱
52,你币有了
53,中国加油
54,加油
55,中东呼吸综合症
56,没白给这组织送钱
57,讲得好
58,非洲猪瘟是什么鬼
59,明白人
60,有感动到
61,说得漂亮
62,说得好
63,说的好
64,加油
65,全是黑白的
66,啊啊啊啊，没了呀
67,谢谢！！！
68,没有鬼畜了
69,←说只有美国贴标签的，又不是所有美国人都这样
70,不愧是世卫
71,明白人
72,说得好！
73,猪流感
74,加油
75,人家特老狗为了卧底也不容易啊
76,世界是个大家庭
77,封面变黑白了都
78,USA virus
79,没有人比我更懂新冠
80,国   际   巨   婴
81,像极了当年那所谓的西班牙病毒
82,世界卫生组织里都是明白人
83,。
84,所以我们叫猪流感
85,time back
86,谁还记得西班牙大流感就是北美的那帮媒体人干的
87,猪流感
88,bgm叫啥？
89,bgm time back
90,"bgm"""
91,明白人
92,好
93,你币有了
94,？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？
95,说得好
96,明白人
97,挺你
98,确实
