,comments
0,爽！
1,赞
2,保护                                           国徽
3,包括中国工厂和企业代工的一切物品
4,爽哥不爽
5,保护                                                                         国徽
6,尊重生命
7,翻译太难了
8,我爽哥现在很不爽(dog)
9,女少
10,哈哈哈哈哈
11,弹幕
12,弹幕
13,防护服真的那么难读吗，哈
14,别用
15,下面的！保护国徽！不要挡住了！
16,（              ）
17,好
18,莫挡国徽
19,爽哥威武
20,爽哥威武不能屈
21,不要用听话
22,说得好好
23,别用啊
24,保护
25,美英想中国援助物资想屁，自己拿黄金买。
26,霸气
27,爽哥nb
28,不要挡着！
29,保护国徽
30,我们国家只需做自己该做想做的事。
31,《农夫和蛇》郝建与老太太的故事。
32,不要挡国徽
33,说得好
34,已经并将继续向其他国家提供力所能及的帮助
35,哈哈哈哈
36,爽哥现在很不爽！！！
37,不想要就等死吧
38,力所能及
39,这也太难翻译了
40,好同情翻译
41,谣言是虾仁猪心，就是故意的，叫别人不买，然后自己便宜买
42,✨                        ✨          
43,爽哥威武
44,我们应该输出的是中医药
45,爽哥是大胡子男人，看下巴全部是胡渣
46,那么请说这种话的人 ，不要带中国口罩
47,是哗众取宠
48,不要挡国标
49,爽哥爽哥爽哥！
50,爽哥我爱你
51,抱走爽哥
52,爽哥今天爽了吗？
53,有那功夫自己造两条航母多好。都死完了正好收拾他们
54,厉害了我的国
55,所有口罩面上都印上made in China
56,哈哈哈口罩上印上中国国旗，价格还要给他们上涨
57,爽！！！
58,舒服了
59,爽啊
60,别用中国的口罩呼吸机
61,帅啊！
62,字幕君奈斯
63,中国人团结起来让你错手不及
64,字幕发顶端啊，别挡国徽
65,我天呐太有文采了
66,请不要挡国徽
67,中国世界第一！！！！！！！！！！！
68,下边的，别挡国徽
69,马老板反手就送去几十吨 吓死建国同志
70,保护       国徽
71,这句话太霸气了
72,注意保护国徽
73,1.5倍速刚刚好(✪▽✪)
74,帅
75,霸气！
76,威武！
77,带病毒增加了成本是否应该提提价呢？
78,国徽
79,保护
80,我爽哥厉害啊
81,爽哥刚
82,尊重自己
83,别用啊
84,爽哥霸气
85,说的太好了！
86,好！威武！
87,爽
88,笑死红红火火恍恍惚惚
89,耿直boy
90,来啊，刚正面
91,哈哈哈哈哈哈哈哈哈哈哈哈
92,太帅了！
93,哈哈哈哈哈哈哈
94,爽哥！
95,保护                               国辉
96,真香啊
97,说得好哈哈哈哈
98,必须有文明
99,中国是干出来的
100,疫情发生以来
