,comments
0,李梓萌女神。
1,普天同庆
2,西班牙流感？
3,米国“牛逼”
4,60万了
5,bgm应该放<今天是个好日子>不是吗？
6,现在累计确诊61万了
7,贷 款 上 班
8,60万了
9,弟弟行为
10,改成特朗普病毒233
11,BGM好评
12,建国在下一盘很大的棋
13,弹幕理智一点！！！美国的背景是世界卫生的悲剧
14,好什么好，搞不懂你们在想什么
15,帅
16,爽歪歪
17,哦豁
18,尊重科学
19,实锤
20,哦豁
21,“哈哈哈哈哈哈哈”
22,帅啊
23,在路上ing(doge)
24,very good
25,美国特朗普王八病毒
26,五十万了
27,世界南波万
28,太好了。
29,笑死
30,多行不义必自毙
31,说得棒
32,手动我是真的想笑
33,西班牙流感：？
34,实锤哈哈
35,好运来
36,现在33万了
37,驰名双标。
38,基本操作。
39,加油世界
40,666
41,到现在三万一天啦
42,日本加油
43,31
44,猪流感 鼠疫  
45,都三万多了
46,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
47,大快人心好
48,中国加油
49,美国加油
50,好好好！
51,？？？！！！！！
52,好
53,现在一天两万多
54,今天是个好日子
55,改名字就像改4G图标为5G
56,哎，.....                                                                  说好的共同体
57,建国：这都是我的功劳
58,觉得洋人很愚昧无知，永远不懂什么叫君无戏言，真觉得改个名字就能甩掉吗
59,吼吼
60,节节高升
61,haoriz
62,好日子
63,好日子
64,恭喜
65,还有更心惊的呢
66,现在已经3万例了
67,66666
68,两万了
69,笑梗不笑人，希望人们好起来
70,好好，说得好
71,吃屁
72,呵呵
73,怪不得美国队长的绝招是甩锅呢，有原型啊
74,16万了
75,干得漂亮
76,BGM好评
77,今天29号，已经超过12万了，川建国同志加油！
78,有点惨
79,29日 十二万
80,假发
81,恭喜恭喜
82,美国-10万了一天多两万
83,美国：不愧是世界第一
84,中国最棒
85,哈哈哈哈哈哈哈现在我们也要美国加油了哦
86,说的dei！
87,美国加油！
88,建国同志从不慌张
89,弹幕里面一堆说好的什么心态？？
90,女神
91,哈哈哈哈
92,！
93,大快人心
94,大快人心~！！！！！！
95,大快人心
96,加油
97,加油
98,西班牙流感是一场疫情的名称（再说那时候也没有世界卫生组织）引起西班牙疫情的是鼠疫（病毒名)
99,US virus 
100,川建国同志辛苦了
101,????
102,susu
103,尊重事实
104,特朗普：没人比我更藐视生命
105,哈哈，资本主义的腐朽
106,指数
107,今天已经6万多了
108,恭喜
109,霸气
110,排面
111,日本送了不也连个消息都没有吗？
112,有点人道好吗？
113,哈哈哈哈哈哈
114,tlp玩不起了
115,漂亮
116,建国同志加油
117,今天都超一万了
118,666
119,呵呵呵呵
