,comments
0,祖传对焦
1,也向志愿者致敬
2,汉街啊，平时超级热闹
3,江西排面！！！
4,摸摸头
5,消防员
6,别唱，要哭！
7,77、
8,英雄的人民，每使我潸然泪下
9,谢谢你们
10,会再见的
11,老精神小伙了
12,谢谢你们
13,未来加油
14,我这里放过行李
15,中华民族如此强大，幸福啊
16,我又哭着回来看了
17,叔的头发
18,珍重
19,鸣笛致意
20,这谁受得了啊
21,哈哈哈哈哈哈
22,谢谢你们 辛苦你们了
23,辛苦了
24,和我朋友好像
25,本来这次来的医务工作者就是女性多！以后不要老说女人不做事，谢谢！
26,西安市中医院！！！
27,车上混进了一个奇奇怪怪的人
28,谢谢
29,鸣笛回礼太棒了
30,再来武汉旅游吧
31,辛苦了
32,去蹦迪吧开心现在
33,平平安安珍重
34,小米打钱
35,泪目
36,蓝色的是蓝天救援队的
37,谢谢你们！！！！！！
38,江西老表
39,是你们救了武汉啊 爱你们
40,江西的骄傲
41,哈哈哈哈哈哈哈哈哈哈哈
42,这种共同奋战的感觉就像军训时候时间短暂但是却感情浓厚
43,原来多大年龄都是叫警察叔叔
44,撒贝宁照片安排了吗
45,都给爷三连！
46,逃离塔克夫
47,江西人感到特别骄傲！！！
48,泪目
49,-.-
50,泪目
51,泪目
52,兵哥哥，警察蜀黍，这辈分没法改了
53,辛苦了！
54,哈哈哈哈哈哈
55,哈哈哈哈哈哈哈哈哈
56,哈哈哈哈
57,侠之大者，为国为民
58,总在这里做指甲
59,泪目
60,这个鞠躬好帅
61,我爱你们，每一个人
62,别说拜拜
63,辛苦了
64,明年来旅游
65,江西欢迎大家来玩啊
66,啊啊阿卡林啊
67,难顶
68,谢谢你
69,这个酒店是同济医院附近的酒店，我疫情前住过
70,叔
71,辛苦了
72,口罩挺前卫啊
73,江西老表嘛
74,像中国奥运代表队
75,猛男落泪！
76,该剪头发了
77,所有人都辛苦了
78,这个很棒
79,辛苦了
80,泪目
81,江西人！
82,警察是护送去机场的。。。
83,蓝色的是消防吧。。。
84,半夜两点发出鸡叫
85,卧槽我半夜两点发出鸡叫
86,泪目
87,我是又哭又笑
88,武汉人感谢大家
89,经理口音是武汉本地人 武汉人永远对支援医疗队感激不尽
90,辛苦了
91,珍重
92,致敬
93,辛苦了
94,英雄的排面
95,QAQ
96,不好意思。我真没忍住
97,这头发太帅了哈哈哈哈
98,战友情
99,珍重
100,我一个男的居然也泪目了。
101,给纸巾啊哈哈哈！！！
102,辛苦了
103,不容易！
104,头发都剪了
105,消防员
106,哈哈哈哈哈哈哈哈哈哈哈哈哈哈
107,这口罩
108,向英雄致敬
109,欢迎回家
110,致敬，辛苦了，谢谢你们
111,laob！
112,啊啊江西老表
113,叔，辛苦了
114,可爱的呀
115,同款眼镜
116,致敬
117,我大江西来了
118,汉街，玉丰酒店。我之前就住隔壁小区
119,辛苦了
120,小米打钱
121,咋哭了
122,比心
123,幸苦了   所有人
124,辛苦了
125,你怎么在车上
126,幸苦了
127,辛苦了
128,希望你们下次来武汉，是一身轻松，不戴口罩，不穿白大褂的
129,辛苦你们了，谢谢
130,是你们带来了平安和幸福
131,我只是进沙子了
132,英雄不朽
133,蕾姆
134,这片土地！怎能不深爱
135,yaog
136,小姐姐太可爱了哈哈
137,前面他的战斗力是五万的你站住  差点笑喷了
138,哈哈哈，好可爱啊
139,可爱的天使们
