,comments
0,米国这就开始自爆了
1,fake news
2,竞争归竞争，人命都该重视，不要诅咒别人
3,《前》
4,小报哈哈哈哈
5,佩服佩服
6,2月27日
7,这个超级大国究竟怎么了
8,妙啊
9,精彩
10,自由的味道，香甜的空气，泛滥的枪支，漂亮国
11,啧啧
12,fake news!
13,哦哟
14,制定规则的人 主动破坏规则 这规则都是让其他人守的
15,美国加油
16,诶~找一个精准落点~嘿~
17,外交天团yyds！
18,...
19,妙啊
20,哦豁
21,mm
22,妹妹
23,这种人可以枪毙5分钟了
24,川建国冲嗷
25,妹梅不满
26,我在想狙击手什么时候能把川建国毙了
27,哇哦
28,美眉不满，(^0^)/
29,芜湖
30,人均股神
31,川普：假新闻，下一个
32,这不就是gta里面的暗杀任务炒股
33,+
34,美眉
35,CIA
36,砖家太多，不知道听谁的
37,阴间节目还行
38,哦豁
39,万万没想到
40,美：各管各，真好
41,自由重要，谈甚末肺炎
42,哈哈哈哈，美利坚各种妖魔鬼怪齐作妖~~~~
43,都是蛀虫
44,FREEEEEEDEN
45,哈哈哈
46,可悲
47,中国加油！美国继续！
48,发弹幕的都是鬼才
49,QAQ画质感人
50,别再说别人市场多纯粹了，政治和金融从来都是一体的
51,多家美眉
52,该背时
53,1918年西班牙大流感实际是来自美国，傻缺┐（─__─）┌
54,哪位同志录的音
55,这难道又是一位同志
56,看别人的咱们笑笑，但是我们要锻炼好我们的身体也要提高免疫力啊一定要！努力提升我们自己，居安思危！
57,内鬼啊！
58,说了你们也不会听~
59,发错的弹幕怎么撤回？
60,中国情报牛叉
61,美国特产
62,有内鬼
63,超 级 病 国
64,？
65,特朗普：假新闻，下一个。
66,每人一万美元的午餐会上说的
67,让资本再次伟大
68,fake news ，next
69,推特治国
70,狗咬主人了！！！
71,黑白照哈哈哈哈哈哈哈哈哈
72,美眉还就那个不满
73,fake news， next
74,草菅人命
75,自由美利坚
76,R.I.P
77,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
78,芜湖
79,倒霉的总是平民
80,人家想给亲爱的老婆买点礼物过情人节还不行嘛~
