,comments
0,又是你
1,1000万了
2,700W了
3,700多玩
4,252w考古
5,经典老番？
6,傻了
7,500w了
8,500w了
9,700万
10,fake  news
11,白色眼影
12,500万了
13,一万点打击
14,又是你
15,500w!!!
16,战术手风琴
17,战术摇头
18,记者：？？？？？
19,记者快疯了！后面的生无可恋
20,467万了
21,佩洛西佩姨的表情哈哈哈哈哈哈哈
22,400万
23,你是个糟糕的记者
24,450w+
25,川皇震怒
26,395W
27,快四百万了 考一下古
28,300万了
29,300W了
30,273.7W
31,264w了
32,220万了
33,建国辛苦了
34,记者:我裂开了
35,200w
36,200w了
37,190万了
38,一百几十万了
39,168万了
40,记者：？？？wdnmd
41,140万了
42,167万考古
43,后面换人了
44,160w
45,他急了
46,154W
47,这白眼圈和罗志祥形成了鲜明的对比
48,我们懂你！
49,这家伙下台 估计会暴尸荒野
50,140万
51,140万
52,150w了
53,后边在憋笑
54,140万
55,名场面
56,140
57,记者：莫名躺枪
58,130了...
59,138万考古
60,134w
61,terrible  reporter
62,记者：啊这
63,背景音乐是什么
64,134万
65,经典偷换概念
66,战术耸肩
67,130W
68,how old are you怎么老是你
69,记者：我…… 记者心想：啥？
70,记者：我TM
71,记者：？？？？？
72,125w考古
73,120万
74,120万
75,你可放屁
76,120万了
77,100w了
78,How old are you?
79,他急了
80,？？？？
81,117w了，建国好样的
82,小盆友你是不是有很多问号？
83,120了
84,记者：？
85,川普是不是知道什么？？
86,他是不是知道什么？？？？
87,老美已累计1162164人了
88,一千万考古
89,112万时代报道
90,哈哈哈哈哈哈
91,112万了
92,感染110万，死65000前来考古
93,100万了
94,106万
95,106
96,100w
97,记者：小朋友你是否有很多问号
98,过百万了
99,103w考古
100,一脸惊讶
101,？？？？？？？？？
102,104万了
103,建国，103w了
104,破100万了
105,100万了
106,100万了
107,100万了
108,他真的好委屈，哈哈哈哈哈哈
109,100w了哦
110,100万
111,逗比治国
112,96万
113,记着惊了！
114,97w
115,哈哈哈哈后面的人
116,100万了！
117,100W
118,我爱美国
119,正片开始
120,89万了
121,4.25日92w
122,92万
123,现在已经40000了
124,85w了
125,小记者你是否有很多问号?
126,泪目
127,老对手了
128,记者：？？？
129,没人比我更懂病毒
130,80万
131,80w+考古
132,83万了
133,85w了
134,80w了
135,一脸懵逼.jpg
136,82w
137,川普：这肯定假新闻
138,85万
139,75wl
140,快八十万了
141,75万，加油很快就要到百万大军！
142,保护川建国同志
143,75万
144,70万了
145,76万
146,吾心吾行澄如明镜，所作所为皆为正义！
147,72万了
148,小朋友你是否有很多问号
149,72w
150,保护我方川建国！！！！
151,傲娇建国
152,70万了
153,70w 考古
154,建国同志加油
155,70万
156,记者你要反抗
157,康康康康康康
158,彼得：我害怕极了
159,记者：你可真是个小机灵鬼。。。
160,65万考古
161,很无奈
162,4.17 67万
163,fake news
164,啊哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
165,一转攻势
166,63万
167,注意后面的人
168,？？？？？？
169,不愧是你
170,听到BGM就吐了
171,记者兄弟
172,同志辛苦了
173,63w了
174,63w了
175,100万了
176,记者:我傻了！
177,胸口红领进
178,？？？
179,70w了
180,保护川川保护川川保护川川保护川川保护川川保护川川保护川川保护川川保护川川
181,建国同志
182,60w了
183,61万
184,记者:我可以抽他吗？
185,想打人
186,60w来啦
187,你不懂我
188,4.15， 60万了，前来考古
189,记者一脸惊愕，整个呆住
190,58万了
191,记者被惊讶到了
192,记者有点帅哦
193,他只想问他要说些什么
194,他急了他急了他急了他急了他急了
195,记者表示一脸懵逼
196,3亿考古
197,61万了
198,61万了
199,哈哈哈哈哈哈哈哈哈
200,记者傻了
201,60万了
202,61万考古
203,58万前来考古
204,50W
205,他怂了。
206,考古
207,川宝58w了
208,那天被暗杀就好笑了
209,还死鸭子嘴硬
210,委屈巴巴
211,58万了 4.14报道~
212,川普秀
213,264万
214,兄弟们把保护刷起来
215,保护
216,后面那位的表情哈哈哈
217,只有我是对的
218,我不听我不听你们都是错的
219,200万考古
220,惊呆了
221,后面得表情笑死我了
222,都有黑眼圈了
223,又是你
224,你TM再问下去我川建国的间谍身份就要暴露了
225,56w前来
226,57万了！！！
227,记者：我当时害怕极了
228,标准一脸懵逼
229,哈哈
230,川建国同志，您辛苦了
231,fake news
232,fake
233,摇头
234,70w了
235,万恶之源
236,55W了
237,吉姆
238,55w六
239,？？？
240,普：假记者，下一个
241,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
242,额额额额额
243,老CNN了
244,他急了他急了他急了
245,53w
246,然后50W了，如你所愿
247,262万了！！
248,兰花指警告！是你惹恼我了
249,cnn
250,？？？？？？？？？？？？？我懵？？？？？？？
251,？？？？
252,事实还不让说了？喜欢自欺欺人
253,哦亲爱的你怎么能如此对我
254,哈哈哈哈哈哈哈哈哈哈
255,JIM
256,53万了
257,CNN的
258,53万考古
259,哈哈哈哈哈哈哈
260,泪目
261,泪目
262,fake news
263,你不行就是不行
264,53万了
265,记者：我从未见过厚颜无耻之人！！！
266,红领巾说明了一切
267,50W了
268,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈xswl
269,？？？？？
270,无能狂怒hhhhh
271,表情逐渐……
272,记者:我想骂人！
273,哈哈哈哈哈哈哈哈
274,真棒棒
275,鸵鸟精神？
276,川哥牛逼
277,傲娇建国
278,记者被吓到了
279,50w考古
280,彼得！！！
281,53W了
282,泪目
283,233333
284,又是你
285,五十万合影
286,恼羞成怒
287,？？？？？？？？？？？？
288,？？？？？？？
289,100w了
290,高能
291,？？？？？？？
292,Is you again
293,看后面那人表情
294,我笑了
295,50w了
296,？
297,？？？？？？
298,50W了
