,comments
0,决不能放松警惕
1,同样的地方栽倒2次
2,让你们关国门从3月初喊道3月底，怪的了谁
3,美颜。。。
4,对的
5,加油
6,加油
7,加油！！
8,加油！
9,中国加油
10,加油
11,加油
12,就地解决！
13,闭环
14,世界加油！
15,加油
16,加油
17,加油
18,加油啊
19,加油！
20,加油中国
21,中国加油
22,万众一心
23,居然可以发弹幕
24,加油
25,中国加油!!!
26,希望疫情快快结束 救命
27,加油！
28,加油
29,加油
30,加油！
31,加油！
32,加油！
33,加油
34,中国加油
35,加油！
36,加油
37,加油！！
38,中国加油
39,加油！
40,祖国加油！！！
41,加油
42,加油
43,，，，？？？
44,？
45,加油
46,戴口罩上课的感觉是真的不好，加油啊
47,加油！
48,愿逝者安息，愿生者奋发，愿山河无恙，愿祖国繁荣昌盛
49,加油
50,加油
51,加油！！！！！！！！！！！？？？
52,震惊
53,加油
54,泪目
55,加油
56,闭环控制
57,yao kao
58,0
59,加油
60,加油
61,愿逝者安息，愿生者奋发，愿祖国昌盛
62,加油中国
63,默哀。。谢谢英雄们
64,加油加油加油一切都会好起来的
65,不想看这种东西
66,今天是个灰色纪念日！中国加油！
67,加油
68,今天所有的一切都停了。。
69,中国加油
70,都不隔离吗？
71,中国始终是大国，人多力量大
72,。
73,？
74,我们可以！
75,加油
76,中国加油，武汉加油
77,？
78,记本本了！加油！中国！
79,加油
80,开始反输入了
81,我都打好招呼了
82,就不能把那来中国的航班取消了吗？
83,我们县据说有
84,所有回国的真的该隔离一段时间
85,加油 奥利给！
86,bgm赞
87,偷渡呢
88,音乐卡得刚刚好太厉害了
89,加油加油！
90,加油
91,加油
92,怎么上海那个外国人就没有集中隔离呢？？？？
93,佛山这边有十几例了
94,办他
95,加油
96,加油
97,真就特洛伊飞机呗
98,加油！！！！！
99,加油！！！！！！！！！！！！
100,严防死守
101,进来直接隔离
102,我们广东好多这种
103,那个视频打了招呼就能回家了
104,色彩有问题，真黄种人
105,加油啊！！
106,加油我们伟大的祖国
107,真是不容易，实在是辛苦啊
108,严防死守!
109,加油
110,人也要自觉，回来之后主动报备
111,我只爱祖国！
112,祖国万岁！
113,祖国加油！
114,加油
115,复盘
116,现在最重要的就是入境人员了，大家也千万不要放松警惕！加油！
117,其他国家又有的抄了，看他们造化
118,加油
119,全闭环检测精度高于半闭环检测，
120,加油！
121,相信中央！
122,地球加油
123,加油
124,加油，相互理解，坚持，都会好的
125,加油
126,中国加油，武汉加油
127,加油
128,加油！
129,中国加油
130,加油
131,加油啊啊啊啊
132,加油啊
133,加油
134,加油
135,加油
136,怎么防 都不集中隔离还咋防
137,加油！
138,加油
139,加油
140,加油
141,加油
142,做的好
143,加油
144,第一眼看成了输入 性病病例，吓我一大跳
145,加油
146,再不关闭航班就等着完蛋
147,上海那个英国人能居家隔离社区，你们工作人员对的起全国众多防疫人员吗
148,加油!
149,严格控制
150,福建坚持了好久结果境外一直增啊！！
151,加油
152,！加油
153,中国加油
154,加油
155,这个bgm太好听了
156,国外回来的一律就地隔离14天    
157,不能放松
158,联防联控
159,加油
160,中央统一管理就地隔离，不要外地放走
161,加油
162,是啊
163,外国女婿
164,加油加油
165,封闭全境，闭关自守把
166,加油
167,加油，奥利给
168,加油
169,直接封边境就好了吗？求答
170,加油
171,入境就得隔离不许他们随意乱跑
172,别把这件事当成口号一定要严格执行
173,别回来了，还不听话
174,⊙﹏⊙∥
175,～～
176,1
177,实事求是，中国越来越做到了
178,组建隔离区
179,加油
180,棒
181,中国加油
182,……
183,为什么不封关
184,第一第一
185,福建脏话= =
186,祖国建设你不在
187, …
188,兰州太可怜了
189,点赞
190,那他们还那么了不起
191,支持
192,建设祖国你不行，千里送毒第一名？！
193,1 
194,加油！
195,！
196,严防输入
197,wow
198,嗯嗯
199,人类加油
200,上海洋女婿很高贵，当地官员伺候的到位
201,没有隔离吗？
202,加油
203,好样的
204,啥.
