,comments
0,900万了
1,建国同志这几句话说得好没底气啊
2,？？？？？？？？？？？？
3,700万!了
4,700万了
5,？？？？？？？
6,遗    照
7,400w了
8,500万了
9,400多万了
10,400w了
11,你还有本事说
12,我的天，黄字真搞笑
13,吼吼，被发现了，话说你早就限制欧洲了吧
14,这善意的谎言被拆穿了呦
15,他们如果做了，呵
16,哦~是吗，没事，马上了
17,400w
18,CHINA
19,300万警告
20,保护
21,保护
22,400w考古
23,满  嘴  屁  话
24,300万见证
25,300万了！！
26,322万了
27,哈哈哈
28,打脸现场
29,笑死，尽说胡话
30,保护
31,保护
32,？
33,比烂？
34,注意掩护
35,阿门
36,呵呵
37,我们相信你（
38,这打脸不香吗
39,咦惹
40,怀疑国外没有手机
41,保护保护
42,hhhhhhhhh
43,保护
44,182万了
45,100W
46,170w了
47,川建国加油
48,十句话有十一句假话
49,160万了
50,中 门 对 狙
51,句句打脸哈哈哈哈哈哈哈哈哈哈
52,148万了
53,148w来考古
54,没戴红领巾差评
55,川建国同志暴露了
56,100万达成
57,特朗普，你左边有鬼
58,帮你回到过去，你先辞职
59,特朗普，你先辞职，我帮你时空转换回到过去
60,比谁巴掌多
61,保护
62,130万谢谢
63,130多万咯
64,他的鼻子会变的很长很长！！！！！
65,他的鼻子会变的很长很长！！！！！
66,你一直在针对我，你都没停过
67,130w
68,四月是你的谎言
69,130w啦！
70,美国解体讲话
71,解体
72,？？？？？？？
73,泪目
74,现在在风口浪尖 对不起  我要潜伏了 不能带红领巾了
75,已经一亿了
76,五月份已经一百一十多万了
77,110万了
78,一百多万了
79,110万了
80,川建国
81,100w了
82,一百万了
83,2020年4月30号再看这个，我都替他脸红
84,你做的非常好啊！加油！
85,句句打脸，做个人吧！
86,103w了兄弟
87,开头打脸
88,100w报道
89,没有一句话是真的。
90,100万了
91,美国人是真的可怜
92,100万
93,一百万了
94,九十多万了
95,92万了4月25
96,川建国同志辛苦了
97,80万了
98,？？
99,四月是川普的谎言
100,什么叫唯一一个？苏联也是啊！
101,音容笑颜
102,说一句杀一句（没有人比我更懂言论自由）
103,哈哈哈嗝
104,赶英超美感觉就要靠川建国了
105,75万。。
106,甩锅开始
107,4月20日70万
108,欧洲多少个国家多少人，你自己一个国家多少人
109,?
110,哈哈哈特朗普大型打脸现场
111,这个是贾川普石锤了 他没带红领巾
112,73万了
113,哈哈哈 缺德
114,？？？？
115,特忽悠普
116,312万了
117,四月是你的谎言
118,专业打脸
119,应该说是最不全面，最不积极的抗疫运动
120,太狠了吧，句句打脸啊
121,72w了
122,对王之王再世
123,胡说八道
124,川建国同志辛苦了
125,75w了
126,玩梗归玩梗，还是希望美国能赶紧度过难关
127,99W
128,输入?  ?  ?请问现在谁还去美国啊
129,保护？！
130,公开处刑
131,逐句怼啊
132,老杠精了
133,?
134,?????????
135,梅开三度
136,特没谱哈哈哈
137,这么能报数字，为何不报1000万？
138,都已经16万了
139,70万了美帝
140,保护保护
141,额
142,？
143,。。。
144,川宝宝
145,160w了
146,不忘初心，牢记使命，砥砺前行！川建国同志为实现中华民族的伟大复兴做出巨大贡献！
147,70w
148,专业翻译团队
149,笑死我了
150,泪目
151,提到重点：China 
152,73万
153,73W了已经
154,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
155,70万了
156,73万了
157,？？？？
158,73万了
159,73w了兄地
160,中西翻译
161,防止病毒外传好样的
162,一个国家比一个欧洲少吗
163,您能说一句真话吗？
164,老弟，73万了
165,72w
166,建国同志，不要忘记组织交给你的任务
167,没一句真话
168,公  开  处  刑
169,破70万了
170,川普同志
171,建国你瘦了
172,200万了
173,73万了
174,句句经典
175,汗颜
176,哈哈，天天和记者吵来吵去
177,哈哈哈哈哈哈哈
178,可能非洲那边的同盟国？
179,70万了
180,保护
181,72w了
182,要是想你们一样，那得老棒了（反话）
183,我听的都玄乎
184,70万了。。。
185,一国比好几洲，哪止一洲
186,满嘴跑火车
187,建国同志你做的很好
188,特朗普一世
189,妙啊
190,70万了
191,哈哈哈哈
192,传统技能释放
193,70w了
194,保护世界上最好的建国同志
195,抬走
196,建国同志辛苦了
197,70w
198,能不能别挡字幕，弹幕礼仪呢
199,大家把害怕打在公屏上
200,黑白好评
201,第一大国
202,第一大国
203,红领巾都不带？？？
204,你的脸疼不疼
205,应该把他关起来是真的
206,傻子又来了
207,的确不是一样的措施，欧盟优秀的多。
208,70万了
209,71万了
210,70万了哥
211,一国比一洲
212,。为什么是《舌尖上的中国》bgm
213,好残忍啊(手动滑稽)
214,一个满嘴谎言的”“
215,70万了
216,70万了已经
217,建国同志虽然不是自己人，但是他却为了我们的利益
218,泪目
219,川建国
220,70w了
221,哈哈哈 笑看小丑
222,hhhhc
223,同志加油 不要暴露
224,保护
225,优秀，哈哈哈哈哈哈哈
226,65W了
227,保护敌方川建国
228,特朗普：我是个戏子
229,特没普
230,保护我方川建国
231,这个好评噢～
232,红领巾呢
233,不忘初心，牢记使命，砥砺前行！川建国同志为实现中华民族的伟大复兴做出巨大贡献！
234,加油，我看好你哦
235,一句一打
236,65万了已经
237,挺住！阿美还得靠你！
