,comments
0,辛苦了，致敬！
1,泪目
2,我们挺过去了！！
3,致敬
4,致敬
5,叔，我把币都头给你了
6,泪目了，九十多岁的老爷爷是多么可爱的饿，深怕传染给医护者
7,感谢！
8,太不容易了
9,致敬致敬
10,致敬
11,致敬
12,这是猛男才有熊
13,帅帅帅
14,真的，上海在干系
15,瑞金医院来的
16,致敬！
17,致敬
18,致敬
19,叔瘦了好多 口罩都能遮住脸了
20,致敬
21,致敬
22,致敬
23,谢谢你
24,泪目
25,致敬
26,看到这些 我真的觉得方方该死
27,致敬
28,帅气的小姐姐
29,致敬
30,辛苦了
31,这个角度叔的头豪大大哈哈哈
32,我叔辛苦了！
33,致敬大体老师
34,武汉加油
35,致敬
36,致敬
37,我也是一名遗体捐献者
38,叔你怎么走在路中间
39,这个口罩居然罩了叔的整张脸？
40,感谢大体老师
41,致敬
42,致敬
43,致敬致敬
44,辛苦了辛苦了
45,一定会去武汉旅游
46,正压保护福啊
47,致敬
48,哈哈哈杰洛齐贝林的笑死
49,这个哥哥我可以~~我喜欢他
50,致敬
51,致敬
52,善良的人民
53,中国队
54,致敬
55,致敬
56,泪目
57,致敬
58,大家是一家人
59,猛男必备
60,致敬
61,小姐姐们好帅！
62,致敬大体老师！
63,辛苦了
64,致敬
65,泪目！！哭了
66,这里居然是我住的地方附近 关谷民族大道
67,感谢感谢
68,这些医护和那些病人，都是坚强勇敢的中国人！
69,向武汉人民致敬 向医护人员致敬 向解剖小哥哥致敬！
70,辛苦了！！！
71,致敬大体老师
72,叔
73,阿弥陀佛
74,别哭
75,mua
76,致敬大体老师！
77,致敬
78,致敬
79,可爱！
80,致敬
81,致敬！
82,大家都是中国队！！！
83,致敬
84,虽然致敬逆行者，但叔你这是违反交通安全的
85,向大体老师致敬
86,致敬
87,这是胜利了才有的感受
88,从医学院开始都叫大体老师
89,叔！你头都小了！巴掌脸了！！！
90,就在光谷
91,致敬所有大体老师
92,感谢！都辛苦了
93,剪头发了 姐姐一定是个美人
94,知道中国为什么会胜利了吗？
95,泪目
96,辛苦了
97,致敬
98,致敬
99,向大体老师致敬！
100,谢谢谢谢
101,致敬
102,向大体老师致敬
103,致敬
104,辛苦了
105,辛苦了
106,致敬
107,光谷广场
108,可爱
109,都把头发剪了
110,致敬！
111,致敬大体老师
112,致敬！
113,辛苦了
114,致敬
115,辛苦了
116,辛苦了
117,感谢
118,真·猛男
119,感谢
120,致敬
121,致敬
122,致敬大体老师
123,致敬
124,小熊辛苦了
125,瑞金医院的吧，
126,辛苦啦
127,上海去了8批还是9批好像
128,辛苦了
129,辛苦了
130,武汉加油
131,致敬！
132,谢谢大体老师
133,加油啊
134,帅！
135,小姐姐现在也很好看
136,辛苦了
137,辛苦了
138,致敬
139,致敬
140,经历了一次艰难的战斗全国人民更团结了
141,致敬
142,致敬
143,摘了口罩特别帅
144,致敬
145,辛苦了！！！！
146,致敬
147,辛苦了
148,哇，这个大家都是中国队有被打到
149,哇，这个大体老师是真的感动到我了！
150,武汉 一个英雄的城市
151,上海是去最多的医疗队
152,致敬
153,致敬
154,泪目
155,向大体老师致敬
156,致敬
157,民族大道纽宾凯对面
158,致敬
159,这个酒店我经常住，环境很好
160,致敬！
161,就是生物实验室的四级防护
162,这种东西看不得。看多了眼睛里面容易进地球。
163,致敬英雄
164,致敬
165,大家辛苦了
166,ICU的医疗人员真的都很强
167,大体老师敬佩他们
168,致敬
169,致敬
170,辛苦了
171,致敬 致敬！
172,海绵宝宝！！！
173,泪目
174,致敬
175,都变短发了……
176,可爱
177,致敬
178,加油
179,辛苦了
180,致敬！
181,谢谢捐献者们
182,以后叫鄂
183,都是可爱的人
184,眼睛红了
185,太强了吧
186,泪目
187,致敬英雄
188,眼里泛泪光
189,致敬！
190,致敬！
191,叔！
192,谢谢你们
193,致敬
194,泪目
195,真的很谢谢你们
196,眼睛进砖头了有点难受
197,英雄们，春风已至，一切都是你们曾希望的样子，请一路走好！
198,大家都是中国队！
199,武汉加油
200,武汉加油！中国加油！世界加油！
201,叔瘦了好多
202,致敬辛苦了这么多天的医疗队！加油！
203,感谢
204,武汉加油！！
205,致敬致敬
206,致敬
207,致敬
208,致敬
209,致敬
210,致敬
211,你好
212,致敬大体老师
213,辛苦了
214,致敬
215,向大体老师致敬，感谢你们
216,致敬
217,致敬
218,哭了
219,辛苦了
220,好可爱
221,来顿好的！
222,致敬
223,感谢大体老师
224,全是nike包
225,QAQ
226,致敬
227,好可爱QAQ
228,你也是英雄！致敬
229,泪目
230,致敬
231,致敬
232,向大体老师致敬
233,致敬
234,致敬
235,加油
236,谢谢你们
237,致敬！
238,致敬，致敬
239,致敬
240,向大体老师致敬！
241,辛苦了
242,致敬大体老师
243,泪目
244,致敬
245,泪目
246,致敬
247,感谢大体老师
248,致敬！
249,辛苦了辛苦了辛苦了
250,较小的身体，大大的能量
251,感觉叔年轻了不少呀
252,大体。
253,致敬医生们
254,致敬
255,向大体老师致敬！
256,致敬
257,感谢
258,呼
259,哭了
260,泪目了
261,致敬
262,致敬
263,铁骑好帅
264,致敬
265,致敬
266,i了 这就是天使吗
267,猛男必备
268,平安熊 哈哈哈
269,致敬
270,辛苦了
271,致敬
272,致敬
273,致敬
274,加油
275,感谢捐赠！！！感谢你们！！感谢工作人员！！
276,一生平安！！！你们值得！！！
277,真猛男
278,幸苦了！！！
279,熟悉的光谷
280,致敬
281,辛苦了
282,感恩
283,辛苦了
284,致敬
285,致敬
286,致敬
287,加油
288,自豪我们国家做到生命第一 人民第一
289,致敬
290,致敬，感谢，辛苦
291,向大体老师致敬
292,辛苦，加油
293,辛苦你们了
294,致敬大体老师
295,致敬，辛苦
296,辛苦了
297,致敬，辛苦
298,武汉加油
299,致敬大体老师
300,你们也辛苦啦小姐姐
301,致敬！
302,武汉加油
303,有没有志愿过世后捐献遗体的，不知道有这个想法的多不多
304,好可爱
305,加油
306,致敬大体老师
307,致敬！！
308,致敬
309,致敬
310,致敬
311,这个酒店我住过，有点拥挤，环境可以
312,帅死了
313,致敬
314,辛苦啦！幸亏有你们！
315,致敬
316,致敬
317,致敬
318,辛苦了
319,致敬
320,致敬
321,应该是diadia吧
322,致敬
323,幸苦了
324,帅气
325,致敬
326,致敬英雄
327,致敬
328,致敬
329,辛苦了
330,感谢每一位大体老师
331,致敬
332,辛苦了
333,加油
334,谢谢
335,bgm
336,致敬！
337,人民万岁
338,微笑着走向战场……这就是人民。
339,真的谢谢英雄们
340,叔瘦了好多，真的
341,致敬
342,致敬
343,谢谢你们
344,伟大的职业啊
345,大家都是中国队
346,致敬
347,谢谢你们！患难见真情！人之初，性本善！
348,大家辛苦啦
349,感恩
350,辛苦了
351,辛苦了
352,辛苦了
353,辛苦了
354,致敬
355,致敬
356,真正的猛男
357,辅警
358,辅警
359,辅警
360,加油
361,辅警
362,辅警
363,辅警
364,辅警
365,致敬武汉人民
366,辅警
367,英雄
368,致敬
369,武汉加油
370,致敬英雄
371,加油武汉
372,难受
373,致敬大体老师
374,辛苦了
375,感动！
376,致敬
377,致敬！
378,泪目
379,辛苦了
380,泪目
