,comments
0,下雪？
1,骞哥
2,啊啊啊啊啊啊是你啊
3,好多头屑(滑稽)
4,骁骞的小奶音太有辨识度了～
5,外表一看就是男性好吗，问男女的故意捣什么乱啊
6,来看看
7,骞哥
8,？
9,Bridge port区，我去过几遍，市区旁边，租金便宜
10,塞哥是谁
11,奶音猛男啊
12,湖景谷
13,下雪了
14,太好笑了
15,一定要小心啊！！！
16,世界加油
17,计划经济
18,大佬
19,战地记者
20,声音经过处理了吧
21,最牛记者
22,是你
23,好喜欢这个声音！！
24,这个老板不是白人所以接受了你的采访
25,这个老板不是白人所以接受了你的采访。
26,心疼骁骞
27,不是口罩吧，可能只因为是亚裔
28,奶音猛男
29,一听声音就知道是骁骞
30,自由美利坚
31,我去
32,这些放一两周就极限了，老美买就是贪方便
33,这是直播？
34,声音
35,不想看就滚
36,请做好防护，保重自己！
37,激动的蔬菜？
38,人民有闯红灯的自由（狗头）
39,狗 我谢谢你
40,郑恺?
41,和我们喜欢买速冻饺子一样
42,下雪穿短袖
43,注意安全啊
44,毒贩那期绝了
45,注意健康
46,世界加油
47, 看 门 狗
48,菜放不久啊，鸡蛋那些相对来说会放的就一点
49,美国垃圾
50,大佬，又是你
51,主意安全
52,湖什么区？
53,反向操作np
54,America Freedom
55,这个镇子不错啊
56,激动的菜
57,天灭美国
58,美国终究会因为无知付出代价
59,战地记者
60,注意安全
61,这真的不错了，勤洗手戴口罩
62,弹幕礼仪哦～
63,去采访巴西毒枭的那个男人?
64,声音有点像荷兰弟
65,他好像是那个去巴西毒贩的技术记者
66,限购这个东西不实际 打不了出门再回来也是照样买很多
67,注意安全
68,湖景村
69,这声音不像爷们
70,克拉克上将？
71,穿短袖厉害啊
72,这就是他们的主食
73,老加菲猫了
74,我听出来了你是谁！！！
75,鞠躬
76,加油
77,我要黄油啊
78,狗：你不怕感染我还怕呢！！
79,所以他们自己还不戴吗
80,狗哥要小心啊
81,注意安全
82,耳朵冻红了
83,为什么不听建国的话？想搞分裂？
84,这不自由
85,哇 猛男
86,百加得
87,我就说嘛怎么这么熟悉
88,去巴西的那位？
89,同志，辛苦了
90,德里克 罗斯
91,可以，美国队长终于行动了
92,激动的蔬菜
93,干巴爹
94,他们不是不怕吗封城干啥呢
95,小女人?
96,茶包王子
97,美国人喜欢超前消费，没有存款
98,跟咱们的面粉一样的
99,担心了想戴口罩，也没有口罩可以买
100,一口一个阿三？
101,因为不会煮啊 我姐在那边说这几天公寓的火警警报一直响 因为好多邻居不会煮饭给烧糊了
102,记者小哥也要注意安全
103,小哥哥注意安全
104,注意安全up
105,女孩子的声音
106,解腻
107,原来如此
108,？？？大佬好
109,加油！加油加油
110,好娘啊
111,这口罩在美国带不安全
112,lakeview?
113,真实2333
114,狼灭小哥
115,辛苦了
116,中国城附近
117,印巴同文同种
118,印度
119,印巴
120,印度人吧
121,是你！
122,闯红灯了
123,万宝路
124,战地记者
125,←这个东西就有点落后了吧
126,前面那个你耶你m个头呢，男女分不出来建议去看眼科耳科
127,美国人天真的以为生病的都会去戴口罩所以自己都不戴
128,他们普遍认为生病的人才戴口罩
129,哈哈哈哈哈哈
130,美国人的观念认为戴口罩就是患病，他们认为没有患病就不要带口罩
131,保护好自己呀
132,注意安全注意安全
133,主干道就这样？
134,哈哈哈哈 懒死
135,这声音真的越听越苏怎么回事
136,这声音太少年了
137,小哥的音色和荷兰弟的音色很像
138,美国生产力那么发达，建议捐点蝙蝠，免得口罩过剩
139,保护好自己啊
140,中性音诶
141,他们是不是会怀疑戴口罩的人携带病毒
142,湖景高中是不是在附近啊
143,哥带个护目镜吧
144,他们好像觉得得病才戴口罩
145,可以伪音啊这声音，，跑题了对不起
146,有一说一，美国的外卖慢到怀疑人生
147,牛奶不是卖不出都倒掉了嘛
148,雪上加霜
149,这老哥是真的硬核/采访毒贩/战地记者
150,注意安全昂硬核老哥
151,是那个采访毒贩的硬核记者！！！
152,注意安全啊
153,用最温柔的话干最猛的事
154,平安平安
155,前面那个讨论是0还是1的有病吗？无不无聊
156,加油。别耽误了
157,哥哥保护好自己呀
158,现在太阳在我们这边
159,哇，声音好嫩
160,难买，贵，意识形态不同，政府部门的建议，还有很多各方面的因素吧
161,芝华士
162,燃烧的蔬菜
163,英语棒
164,他们的物价好便宜呀 
165,注意安全
166,记者太危险了
167,老战地记者了
168,保护自己
169,注意安全
170,注意安全
171,注意安全
172,保护好自己，小哥哥！！！
173,我都怀疑他们到底知不知道这是呼吸道疾病，是飞沫传播啊
174,激动的蔬菜？给爷整笑了。
175,不带口罩是他们没有，他们也想带呀。
176,口音是河南的？
177,湖景谷
178,全食超市
179,小哥离远一点
180,注意防护，平安回家
181,注意防护安全
182,美国加油！
183,下雪跑步不怕滑倒吗
184,果然老美就喜欢吖高热量食物
185,听，狗哭的声音
186,艾登
187,加菲猫这些都喜欢吃
188,骞
189,都不戴口罩
190,要注意安全啊
191,戴着口罩对方会以为你很有可能患病
192,辛苦了
193,加油
194,第五人格湖景村。
195,！，！我家也叫湖景区哈哈哈哈
196,只有在中国才叫闯
197,加油加油
198,你为什么在外面
199,贫民窟小哥？？
200,声音好好听
201,下雪了
202,小哥猛男！
203,其实你也是行人呀
204,大佬
205,？？？？？？
206,注意安全注意安全
207,这个不是进巴西毒贩窝的那个记者小哥吗？？注意安全呀!!!!
208,注意安全！
