,comments
0,不愧是你
1,1000万了
2,委屈你了，建国
3,173万了
4,圣诞节前打到鸭绿江
5,5.23前来考古
6,向建国同志致敬！！
7,四月是你的谎言
8,5.19前来考古
9,141万了
10,鲜艳的红领巾
11,138了。。。
12,你被解雇了
13,5月10日留言：建国同志稳住！
14,5月9日了
15,25万前来考古
16,复活哈哈哈哈哈哈哈哈哈哈哈哈
17,为啥他们不戴口罩
18,纽约准备要颁布独立宣言了吧
19,5月4号美国100万
20,4月是你的谎言
21,110w
22,104W了
23,104W了
24,富人的傲慢嘴脸
25,红领巾更鲜艳了！
26,《四月是你的谎言》特朗普。
27,《四月是你的谎言》。
28,因此达成就                      100w
29,没人比我更了解复工
30,四月是你的谎言
31,四月是你的谎言
32,？？？？？
33,4.27
34,4.26，93w
35,425
36,真香
37,中国复兴最强补刀：川建国
38,建国同志加油
39,老卧底了
40,四月是你的谎言
41,今天18
42,建国同志辛苦了
43,福尔摩斯是英国的
44,很好很好已经60万了
45,老建国了
46,复工啊
47,没做复活节复工病毒复工
48,建国同志辛苦了
49,加油
50,hope 哈哈哈哈
51,我比谁都更懂疫情
52,今天4月13日，纪念一下，嘿嘿嘿
53,今天13号
54,13号了
55,4.12来考古了
56,4.13，米确诊破50w
57,今天13号了
58,今天4月12号了
59,11号了
60,4.11来了
61,今天4月11号，准备好了吗，要复工咯~
62,红领巾
63,这音乐就很有色彩
64,今天是4月10号
65,还剩俩天，大家拭目以待吧__4-10号
66,我想让这个国家穷人死一部分没啥事
67,小川冲啊
68,还好哈哈哈
69,'哈哈哈哈哈哈哈哈
70,哈哈哈哈哈哈
71,真就复活了呗
72,四月是你的谎言
73,嘴强王者
74,加油
75,？？？？？？？
76,复活节什么时候
77,四月是你的谎言 一开口就知道建国同志老二次元了
78,四月是你的谎言 一开口就知道建国同志老二次元了
79,川建国！
80,rip
81,正解
82,哈哈哈
83,加油
84,你想
85,建国同志加油
86,福尔摩斯都看不下去了
87,四月是你的谎言
88,白宫卧藏，惟愿建国安康
89,保护我方建国
90,？？？？
91,川建国同志，加油
92,开学了
93,哈哈哈哈哈哈
94,建国同志辛苦了
95,屁都不给吃
96,四月是你的谎言
97,川普同志加油
98,想法挺好的，所以继续想吧
