,comments
0,海甜甜
1,加油
2,湖北加油!!
3,人类命运共同体
4,加油
5,从来没有偏见
6,湖北加油
7,反对歧视
8,我们小区就回来湖北的，不敢出门了
9,胡辣汤为热干面加油
10,加油
11,加油
12,加油
13,加油
14,加油
15,加油加油
16,我能理解普通人， 大家更多的是对疫情的恐惧和小心
17,买买买
18,湖北加油啊
19,湖北加油！
20,人性
21,武汉，加油！！！！
22,湖北加油，中国加油
23,唉
24,不敢买
25,对河南人的歧视和偏见啥时候能过去呢
26,湖北加油！
27,中国加油 尽量买湖北买中国
28,中国一家人
29,我的室友直接出去住
30,热干面，干！
31,戴的假发我知道
32,荆州人冒泡
33,我没钱咋办？
34,加油
35,湖北。武汉加油！不要带歧视。
36,@美国
37,湖北加油
38,湖北加油，武汉加油
39,支持支持，说得好
40,黄冈人表示感谢啊啊啊大家都好温柔
41,身为湖北人好感动啊啊啊
42,湖北加油
43,干热面加油
44,快来看又造谣啦
45,谣言
46,热干面加油！
47,湖北加油
48,武汉加油！
49,湖北加油！
50,中国加油！
51,我湖北的
52,加油
53,加油
54,那个。没钱咋办，
55,哈哈
56,额，对
57,没钱了
58,奥利给
59,湖北加油！
60,湖北小龙虾超好吃的
61,正在吃热干面，好好吃啊，
62,加油！！！
63,对于有些企业点名不要湖北籍的企业应该要警告
64,湖北加油
65,中国人民是一家！
66,支持！
67,美国？？？
68,好味道 。。。
69,不歧视！无偏见！
70,能去北京么
71,湖北加油
72,全国一家亲
73,加油
74,加油！
75,我今天刚刚吃完热干面
76,湖北加油
77,买买买
78,某问题
79,吃吃吃！
80,我吃！
81,加油，湖北，加油，中国
82,湖北加油
83,你币有了
84,广东为湖北加油！
85,加油加油！
86,加油
87,中国加油
88,十堰点赞
89,加油！
90,加油!
91,.对
92,中国加油！！
93,谢谢中央
94,湖北加油
95,武汉加油
96,湖北加油，武汉加油
97,湖北加油！
98,加油！！！
99,湖北加油！武汉加油！
100,我醉了
101,全国一家
102,湖北加油
103,武汉加油！
104,湖北武汉加油
105,大爱热干面
106,加油
107,武汉加油！
108,@江西九江
109,加油
110,湖北加油
111,赞
112,不要再骂我们湖北了
113,武汉加油
114,谢谢你
115,武汉加油
116,湖北加油 武汉加油
117,中国加油
118,湖北加油
119,哈哈哈 我想说武汉腌萝卜是真好吃 今年打算来武汉写生  迫不及待想看看这个重新开始 朝气蓬勃的城市咯
120,反对歧视。
121,热干面加周黑鸭，绝了
122,周黑鸭我想吃了
123,加油
124,加油
125,加油
126,加油
127,加油
128,加油
129,加油
130,湖北加油
131,只有那些假鬼子才认为湖北人民是病毒！
132,身为武汉人希望大家都别来武汉
133,九江27
134,加油
135,加油啊，湖北的朋友们！
136,我想吃热干面了
137,终于能法弹幕了
138,去武汉看樱花！
139,热干面快来快来
140,加油
141,湖北加油！
142,湖北加油！
143,热干面超好吃！
144,加油呀！！中国加油！
145,湖北加油
146,加油！我想去武汉看一下我姐和外甥女了
147,刚买了湖北的树苗
148,说得好
149,湖北加油，中国加油
150,加油加油加油
151,热干面加油！！！！
152,湖北加油！！！！！
153,湖北加油！！！！！！！！！！
154,中国加油！
155,我读书少，你别骗我
156,一定会买热干面啊哈哈哈哈
157,一定要去旅行一次
158,好
159,好
160,加油
161,感动
162,为了湖北买买买
163,我是湖北人哭了
164,湖北加油
165,湖北加油
166,加油！
167,见封进，你说的都对
168,说的对
169,湖北加油
170,湖北潜江人推荐正宗油焖大虾
171,加油！！！！
172,歧视啥也不能歧视吃的啊
173,加油
174,不带偏见
175,湖北加油
176,加油加油！！
177,加油!
178,湖北加油，中国加油
179,我爱吃热干面
180,中国加油!
181,中国加油，湖北加油
182,湖北加油
183,安徽支持热干面，没吃过，嘿嘿嘿
184,倪萍姐姐一会从右边走出来了
185,湖北加油！
186,加油！加油！
187,湖北加油
188,湖北加油！
189,湖北加油
190,加油
191,加油
192,辛苦了武汉
193,荆门的我来了
194,武汉加油啊啊啊啊啊啊！
195,中国人民是一家这才是正确的
196,湖北加油！
197,都是同胞！
198,辛苦你们了
199,我想吃武昌鱼
200,没钱啊
201,这个币我投
202,我为身为湖北人而骄傲
203,热干面加油，奥利给
204,武汉周黑鸭
205,作为湖北人谢谢大家
206,昨晚
207,加油
208,湖北加油
209,加油
210,致敬英雄
211,武汉加油，湖北加油，中国加油！
212,来碗热干面
213,武汉加油 湖北加油 中国加油！
214,湖北加油！中国加油！
215,希望广东人说广东话别歧视我们
216,湖北加油
217,湖北加油，武汉加油
218,清明黑白
219,加油
220,黑白
221,黑白
222,黑白
223,湖北加油！武汉加油
224,别在以“吃货”为荣了
225,湖北加油
226,湖北加油！
227,湖北加油
228,武汉加油ypa
229,爱我大湖北
230,湖北小吃真的不错啊，改天去吃热干面周黑鸭
231,加油
232,加油！！！
233,感谢国家
234,湖北武汉共同加油！
235,加油！！！
236,武汉人谢谢你
237,湖北人太难了！湖北加油
238,为什么是黑白封面……
239,国内所有的省市都是有去武汉医疗队的
240,谢谢你
241,奥利给，干就完事了
242,感动！
243,说的好！
244,欢迎归队
245,欢迎归队
246,欢迎归队
247,欢迎归队
248,给我来碗热干面
249,欢迎归队
250,世界加油，战胜疫情
251,中国加油
252,加油
253,我好久没吃过油条了都
254,我还以为我瞎了。。。
255,央视给湖北农产品打广告，哈哈哈哈哈哈
256,湖北人不是病毒
257,谢谢
258,加油！
259,加油
260,今天是4月4日，刚打开手机时，心有不甘。但还是向英雄致敬。
261,武汉加油
262,说得对
263,湖北加油
264,热干面加油！
265,做我湖北人我好开心
266,山东煎饼声援热干面！
267,从来官方为我们北方（河南，山东，东北等）辩解过（泪目）
268,加油！加油！
269,现在是什么，外国人的想法就是我们是病毒
270,！！
271,加油！
272,湖北加油！
273,作文好素材
274,海甜甜
275,武汉加油！湖北加油！
276,热干面加油
277,加油兄弟们
278,湖北加油！
279,饿了
280,疫情过去我一定去湖北吃热干面
281,加油
282,. ....
283,买买买
284,湖北加油
285,热干面好吃
286,湖北武汉加油加油
287,湖北加油
288,加油
289,买买买
290,湖北人也是疫情受害者，不是病毒
291,今天有个工人（我们知道他是湖北的）来店里不好意思进来，最后给客服拉进来喝茶了。哈哈哈会过去的，我相信没人回排斥自己人。
292,留学生和湖北人民一个感受，希望早日好起来
293,己所不欲勿施于人
294,湖北人不是病毒但别在吃那些奇怪东西了
295,偏见是最要不得的
296,湖北加油！
297,欢迎来广西，热干面们
298,冲冲冲这就去
299,热干面！！！
300,给我来点（？）
301,我要吃吃吃吃吃吃
302,湖北加油
303,湖北加油
304,泪目
305,拒绝歧视，拒绝偏见，湖北加油！
306,来碗热干面
307,来碗热干面！加辣
308,我真的很想尝尝热干面
309,","
310,湖北加油！
311,给我再来一碗
312,给我来碗热干面
313,湖北加油
314,加油中国
315,湖北加油
316,湖北加油
317,武汉加油
318,真好
319,加油加油
320,湖北加油
321,湖北加油。
322,拒绝偏见
323,九江加油
324,不是，最主要是没钱
325,湖北加油
326,买买买
327,我要链接
328,海老师！ 湖北加油！
329,先把那些吃野味卖野味的人消灭了再说吧
