,comments
0,辛苦了
1,老师也太憔悴了吧 好辛苦
2,你不是说完全不用担心美国吗
3,流量院士……
4,流量院士
5,企鹅人？
6,意大利平台期了，可能还要持续2周左右新增能明显下降
7,production...
8,你说谎！
9,早着呢
10,出现不了，，早着呢
11,小马动了，露出了严肃的笑容，眼睛还是没眨
12,30万了三十万
13,沈叔叔
14,世界命运共同体
15,不是应该和相关人员更有用吗
16,美国已经突破30w了
17,27
18,黑眼圈好重，辛苦啦
19,这黑眼圈比前些日子好多了
20,说我男神像沈腾的别走，哈哈哈哈
21,这个黑眼圈
22,眼圈这么黑
23,这是直播吗？
24,当然是往上
25,美国最“自由”
26,洛杉矶真的不是卡住了吗
27,二阶导数等于零时
28,王医生这么像陈萍萍
29,看见张文宏就点赞
30,挺不严厉
31,动了啊
32,保护我方川建国同志
33,高峰没到，于谦到了
34,下面中间的老哥好像达康书记
35,右下角，那感觉那个人在发弹幕
36,可以的
37,非 常 严 厉
38, 黑手
39,洛杉矶一动不动
40,完全平息下来照美国那样怎么也得半年？
41,老张这男人真是爷们儿
42,黑手！
43,中国，加油！
44,黑眼圈严重！
45,wow
46,中1是达康书记吗
47,没有拐点 只有终点
48,他动了他动了！洛杉矶动了！
49,三天之内给你光明
50,沈腾是你吗
51,宏哥好！
52,辛苦了
53,于谦？
54,一飞冲天
55,这黑眼圈，辛苦了
56,美国现在25w了
57,前面的，美国炸了，咱们的自信就是这个
58,这黑眼圈。。。。。。辛苦了
59,编不下去了。。。
60,腾……腾哥?
61,张医生！！！！
62,翻译成数学用语“没达到拐点就谈不上极值点”
63,辛苦了
64,好重的黑眼圈
65,bxbbxbxnjxjjx
66,向上拐
67,画出个半圆
68,1
69,哈哈哈哈哈哈哈哈哈
70,？
71,黑手比划比划↑↑↑
72,respect
73,辛苦了
74,美国的刁钻操作谁也预料不到
75,淦
76,淦
77,注意身体
78,辛苦了
79,嘿手哥
80,排面
81,加油
82,说黑手的不是你一个人。
83,该休息了
