,comments
0,669
1,0933
2,33
3,477
4,669
5,123
6,哈哈哈哈哈哈哈哈哈哈
7,瞎混！
8,niko...
9,哈哈哈哈哈哈哈哈哈
10,太真实了！美国就是这样！
11,哈哈哈哈
12,快60万了
13,因为他们热爱自由
14,明明是鬼混
15,春假~发春的派对
16,哈哈哈哈唉唉
17,我们是家族式，回到家要面对家里。人家个体式
18,好欢乐
19,自由
20,嗯
21,哈哈哈哈哈哈哈
22,漂亮
23,哈哈哈哈哈哈哈哈哈哈
24,主任多休息啊，你都憔悴多了
25,轰趴狂魔
26,自由啊
27,沈腾
28,网红路线真的好吗
29,哈哈哈哈哈哈哈哈哈哈哈
30,一个字浪
31,围巾是个好东西，没有人比我更懂围巾
32,为了自由兄弟们冲啊
33,哈哈哈哈
34,老美死废了
35,美国人:这不自由！
36,同性恋酒吧
37,哈哈哈哈哈哈哈
38,哈哈哈
39,黑眼眶
40,这bgm充斥着资本主义浪漫气息啊
41,瞎混2333
42,哈哈
43,哈哈哈哈哈哈
44,哈哈哈哈哈哈还哈哈哈
45,哈哈温州口音
46,好一个密密麻麻
47,穿着防护服逛酒吧阿
48,黏膜感染 口腔黏膜 懂？（狗头）
49,叔过来人
50,哈哈哈哈哈哈哈哈
51,照你这么说来确实不带口罩容易传播 但是你能不能说些有用的东西 这个现在小学生都知道 你能不能说出来到底是怎么个传播方式 比如唾液传播 还是肢体接触也能传播 竟说些没营养的 简直就像是必须写论文的研究生
52,待着口罩不说话他们会疯的
53,哈哈哈哈哈哈哈哈
54,说得好
55,宁懂什么，这叫自由
56,外国人少是有原因的
57,哈哈
58,沈腾那个你站住
59,哈哈哈哈哈哈哈哈哈哈
60,唧唧复唧唧
61,太狠了
62,自由美利坚
63,哈哈哈哈哈哈哈
64,哈哈哈
65,我喜欢这个专家，哈哈哈
66,鹅妈妈密密麻麻
67,哈哈哈哈哈哈哈
68,鬼混
69,你再骂
70,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
71,哈哈哈哈哈哈哈哈哈
72,冠叔:美国小伙伴们嗨起来！
73,鬼混
74,666
75,哈哈，可爱
76,厉害了
77,好评
78,哈哈哈哈哈
79,密密麻麻全是gay佬
80,腾哥
81,温州人啊，宁波人这都能自我高潮？
82,哈哈哈哈哈哈哈哈哈
83,哈哈哈哈哈哈哈哈哈哈
84,哈哈哈
85,辛苦了
86,辛苦了
87,就是不老实
88,哈哈
89,这个黑眼圈，太心疼了
90,混子
91,哈哈哈哈哈哈
92,哈哈哈哈哈哈哈
93,不戴口罩是真的
94,哈哈哈
95,哈哈哈哈哈哈哈
96,人类迷惑行为
97,hhhh
98,哈哈哈哈哈
