,comments
0,哈哈哈
1,楚国图腾凤凰涅槃重生
2,终于又找到了
3,这里可以给清洁阿姨装热水耶
4,我哭了
5,等结婚在武汉拍
6,一定会去
7,武汉我爱你
8,武汉我爱你
9,武汉加油 中国加油
10,泪目
11,泪目
12,武汉加油
13,加油
14,一定去！！！
15,久等了
16,武汉加油
17,这个声音好好听
18,武汉FM
19,声音我一直在听
20,加油！武汉!
21,up有点像昊然弟弟
22,没错，我也在这拍的，还有江滩的芦苇
23,肯定是播音系
24,武汉加油
25,加油
26,武汉加油
27,加油
28,很荣幸我能成为这14亿分之1
29,武汉加油
30,一定去
31,我们会相见
32,武汉加油
33,久违了！
34,武汉你好呀！
35,加油我的武汉
36,不不不不不不
37,雨衣妹妹
38,我在这方拍过，就去年
39,林晨同学
40,下次不一定，这次一定!
41,好!
42,春暖花开
43,武汉解封了
44,凯旋而归这个用的有点错误
45,我们在一起！
46,苏到了这嗓音
47,久违了，热干面
48,现在都过了，有什么啊，别大惊小怪的
49,有爱。有才华。赞你了UP
50,江边的灯光秀
51,就是去年我要看的夜景啊
52,武汉加油加油加油加油加油
53,不害怕，武汉加油
54,武汉加油
55,一定会去武汉大学还有吃热干面！！！
56,东湖！
57,让伟大告别伟大！
58,加油
59,特别记得那句武汉你快点好起来
60,奶茶是所有人的执念吗
61,声音很好！
62,我还没喝到，但我也丰满了
63,好看
64,经常去这里逛街
65,小哥哥是楚天音乐广播电台的主持人啊，声音当然好听了
66,致敬
67,辛苦了
68,致敬！
69,加油
70,好啊！
71,加油加油
72,为央视鼓掌
73,为up打call
74,江汉路平常就是人挤人
75,爱你们
76,我要去！
77,加油，一直在等你们，相信你们
78,文案可以
79,xxs
80,说声音好听都是xxs
81,4月底估计会开城
82,可还行哈哈哈
83,秋葵吗
84,现在都知道了
85,胖了
86,武汉加油
87,加油武汉
88,我的婚纱照在那拍的
89,美团小哥最快的一个单
90,久违了武汉
91,ohhhh
92,武汉加油
93,武汉加油
94,辛苦了
95,金婆婆又哦容身之所为所欲为
96,武汉加油，中国加油！
97,武汉人报道！
98,我爱我的祖国
99,辛苦咯
100,不会很远了，不会的
101,外卖小哥大姐是英雄
102,这声音真出戏
103,声音太难听
104,那个老爷爷的慈祥笑容。
105,武汉加油
106,加油
107,我特么哭死
108,武汉加油！
109,大连人祝服武汉和武汉人
110,刚才说像刘昊然的出来
111,一定的
112,快点好起来
113,超市？
114,好美啊
115,经常遇到，
116,好想喝
117,加油加油
118,武汉加油
119,武汉加油！加油！!
120,要去
121,加油!!!
122,秋葵
123,鹿角巷
124,加油！！！
125,武汉加油
126,文案也太好了吧
127,武汉加油，中国加油！
128,哭了
129,看武大樱花！
130,加油，加油，加油
131,泪目
132,武汉加油！
133,武汉加油
134,好晕...
135,活下去！
136,黄鹤楼，我一定要去
137,我要这币有何用
138,我一定要去玩，去感受
139,武汉加油！
140,语言能力轻微退化
141,致敬英雄
142,1.11号我还在武汉呢
143,一切都会好的
144,武汉加油
145,有机会一定去看，这个英雄的城市
146,加油！！
147,你胖了
148,加油
149,说的就是去年在这拍婚纱照的我，武汉加油
150,武汉加油
151,好无聊
152,我会去的
153,真实
154,武汉加油！！！！！
155,wk这个画面把我家也拍进去了
156,武汉加油
157,春天已经来了
158,哥该剪头发了
159,一定会去
160,俺也一样，那时也变成一丝光，14亿分之一
161,奶茶？？？我酸了！！！
162,武汉加油
163,加油
164,一定会去的！
165,武汉加油
166,谢谢你们
167,辛苦了
168,泪目
169,类目
170,武汉必胜
171,没钱了
172,这次一定
173,武汉加油！我还期待去吃油饼夹烧卖！
174,加油
175,武汉
176,要去武汉看樱花！
177,今天的b站怎么这么感人
178,我一定会和女朋友一起，去看看这个美丽的城市
179,明年啊，明年来咱们武汉看樱花，东湖的夜樱
180,英雄武汉
181,说奥利给的注意点
182,加油
183,辛苦了
184,好美
185,辛苦了
186,武汉刘昊然
187,泪目
188,泪目
189,来年樱花绽放，武汉安然无恙
190,来年樱花绽放，武汉安然无恙
191,来年樱花绽放，武汉安然无恙
192,来年樱花绽放，武汉安然无恙
193,来年樱花绽放，武汉安然无恙
194,来年樱花绽放，武汉安然无恙
195,真的哭了555
196,泪目
197,什么聚会前面的，这些都是医生好不好看不见头发都没了
198,好像胖了
199,我想起来在江汉关跨年那一次了
200,有内味了
201,你都没消毒啊
202,武汉加油！
203,加油
204,吃傣妹的憋走  吃一次拉一次的路过
205,婚纱照在武大东湖拍的举手
206,泪目
207,想看武大的樱花
208,武汉，全国与你同在
209,t
210,我还会再去吃一碗热乎的热干面
211,泪目
212,给我哭
213,鹿角巷！！！
214,一定去
215,妈妈？？？？？？？？
216,给我哭
217,同为一份子 我很开心
218,我想吃热干面，小姐姐带我去吃！
219,好美
220,孤独？天下与你同在！
221,加油
222,鹿角巷打钱
223,武汉，加油
224,樱花马上完了
225,估计是降温前拍的
226,中国加油
227,武汉加油
228,武汉加油
229,磨山
230,泪目
231,作文素材
232,不怕的！
233,武汉加油！！！！
234,武汉加油
235,你币有了
236,武汉加油！
237,辛苦了
238,加油，想去武汉上学
239,硬核吃播
240,加油
241,我看到我们幼儿园了
242,武汉加油!
243,武汉加油
244,欢迎回家，中国各地都爱你们
245,确定妈妈高兴吗
246,元旦前还在武汉逛街
247,我想回去武汉
248,武汉加油
249,武汉加油
250,前年六月份去过 以后还要去
251,武汉加油！中国加油！
252,愿逝者安息，原生者奋发，愿祖国昌盛，致敬抗疫英雄
253,武汉加油
254,武汉加油
255,一定一定！！！
256,我还没吃过热干面呢！
257,加油武汉！
258,加油
259,一定会去一次的!
260,武汉加油！
261,欢迎回来！
262,好了，现在全国人民都知道了
263,加油！
264,致敬！
265,加油
266,我想去武汉看望姑姑
267,我爱你中国，我一直相信您是最好的。
268,武汉加油
269,武汉加油！中国加油！
270,武汉加油
271,加油
272,武汉加油
273,武汉即将苏醒
274,感谢你们
275,去看樱花鸭(๑• v •๑)
276,武汉加油
277,up你胖了?
278,第战全都变黑了
279,去年5月我去过
280,我的个妈呀，今天整个界面都是灰色。
281,纪念战斗在一线的医疗工作者
282,我想吃热干面，所以我一定得去的
283,黄鹤楼原址都拆了
284,今天去东湖玩了，真的好美
285,武汉的夜景超好看
286,加油
287,说自取的  人家想给小哥提升点业绩不可以吗
288,身为武汉人我骄傲！
289,为什么不回家吃
290,以前在中午的时候都会响起这个熟悉的钟声
291,太危险了 最近还是别去为好
292,轻易还是别去 这两年先看看情况 
293,加油武漢同胞
294,武汉加油
295,熟悉的地方
296,好温柔
297,武汉加油！
298,中心百货的zara
299,我就在这里拍的
300,东北饺子为你加油
301,武汉加油
302,中国加油!
303,肉夹馍祝热干面早日度过疫情!
304,武汉加油
305,加油
306,鹿角巷的奶茶好贵
307,武汉加油
308,谢谢感恩
309,武汉加油
310,武汉加油！！
311,去年夏天去的武汉
312,武汉加油
313,武汉加油!!!
314,我也想……
315,我去过
316,会好起来的！
317,很漂亮
318,差一点哭出声来
319,都会过去的
320,啊啊啊啊啊啊啊奶茶 羡慕
321,想念武汉
322,武汉加油！！
323,对有好几家婚纱店
324,江滩那里，科技馆也在哪里
325,这是梅苑小区那里！好熟悉！
326,太好了
327,王家墩？
328,中国，加油
329,中国加油
330,春天终究会到来！
331,武汉加油
332,武汉加油！
333,致敬
334,武汉加油
335,武汉加油！！！
336,声音好好听
337,泪目了
338,大家都去吃热干面啊！！
339,一定去！
340,武汉加油！
341,武汉加油啊啊啊
342,疫情期间没法自取吧
343,中国加油！武汉加油！
344,加油啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊！
345,我去这家吃过…
346,一定会去！
347,燃起来吧
348,久违了武汉
349,广播大王哈哈哈哈
350,加油加油
351,❤❤❤❤❤武汉加油！
352,武汉加油
353,致敬！环卫工人，外卖小哥
354,加油！
355,加油加油
356,我要去看樱花，吃热干面
357,我们必勠力同心，告慰逝者， 向英雄致敬。我们必勠力同心，告慰逝者， 向英雄致敬。
358,武汉加油!
359,愿逝者安息，愿生者奋发，愿祖国昌盛，致敬抗疫英雄
360,武汉加油
361,武汉加油
362,加油！
363,热干面是什么啊？好吃吗？
364,武汉加油
365,武汉加油！！！
366,向英雄们致敬！
367,晚上没去成黄鹤楼可惜了。以后有机会一定要看看夜景
368,我还等这吃热干面了
369,说了是下班的医护人员啊
370,加油
371,我爱武汉
372,武汉加油
373,一定去
374,以后一定要去一趟武汉！
375,加油
376,武汉加油!
377,好！
378,中国加油！
379,武汉加油！
380,胜利了
381,纪念英烈精神！英烈永垂不朽！
382,纪念英烈精神！英烈永垂不朽！
383,劫后重生
384,热干面好吃的，武汉挺住啊
385,热干面加油
386,泪目
387,感动
388,去年的清明假期第二天我还在武汉吃热干面
389,大家好
390,美！
391,加油！
392,加油
393,武汉加油!
394,默哀
395,默哀深切哀悼抗疫烈士和逝世同胞
396,让我们不用在武汉 想念武汉
397,加油
398,加油武汉
399,配音奇怪
400,大家把雷姆打在公屏上
401,武汉，你是我的家，加油
402,武汉加油
403,辛苦了！！
404,久违了！
405,武汉加油！武汉加油！武汉加油！武汉加油！武汉加油！加油加油加油！！！
406,武汉加油！！
407,红了眼眶
408,武汉加油！
409,加油
410,武汉加油！
411,武汉加油！
412,武汉加油
413,武汉加油
414,在武汉想念武汉
415,深切哀悼抗战烈士和逝世同胞，愿逝者安息，愿生者奋发，愿祖国昌盛
416,加油！
417,加油！
418,久违了武汉
419,凯旋而归
420,武汉加油，中国加油！
421,疫情过后去看看武汉吧
422,我都没吃过正儿八经的热干面!
423,泪目
424,加油
425,上次来这还是人山人海
426,那约好了 一起去武汉看看
427,一定
428,好久不见 加油
429,肾不好，
430,感觉这么虚的么……
431,花快递费省了时间  值得的
432,昔人已乘黄鹤去，此地空馀黄鹤楼
433,我在武汉等你们再来
434,好喝吗，广播大王王
435,加油
436,好看！
437,投币投币
438,武汉加油中国加油
439,辛苦了
440,武汉加油
441,加油
442,好！
443,给我哭
444,武汉加油
445,下次一定
446,这次一定！
447,加油
448,久违了武汉
449,一切都会好起来的
450,我想回去上学，武汉加油！
451,加油武汉
452,一定一定
453,加油加油冲冲冲
454,真的很美
455,愿逝者安息，愿生者奋发，愿祖国昌盛
456,久违了武汉
457,武汉加油！！！！中国加油！！！！世界加油！！！！
458,一定会去
459,泪目！！！！！
460,一定会去
461,中国必胜
462,好漂亮这个小区
463,武汉加油！
464,加油
465,武汉加油
466,泪目
467,东北炖酸菜为热干面加油
468,黎明
469,声音真的好听
470,武汉加油！
471,武汉加油！
472,久违了
473,想考去武汉大学，想看樱花
474,一定
475,一定会去的
476,逝者安息
477,武汉加油！！！中国加油！！ ！
478,泪目
479,加油！！！！！！！武汉！！！！！！！
480,武汉加油
481,秋葵!
482,武汉加油
483,武汉，我在番禺为你加油
484,武汉加油
485,加油
486,致敬
487,果然是央视新闻的声音，但是加油
488,加油
489,加油，武汉
