,comments
0,泪目
1,泪目
2,身  先  士  卒
3,奥利给，首相先生！
4,刷泪目的什么鬼？？？？？？服了
5,泪目
6,泪目
7,泪目
8,泪目
9,我当时害怕极了
10,身    先    士    卒
11,身  先  士  卒
12,加油
13,鲍——里——斯
14,加油
15,黄金精神
16,泪目
17,加油！
18,泪目
19,泪目
20,践行群体免疫
21,泪目
22,rip
23,挺住
24,加油
25,活该
26,加油！！！
27,泪目泪目
28,泪目
29,太难过了，都给我笑
30,泪目
31,加油
32,加油！
33,加油！
34,身   先   士   卒
35,泪目
36,群 体 免 疫
37,加油
38,泪目
39,加油
40,哈里路亚
41,泪目
42,泪目
43,泪目
44,加油
45,泪目
46,群体免疫真奇妙
47,泪目
48,加油
49,加油
50,群   体   免   疫
51,泪目
52,泪目 英国加油！
53,川普你看看人家
54,你看，小冠冠很聪明的，谁的方法不靠谱感染谁。
55,泪目
56,泪目
57,泪目
58,泪目
59,泪目
60,泪目
61,泪目
62,i
63,哀悼
64,加油
65,泪目
66,泪目
67,嗯，为什么为什么今天全是这种视频？
68,泪目
69,泪目
70,练习打字
71,瑞思拜
72,泪目
73,加油
74,泪目
75,泪目
76,泪目
77,R.I.P
78,泪目
79,泪目
80,加油！！！
81,泪目
82,泪目
83,6666666
84,好运来
85,加油
86,要坚强啊
87,泪目
88,泪目
89,泪目
90,泪目
91,欢天喜地
92,走好
93,泪目
94,泪目
95,加油
96,唉
97,群体免疫
98,你们明明在笑从来没停过
