,comments
0,泪目
1,这裹得，人都看不见了...
2,武汉加油，奥利给
3,太好了
4,有机会一起去武汉玩
5,太高兴了！中国万岁！武汉加油！
6,武汉回来啦
7,泪目
8,恭喜ヾ ^_^♪
9,全体起立
10,恭喜恭喜
11,武汉加油
12,泪目
13,恭喜
14,我曾经上学时提个箱子，挤都挤不进。我现在太想这种感觉了，泪目
15,光谷雄起，2号线雄起
16,武汉加油
17,我的眼睛进砖头了
18,官方的影片
19,..
20,加油啊武汉
21,泪目
22,泪目
23,ohhhhhh
24,泪目
25,哇喔
26,久违了
27,武汉加油 中国加油
28,我坐了三年的二号线哇
29,ohhhhhhhh
30,ohhhhhh
31,加油加油武汉加油
32,加油
33,文明重启
34,太好了
35,泪目
36,泪目
37,可喜可贺
38,干得漂亮
39,欧耶！赢了
40,ohhhhhhhhhhhhhhhhhhh
41,泪目
42,泪目
43,武汉加油
44,加油
45,泪目
46,重启
47,起飞
48,四号线
49,一号线！！
50,泪目
51,武汉加油
52,加油 我们一直都在！
53,泪目！
54,好运来
55,泪目
56,加油
57,回来了
58,真好
59,泪目
60,武汉加油
61,全体起立
62,ohhhhhhhhhhhh
63,ohhhhhhhhhh
64,泪目
65,等我去看樱花！等我去吃热干面！！！
66,普天同庆
67,恭喜
68,泪目
69,兄弟们把好运来打在公屏上
70,兄弟们把好运来打在屏幕上
71,好运来
72,好运来
73,棒棒棒
74,加油
75,OHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHH
76,英雄归来
77,重启！！
78,徐州地铁运营但不售票。。只能通过APP进站，也是奇葩
79,致敬
80,如果奇迹有颜色，那一定是中国红
81,ohhhhh
82,ohhhh
83,ohhhhhhh
84,ohhhhhhhhhh
85,太好了
86,泪目
87,泪目
88,谢谢你们
89,太棒了
90,中国加油
91,泪目
92,不容易，太棒了
93,武汉加油
94,武汉加油
95,感动
96,全体起立
97,啊啊啊啊啊，熟悉的声音
98,武汉加油
99,太棒了，泪目
100,感动
101,ohhhhhhhhhhhhhhhhhhhhhhh
102,好
103,是熟悉的声音!
104,1
105,加油加油
106,泪目
107,泪目
108,泪目
109,地铁二号线！
110,加油啊！
111,定要倍加珍惜
112,真好
113,泪目
114,泪目
115,这不是高铁吗哈哈哈
116,BGM Last reunion
117,加油
118,ohhhhhhhhhhhhh
119,终于
120,加油！我爱中国！
121,泪目
122,我家门口！！
123,泪目
