,comments
0,公开处刑
1,隔海相望，樱花满开
2,同甘共苦
3,双月同天
4,手语老师哭晕了
5,哈哈哈哈哈哈哈哈哈哈哈哈哈
6,念chang
7,山川异域，风月同钉
8,他来了
9,超级加倍
10,来了来了
11,强
12,他来了
13,法国咋了？
14,他来了他来了
15,他来了他来了他来了
16,手语老师。。。。。
17,共盼春来
18,感动！
19,哈哈哈哈哈哈哈哈哈哈哈哈
20,那个字读错了????
21,哈哈哈哈哈哈哈，我又想到了直播的朱老师哈哈哈
22,好尴尬啊
23,已经尽可能含蓄了，又不能直接开口要，
24,他来了
25,我会看了好几遍才找到那个同
26,泪目
27,一次性的手语老师
28,越南也是用汉语的国家，，，曾经
29,开始吟唱
30,无锡人路过
31,高级乳法
32,尴尬
33,段子手来了
34,你确定现在韩国人看得懂
35,翻译都不用了
36,翻译都不用了
37,哈哈哈哈哈哈哈
38,爱我中华
39,手语老师技能点满
40,能理解，作为县长的责任，保护人民是应该的
41,金桂公园有啊
42,⬅️受害者
43,字幕宝宝和口语老师
44,碼了
45,扣钱哈哈哈哈哈
46,看哭了
47,这回应的诗句，看哭了
48,为民拉下面子挺好的
49,他来了
50,超过十倍了
51,手语老师瞩目
52,语速慢了
53,不该嘲笑的
54,考试原题
55,你滴滴答，我哗啦啦
56,翻译要疯了
57,200没了
58,不知道韩国人还看不看的懂，自己国人写的诗
59,有字幕是不需要手语老师的
60,汉语真的太美了
61,权叔威武
62,你若滴答滴答，我必哗啦呼啦
63,抵抗42天你们辛苦了
64,日常乳法
65,押韵狂魔
66,←本期受害者
67,你可笑死我了↑
68,千里同好，坚于钉钉
69,－200
70,没错，那个字就念chang，没文化真可怕
71,有什么好尴尬的！救人啊
72,下面红字哈哈
73,手语老师辛苦了
74,滨湖区的
75,十三太保之一 不叫事
76,很实诚
77,两开花
78,。。
79,投我以木桃，报之以琼瑶
80,搬开玩笑的吧，何必计较
81,没有什么好害羞的 帮我们了自当帮回去
82,是日文汉子，不懂别乱说。没事多看书也不至于说出这种话。
83,互相帮助互伸伸援手
84,哈哈哈哈哈哈哈手语老师停止工作
85,日本也是要学汉字的
86,一个法兰西一个英吉利
87,他来了
88,一起加油
89,扣钱了，读错了
90,尴尬地笑2333
91,投之以木桃，报之以琼瑶
92,十倍奉还！！！
93,扣钱
94,哈哈哈哈
95,山川异域  风月同钉
96,他带着段子走来了
97,钉钉一条，共担一星（滑稽）
98,众所周知，手语老师是个消耗品
99,手语老师：他来了？我走！
100,-200
101,为了生命，这点面子都不肯放下那还算什么为人民？
102,他真的很不容易啊换位思考一下
103,他来了
104,麻烦手语老师了
105,2020高考作文
106,努力追求共同利益
107,为了民众的安全拉下自己的面子不用嘲讽吧，是在努力改善
108,他来了
109,感觉这句别有语意啊
110,他来了他来了
111,←一脸平静我早已习惯
112,大国风范！
113,收复日本，明月同乡（狗头）
114,乳法？
115,卧槽，广权
116,古代真的有韩国
117,这个有字幕
118,手语杀手
119,hp-1... 奶我！！
120,有字幕啊，想什么呢23333
121,表白雨果！！！！
122,山川异域风月同天出自日本诗人长屋王
123,别闹了山川异域风月同天确实是日本官方给的，岂曰无衣与子同裳才是日本华人
124,论心地善良，我们中国人就没输过！！！！！
125,他来了
126,有内味了
127,这几个繁体字和日语汉字一模一样，
128,投我以桃木 报之以琼瑶
129,中国加油！！
130,别杠精了，你就是诸葛亮
131,好心酸的笑容
132,中华文字之美。天下无双！
133,这是在委婉地求援啊
134,这才是应该有的国家友谊
135,泪目
136,这样看其实算打趣的说法 没想到国内解读成这样
137,哈哈哈哈哈哈哈
138,大和民族给我们上了一课
139,其实这对日本人来说很难的，太羞耻，所以不得不说他是一位好官，为了人民放下羞耻心
140,←好惨。。
141,法国，还不想要呢
142,他来了
143,滴水之恩，永钉相报
144,投桃报李，共盼钉来
145,反手一个超级加倍
146,投桃报李，共盼钉来
147,青山一道，同担一钉
148,中国这方面就没输过
149,青山一道，同担一钉
150,滴水之恩，涌泉相报
151,可以理解
152,200
153,钉钉？
154,泪目
155,17号无锡捐了5万给日本，后来又捐了5万给这个县
156,投桃报李，以心换心。
157,有字幕为什么要手语
158,心酸，因为他们也是真没有办法了
159,233333
160,可以
161,我们新吴区没樱花
162,新吴区骄傲
163,手语老师已疯
164,哈哈有点像互通书信
165,善
166,善
167,山河异域，风月同天；青山一道，同担风雨。
168,山河异域，风云同天
169,山河异域，风月同天
170,公开处刑
171,滴水之恩，涌泉相报
172,青山一道，共担风雨哈哈哈哈哈哈哈哈
173,扣钱
174,山川异域，风月同钉
175,他来了！
176,县长有担当
177,手语老师不动了（非静止画面）
178,去看清明哀悼会吧
179,-200
180,无锡新吴区发来点赞
181,没有韩文哈哈哈哈哈
182,无奈之举
183,是个很负责任的人
184,哇，烟花
185,我也觉得无可厚非
186,这没什么好尴尬的吧，这挺心酸的
187,你们怎么这么狠钉
188,真的是好领导了！面子和人民利益谁重？
189,超级加倍
190,加油，希望病毒能快点消失
191,，
192,最美丽的守望
193,天哪，这个声音
194,手语老师累了。
195,很实诚
196,手语老师累了
197,加油
198,岂曰无衣？与子同袍
199,暗示啥呢？
200,加油
201,法国就算了
202,麻烦@龙应台
203,他们给了 咱们中国也得给啊 毕竟情谊在那里
204,他俩了他来了
205,。
206,本来就读chan
207,这就叫大国风范
208,他来了
209,朝贡体系？
210,手语老师动一下
211,手语老师太可怜了
212,口误？？
213,手续老师技能冷却中
214,滴水之恩，涌泉相报。
215,英语作文引用
216,日常乳法
217,是时候收复日本了
218,666
219,手语老师累了
220,反手来个超级加倍
221,-200
222,_200
223,666
224,-10086
225,中国精神，真好
226,这不是繁体？
227,裳我者，十倍奉还！
228,十一年友城
229,不要骂他了，作为县长最大责任就是保证自己县里安全
230,反手一个超级加倍
231,感人
232,超级加倍
233,超级加倍
234,没关系可以理解
235,人类命运共同体
236,滨湖区来了
237,手语老师卡住了
238,岂曰无依，与子同钉
239,Hhhhhhhh
240,来了
241,致敬，缅怀
242,岂曰无衣？与子同裳
243,岂曰无衣？与子同裳
244,口语老师不干了
245,没文化沉淀  只会写加油   
246,无锡市经开区路过
247,真好，把中国的文化传播出入
248,反手一个究极加倍
249,说不定以后我们还需要帮助
250,现在已经有手语了吗？好贴心呀
251,手语老师吧
252,可以理解
253,他援助过来口罩也是顶了很大压力的
254,不尴尬呀，现在中国稳定了，但日本严重，愿意放下脸面，这是好领导
255,滴水之恩，涌泉相报
256,you嘀哩嘀哩me，I哗啦呼啦you
257,可以理解，可以理解
258,我怎么变色了
259,白嫖来了
260,锡山区报道
261,手语老师下线
262,挺好的
263,有字幕的时候手语老师会休息一会
264,手语老师是重点
265,五岳剑派，同气连枝
266,偏偏是给法国的，故意的吧。。
267,妙啊
268,反手一个超级加倍
269,　　向逝去的同胞告别，向一直奋战在一线的同胞致敬　　向英雄们致敬
270,　　向逝去的同胞告别，向一直奋战在一线的同胞致敬　　向英雄们致敬
271,妙啊
272,让那些觉得羞耻的日本人去死！
273,一切为了人民，不用觉得不好意思啦
274,手语老师心里是崩溃的
275,是的，曾经好多韩国人和日本人采用汉语写作
276,200
277,来了来了
278,他来了他来了，他带着Rap来了
279,收复日本，明月同乡
280,加油。很开心很庆幸生在中国
281,缅怀先烈，你们让爱我们的人等到了我们，但爱你们的我们却等不到了你们，谢谢，致敬
282,美丽的汉语
283,辛苦了！
284,大国担当
285,有点感动，生于中国，不骄傲都难
286,左下角是在用手语吗？
287,人心齐泰山移
288,这个是作文题目
289,啊啊啊啊啊
290,山川异域，风月同钉
291,帅气
292,前面的，那不是日文，只是日本人看得懂而已
293,手语老师——我没辙了。。。
294,4500过来，五万回去
295,我呸！
296,赛高！
297,一位……真的才一个
298,红红火火恍恍惚惚哈哈哈哈哈哈
299,辣个男人来了
300,日本那边看得懂繁体字的
301,手语老师表示:我好想一巴掌呼死他
302,锡山区人士
303,他来了！
304,在日本这么含蓄的社会，说出了这种话，真的是很无奈了
305,乳法了
306,哈哈哈哈哈这个尴尬的羞涩感。可以理解。
307,那个不是著名的投降怪嘛……
308,见权进
309,中国加油，世界加油
310,能当大明的狗就是最大的荣幸啊
311,与子同钉的那个给我站住
312,好多嬉笑的看得我有点不是滋味，这是个值得尊敬的人
313,不是说爱知笨蛋吗？
314,岂曰无课，与子同钉
315,理解理解理解
316,共担风雨？？
317,扣钱
318,手语老师，你动一动
319,大国风范
320,手语老师，你大爷的
321,惠山区路过
322,《=我很懵逼，慢点慢点！
323,手语老师笑得疲惫
324,感谢没毛病，能优先中国同胞佩戴，这个更好！！！
325,200没了
326,情同一心没毛病，收了他们！！！
327,chang
328,现在韩国人都看不懂
329,能放下面子说明是真的为辖区人民安全着想，
330,在新吴区的我
331,没错
332,投我以木桃，报之以琼瑶
333,加油
334,低谷你不弃，高峰你我享
335,哀悼
336,真的不该被嘲讽
337,选取了著名投降哥谯周的金句，致敬法国
338,这主持人看长相就不是好人
339,无锡新区的韩国人比日本人多
340,you didadida me，I hualahuala you
341,超级加倍！
342,他来了
343,茫然
344,老大！
345,日本人的荣辱观哎～
346,权哥扣钱了
347,也是为了当地人民要的 没什么耻辱的
348,韩国人怕是连自己祖宗的诗都不知道怎么读
349,意大利真的就是百倍奉还
350,确实看着丢脸，但特殊时期他的确是一位好领导能放下面子
351,但是日式汉字和中文的汉字很多意思都不一样呀
352,会这么说，其实情况也很紧急了。
353,他来了他来了他来了
354,他来了
355,也表达了中国文化的底蕴
356,其实我看了他觉得有点心酸
357,山川异域日月同钉
358,汉字
359,用的是汉字
360,有字幕所以不用手语
361,反手一个超级加倍
362,汉语的美
363,-200
364,加油！
365,岂曰无课，与子同钉
366,-200
367,美国ttbs
368,手语老师要哭了
369,看过这次演播
370,手语老师说:“让我歇歇”哈哈哈
371,这一抹红格外亮眼
372,说真实的没看懂什么意思吗 人家已经是自嘲了
373,中国邮政
374,扣钱
375,人家援助我们大家不感谢 现在人家有难了求助我们能不帮？
376,别黑化了 都是为了自己的国民
377,有点可怜还有点可爱
378,论文艺，中国就没输过
379,来啦
380,骨子里的东西
381,China（中国）
382,China （中国）
383,China（中国）
384,无锡人报道
385,他们在我们需要的时候送来了口罩
386,岂曰无课，与子同钉
387,尴尬得笑容……
388,但是本土的人有的人认为这是耻辱
389,真的很卑微，也很为他的人民着想
390,太有心了！
391,都让开，这是我男神！
392,说真的 在最困难的时候 N95 4500个
393,文化差点连新闻都没法看了
394,他来了
395,汉字日本认识的
396,这个暗示哈哈哈
397,山川异域，风月同钉
398,自动看左下角
399,在半开玩笑啊
400,人家有雪中送炭，我们也不吝啬
401,依臣之见，不如降魏
402,来了来了来了
403,日本人看得懂中文
404,涌泉相报
405,风雪同钉
406,日本该死的羞耻心得改改了，这是一位好官
407,必将百倍奉还！
408,他来了！
409,手语老师深吸一口气。开始全力输出了
410,同担风雨~~⊙▽⊙
411,←我是谁？我在哪？我在干什么？
412,冲吖~
413,权儿！
414,他终于来了！
415,来了来了
416,我困难时你帮助我，你困难时我十倍奉还！
417,无锡？
418,尴尬的笑啊~~不好意思 要回口罩
419,手语老师不容易
420,人家是真的没办法了呀，笑的很无奈了，也不敢奢求，就把自己捐的用剩的拿回去，大写的卑微啊
421,中国速度
422,铁打的手语老师，打铁的朱广权。
423,他来了
424,暗示投降
425,挺好的拉下脸，只为了百姓点赞
426,礼尚往来
427,中国文化太牛逼了。
428,哈哈哈哈或
429,66666
430,牛逼
431,来了
432,这个时期可以理解
433,没错 3月30日的今天 中国物资已经到纽约了！
434,哈哈哈
435,-200
436,给咱汉文化圈的不需要翻译233
437,他来了
438,大家就是不一样 排面王昌龄
439,手语老师不动是因为有字幕……
440,好看
441,见权进
442,感动辽
443,挺好的啊
444,反手一个超级加倍
445,日本那句错了扣钱
446,江阴路过
447,心疼手语老师一分钟
448,山川异域，风月同钉
449,血赚
450,日本人古代用的汉字
451,手语老师遇到朱老师之后涨工资了吗？
452,日本人能看懂部分中文内容，特别是古诗文这类
453,我就会说个加油
454,都好美啊
455,友谊万岁～
456,优美的文字，真挚的感情
457,不需要韩语吧 韩国古代文献都是汉字，只是发音和我们不同
458,他来了
459,应该尊重
460,不是说是爱知县的吗？
461,哪里错了？
462,哪里读错了？没有错好吧
463,铁打的朱广权，流水的手语老师
464,这国旗怪怪的
465,一起加油啊
466,汉语水平考试哈哈哈哈
467,权儿！！！
468,这些汉字，日本人是认识的
469,韩国以前用的汉语
470,就算他不提，我们肯定也是会加倍赠还的，第一时间的捐助非常重要
471,这就是中国
472,他的手语老师来了
473,来了来了
474,很无奈的笑容，不应该被嘲讽吧
475,手语老师速度不一样了
476,见权进
477,今日乳法，你们是故意的
478,嗯…最熟悉的陌生人
479,手语老师呆住了？
480,-200
481,广权 广权！
482,手语老师，提着39米大刀来了
483,手语老师不动了
484,来啦来啦
485,两开花？
486,汉语人家看得懂
487,人家也是无奈才开口要口罩的
488,岂曰无衣与子同裳
489,全程注意手语老师
490,  他来了
491,两开花
492,为民不用觉得羞耻 
493,他来了他来了他带着RAP走来了
494,真就峨眉山快递呗
495,-200
