,comments
0,王冠红人馆
1,有王冠的粉丝啊   我也很喜欢听
2,现在即使免税也要排队等着
3,？？？？？？？？？
4,乍一看以为是老钱
5,美国55万了
6,三十万了……
7,英语不是盖的！男神！
8,左右互搏之术
9,妙啊
10,出来混迟早要还的
11,口语真好
12,建国不能暴露
13,妙呀！我加征我我自己。
14,美国人被自己种下的因而吞恶果表示赞美
15,明白人
16,秒啊
17,自由贸易？
18,没有人比我更懂关税
19,建国加油
20,我笑了
21,我老公
22,人类命运共同体啊
23,独立思考
24,。。
25,你现在说的每句话，在将来可能有时空警察来找你，时间证明一切
26,呵呵
27,支持川普
28,傲慢与偏见终将自食其果
29,长的好像老钱
30,男神
31,？？？？？？？？？饮鸠解渴
32,还以为是老钱
33,在多加点关税啊，特别是医疗器械
34,就很棒
35,天道好轮回
36,这个录的视频带什么口罩
37,某个弹幕你是不是把戴口罩当成梗了？
38,哈哈哈哈哈哈哈
39,不愧是世界大国噗╮(￣▽￣)╭
40,别拦我，我一心求死
41,真的机智啊 川建国，加关税就要涨价  最后还是羊毛回来
42,离谱
43,特朗普上台就是来玩的
44,这是美式发音
45,？何必呢
46,妙啊
47,直接给我干蒙了
48,厉害了
49,特朗普4月12号要全面复工的
50,再加点。我觉得还是太少了
51,明赚实亏
52,这个应该不是财经广播的王冠吧？
53,别的国家进口中国然后出口美国
54,王冠非冠
55,好帅
56,搬石头砸自己的脚
57,全球一体化进程无法阻挡
58,建国同志深谋远虑，我枯了
59,你为什么要用英语？
60,那些愚民他们自己通过自己选择的法案，可怜什么？
61,人类迷惑性为大赏
62,？
63,因为5g是未来
64,别放弃，继续加！
65,第一坐实
66,建国加油
67,什么是确诊大国阿（战术后仰）
68,加少了，应该全部加到50%
69,说的好，那我们继续和美国打毛衣战拖垮美国吧。给自大的美国人沉重的一击。当然这么说的前提是我并不知道第一阶段协议签了什么。
70,现在美国已经二十多万了！
71,美元已经开印钞机了，无所谓贵不贵都是数字
72,无语了哦
73,财大气粗
74,哈哈哈哈哈哈哈哈
75,xswl我搞我自己
76,奥巴马是个好人
77,有钱发给人，却没钱治病
78,好像温兆伦啊
79,发钱不难，随便印
80,辛苦了
81,呵呵呵
82,我还真叫王冠
83,是有那么点像老钱！
84,，
85,这也在你的计划之中吗川川
86,该啊
87,但我怀疑他们会开始印钞票
88,天道好轮回，苍天饶过谁
89,祖国
90,发音不错
91,美国就作吧，作不死你们
92,666啊
93,美国优先谁敢和我抢第一
94,风水轮流转
95,这波操作可以
96,想想卖到中国的宝马，一个道理
97,天道好轮回啊
98,美国这是自找苦吃
99,只能说，美国人民加油，美国政府活该
100,喜欢王冠
101,羊毛出在羊身上，加好了
102,女的很像川建国啊
103,全身防护都没有就去救人啊
104,4.4号，已经是中国的几倍了
105,哈哈哈哈哈
106,哦豁
107,建国加油
108,建国辛苦了
109,为什么记着没戴口罩？
110,？？？？？？
111,该啊。
112,迷惑行为
113,哇
114,建国同志干得不错
115,欧洲从中国买转手卖美国还有赚的！
116,这玩意都是守恒的，羊毛出在羊身上
117,给中国送钱哈哈
118,美国人狠起来连自己都害
119,后来居上
120,绝了
121,Fake news.next
122,增加关税结果商品价格提升，自己家买东西花钱更贵了
123,天道好轮回
124,正常情况应该是多富人证税。特朗铺饭贤惠操作
125,这说的我打满分
126,秀儿
127,老祖宗说的是对的，得民心者得天下！
128,以前对美国态度无所谓，经过这次疫情我已经把美国列为不喜欢一类了
129,不是老钱，前面的都脸盲吗
130,太狠了吧
131,川建国同志，干得好
132,我生日那天。。。。
133,怕啥，这样征服就有钱搞防疫了！
134,不愧是美国，全球第一，领军人物
135,美国人太惨了
136,秀
137,有远见啊
138,笑骂随你，大国我当
139,呃，所以中国真的只能说老美加油了……
140,苍天饶过谁
141,美国人民的生命成了资本家的玩物
142,自作孽不可活
143,憨憨
