,comments
0,有人为提取然后传播的可能吗
1,前面的，科学是有国界的。
2,都说了是自然的产物，美国政黑不要乱骂，这性质都不一样
3,看清楚这是科学家，无脑刷梗可耻
4,致敬
5,我信你个鬼
6,走好
7,川普：？？？？？？？
8,高级病毒专家
9,先在心里有了预设的真的反智
10,我可以相信你说的，我也有理由相信你是在为美狗阴暗面洗白 没毛病吧？
11,我不相信！
12,安西教练
13,死人白的你有良心吗
14,中间停顿很可疑？我寻思你说话有时候不会卡一下吗？
15,弹幕里怎么这么多天天想着政治政治的？科学家不是政客，只提供科学证明
16,科学和政治有联系吗？
17,这是科学家不是政客，分清楚好吗
18,科学不分国界？funny mud pee，人都有立场，客观看待事实还要留个心眼，防人之心不可无
19,赔钱就完了，美国病毒
20,弹幕都是医学专家？给你看实验数据你懂？
21,美国病毒  特朗普病毒  自由病毒
22,来自美国
23,美国天天搞病毒我靠
24,证据呢？！
25,吸血鬼表示这个锅我们不背
26,川建国发动手风琴
27,法国科学家参政可欢心了。。
28,科学和政治永远是分不开的
29,科学不分国界
30,但是科学家有国籍
31,从弹幕可以看出B站用户的年龄和文化水平，呕真惨
32,从弹幕可以看出B站的年龄合，呕
33,你说我们霉不霉，传到中国就变异到大爆发了，真是背锅王无疑。
34,你们那边现在才刚有4网络?
35,科学证明是阴谋论？脑子呢？
36,科学不分，科学家分
37,蝙蝠：挂我咯？
38,爷就得学学某管那样
39,猥琐流
40,一个bug
41,尊重科学
42,机器人也是自然产物，只不过人类推进一步
43,科学和政治能分的开吗？
44,那可不一定不是人制造的
45,建议大家怀疑的时候想一想，这是央视新闻发布的视频
46,都开始攻击别人长相了？
47,说什么都让美国人的那个，你前两个月不是还在骂研究员们申请专利吗？
48,奇美拉
49,弹幕执念作祟....
50,科学是科学，别扯政治
51,？。
52,没人会承认自己制造生化武器，这是人类的禁忌
53,地图炮，人种偏见，国家偏见，回忆一下弹幕礼仪好吗？
54,你会你去做啊，就只会嘲讽别人算什么本事
