,comments
0,你这就算空投到战区装备全靠捡啊
1,裱起来还挂在九楼~就是这医院的精彩了
2,哈哈哈，没带回歌媳妇
3,这会儿看到垃圾袋就想收拾一下
4,为武汉拼过命
5,背的包跟我老公一样
6,瘦了
7,徐峥当导演，肖央演大连小伙拍个电影吧！！
8,在一起有这个桥段！
9,笑死了
10,要警惕娘道那帮人
11,到南京来，我们招待
12,武汉南京医院？
13,一起拼过命，战友
14,他咋和谁都能成哥们2333
15,哈哈哈哈，开始饿了，可爱
16,本来想包吃包住，结果被迫营业
17,混入其中
18,没有爱情吗
19,因为你曾经也是这里的一员
20,别想了人家已经有孩子了
21,一路顺风
22,大连很棒！
23,肖央，是你吗
24,哈哈哈是个合格医务人员了
25,已经要出来了，邓伦演的你
26,德芙
27,这是爱情吧
28,我们南京鼓楼医院的
29,小伙叫大连 俊俏好容颜
30,长沙不用去了吗
31,试图混入其中
32,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
33,瘦了，帅了
34,在一起
35,哈哈哈哈
36,哈哈哈哈哈哈哈
37,咋不拿走呢
38,哈哈哈哈哈哈
39,太惨了
40,哈哈哈哈哈哈
41,哈哈哈哈哈哈哈
42,一瘦眼睛都大了2333
43,谨防电信诈骗
44,兄弟，对不住了，先笑为敬
45,但是重要的是你确实做了。。。这就很。。。
46,《在一起》
47,迈克出多少，安踏出三倍。
48,瘦了好多啊
49,哈哈
50,去去去，小姐姐等等我
51,搁我我也舍不得
52,包吃包住 竟然瘦了
53,你来南京，我白嫖你做保洁
54,这已经是战友了啊
55,传奇经历啊
56,谢谢
57,鼓楼医院医生姐姐挺好的，环境也好，就是人太多哈哈
58,我在鼓楼医院看过病，感觉很好呢
59,小伙戴的渧芙尼的项链哈哈哈
60,医院裱起来了
61,然后回家又把车撞了哈哈哈哈哈哈哈哈哈哈哈
62,带回去哈哈哈哈哈哈哈哈哈哈哈不要再走丢了哈哈哈哈哈哈哈哈哈哈
63,走出憨憨的步伐哈哈哈哈哈哈哈哈
64,搭错车哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
65,太可爱了吧哈哈哈哈哈哈哈哈哈哈哈哈
66,你是要把我笑死吗哈哈哈哈哈哈哈哈哈哈哈哈哈哈
67,哈哈哈哈哈哈哈哈哈哈哈哈哈哈
68,哈哈哈哈哈哈哈哈哈哈哈哈要不要这么实在哈哈哈哈哈哈哈哈哈哈
69,装备全靠捡哈哈哈哈哈哈哈哈哈哈哈哈
70,都说是姐姐了
71,哈哈哈哈哈哈哈哈恍恍惚惚
72,难道一起经历生死连面都不知道啊
73,哈哈哈哈哈哈哈哈包吃包住包吃包住哈哈哈哈哈哈哈哈哈哈哈
74,零食也有
75,哦豁！后续
76,来了！！！
77,他在大连又当起了志愿者
78,长大了
79,后续更搞笑
80,我不知道你们长什么样，但是你们会让我记一辈子
81,你自己当主演吧哈哈
82,可能会加很多乱七八糟的剧情所以有所顾虑吧，你很真实，喜欢
83,太真实了 人间真实
84,太辛苦了都
85,也谢谢你！
86,哈哈哈太耿直了
87,冷酷哈哈哈哈你觉得你瘦了吗哈哈哈
88,欢迎来南京
89,南京人前来报到
90,是战友
91,辛苦啦！
92,跟着鼓楼医院跑了就搞笑了
93,帅哥你谁啊
94,蓝金
95,说话实在，真是个好小伙
96,大连好人一生平安！！
97,谁不是妈麻德宝贝孩子呢
98,以后都要好好生活 保重身体！！
99,加油
100,感动
101,致敬
102,致敬
103,hi哈哈哈哈哈哈哈
104,hi哈哈哈哈哈哈哈哈哈哈哈哈哈
105,哈哈哈哈哈
106,帅哥你谁
107,也为你骄傲
108,筷子兄弟
109,可可爱爱
110,辛苦了，真棒
111,好不舍啊
112,哈啊哈哈啊哈哈
113,他瘦了好多，和我上次看新闻比，瘦好多
114,哈哈啊哈啊哈哈哈哈啊哈哈
115,哈哈哈
116,你还记得要去长沙吗哈哈哈哈
117,然后高速车没电  到家车还刮了 大哥你这运气真的流批
118,他也是一员怎么能叫混入呢？
119,还去长沙吗哈哈哈
120,南京女婿
121,太像了哈哈哈哈哈哈哈哈
122,徐导安排一下 汉囧
123,要拍电影，必须肖央来
124,你这次旅途比我一生都强，而且对你的人生有很大帮助，事业也是很有帮助的
125,蓝鲸 哈哈
126,感动
127,哦呀
128,别改，改了就变味
129,还别说，这型真有点像肖央
130,太可爱了吧
131,哈哈哈
132,心情好
133,瘦了是最大的收获，不知不觉就瘦了
134,混入其中
135,实在人
136,真瘦了
137,哈哈哈哈哈哈哈
138,真的太像肖央了吧
139,我爸妈也是政府的确实机会内
140,真的，一路顺风让我一下子破功
141,好适合电影啊我要看
142,哈哈哈哈哈哈奇怪的医疗队员增加了
143,帅哥你谁呀
144,瘦了
145,战友把
146,是a吧
147,鼓楼医院可是南京数一数二的三甲医院
148,现实的精彩电影表达不了
149,一楼顺风
150,比干等救济，嫌弃吃的差的那帮人好多了
151,那是一个战壕里的兄弟
152,比那帮窝桥洞下边等救济的强百倍
153,hhhhhh瘦了好多
154,hhhhh大连！
155,皮
156,"看信纸落款,工商银行湖北分行"
157,包吃包住啊
158,我觉得这家伙的经历要拍成电影了
159,真的好像肖央哈哈哈
160,这暗示太明显了
161,被迫营业
162,真香警告
163,你这剧情根本不用改
164,东北人都是活雷锋
165,南京人欢迎你
166,大连
167,我也是大连的 为你感到骄傲 加油
168,真“白嫖党”
169,真“白嫖党”
170,我们大南京
171,完了 20斤白减了
172,拍电影我就去看！！！
173,能留下来帮忙就是好样的！
174,辛苦你了兄弟，是个爷们！！！
175,帅哥你谁
176,不信谣不传谣
177,全国都是维也纳酒店隔离？？？
178,在一线的你们，辛苦了，谢谢
179,居然还遇到了同学，哈哈
180,我也希望给我一次阴差阳错的机会去一线
181,真的瘦了
182,小蒋同学，我的室友呀
183,果然发型改变人啊换个发型突然变帅
184,应该裱起来，真的很有意义
185,真是收了
186,还有彩蛋
187,大连小伙儿！
188,可乐er～
189,哈哈哈哈哈哈哈哈哈哈哈哈哈别提这事儿 我眼泪都回去了
190,哈哈哈哈哈哈
191,满广志那个你别走
192,去必须去！！！！
193,天啊居然是鼓医的
194,都是最美的英雄
195,爸妈多心疼啊
196,混入其中
197,混入其中
198,你不去长沙了？
199,完结撒花
200,哈哈哈哈哈哈哈哈哈
201,鼓楼二号楼三层保洁路过
202,合成型角色。
203,好想和大连哥做朋友
204,箪瓢壶浆
205,辛苦了
206,致敬
207,也谢谢你小伙子
208,战友情，同进同退
209,我也想瘦
210,在其中瑟瑟发抖
211,混入其中
212,成熟
213,政府挺暖心的
214,感动
215,我姐姐也在
216,他一生的传奇
217,以前有抗日神剧，现有抗疫神剧
218,风雨与共，守望相助
219,政府给他安排工作吧
220,拍电影
221,技术人员
222,肖央
223,倒垃圾技能显示
224,这么帅
225,以后自豪的炫耀给子孙看
226,好小伙子~你真的是这次的光芒~
227,发现王国哦，13年带孩子去玩过
228,一路平安
229,帅哥你谁
230,哈哈哈哈，好心酸
231,幸得有你，山河无恙！
232,一路平安，感谢有你
233,汉囧
234,工具人哈哈
235,电影估计要和护士长CP了哈哈
236,超级谨慎
237,辛苦了
238,致敬！
239,嗅到了爱情剧的套路
240,飞机不能说顺风哈哈哈哈哈哈
241,有胃口了
242,荣耀永远属于中国！！！
243,一起经历的战火记忆将永传一生！
244,太棒了
245,哈哈哈哈“哈哈哈
246,包吃包住
247,感动
248,别几百年了 几十年纸就要分解了
249,炮兵连
250,真是不容易
251,真不错
252,可以拍成电影了哈哈哈
253,精神小伙儿
254,精神小伙儿
255,我一个N95用到疫情结束
256,@徐峥，给安排一下
257,懂了
258,包吃包住
259,然后体重吃回来了（狗头）
260,不信可还行   哈哈哈哈哈哈哈
261,感谢
262,辛苦了，天使们
263,辛苦了
264,肥宅快乐水233
265,哈哈哈哈哈哈哈哈哈哈哈
266,哈哈
267,这个经历必定让你更加优秀
268,这段经历是这是人生的财富！
269,真的是战场啊
270,战友
271,哈哈
272,哈哈
273,帅了
274,口罩用一个多月是因为你在家里
275,越来越帅气了
276,很有意义
277,肖央啊。，，
278,善良的武汉人
279,辛苦了
280,继续守护女神
281,他已经忘记要去湖南出差了，哈哈
282,英雄回家
283,他是疫情期间最特别的志愿者之一
284,哈哈哈哈老实人，我喜欢他太真实了哈哈哈哈
285,帅哥你谁
286,哇 瘦了这么多
287,自己演自己
288,红红火火恍恍惚惚
289,不信哈哈哈
290,这个南京非常标准的南京话
291,战友情啊
292,太真实了！！！我喜欢他！！！！
293,一医院啊我之前看病总去那里
294,小帅哥，好样的！
295,他在武汉…四个小时换一个是对的
296,可乐儿
297,包吃包住
298,你还记得你原本要去长沙吗
299,我次奥   带个口罩这个   真的是大连分央
300,肖央大连分央
301,泪目
302,谢谢你为武汉拼过命
303,鄂囧，主演：肖央
304,让肖央来演吗哈哈
305,趁此机会脱单啊
306,哈哈哈养成习惯了哈哈哈
307,政府工作的现在也挺忙得 都在各司其职吧
308,憨憨的
309,心疼。。脸上全是一直戴口罩长痘后留下的痘痕。。
310,哈哈哈哈哈哈哈哈哈哈哈
311,自己演情境变化了可能出不来那种感觉了
312,真实的小伙
313,大连是大连，肖央是肖央，两个没法比
314,大连可可爱爱
315,你们都辛苦了
