,comments
0,回来吧，做好防疫，隔离，实在不幸，被感染了，可以治！
1,给海外留学，保证留学生安全
2,加油阿中
3,加油
4,许可馨别回来啊
5,我爱祖国
6,回家吧
7,加油
8,与你同在
9,感谢祖国母亲
10,加油
11,加油
12,突然就想哭了
13,。
14,加油！！
15,爱了，伟大的祖国母亲。留学生们，保护好自己
16,欢迎回家
17,感谢祖国。今天已经填写了领取健康包的调查，中国万岁！
18,欢迎回家
19,愿都安康，凯旋而归
20,欢迎回家
21,欢迎回家，我们等你们！
22,我的b站灰了，默哀
23,加油
24,加油！！
25,欢迎回家
26,加油
27,加油
28,来生还做中国人
29,大家坚持住啊，我们欢迎你们回家
30,我爱我的国
31,谢谢！
32,中国加油
33,欢迎回家
34,留学生加油！
35,加油！
36,欢迎回家
37,加油
38,感谢祖国
39,我欢迎回家
40,我们在的
41,加油祖国是你们坚强的后盾
42,我们等你回家加油
43,加油
44,好感动
45,好
46,哭了
47,加油
48,加油
49,泪目
50,第二遍了！你说的对…网络上你说的最理智了
51,加油
52,百万大军浩浩荡荡
53,欢迎回家
54,加油！加油
55,欢迎回家
56,骄傲
57,爱你祖国！
58,哭了
59,加油中国，加油世界！
60,加油
61,中国加油
62,中国加油！
63,加油加油
64,加油
65,注意安全，保护好自己
66,加油
67,加油！
68,大家都要平平安安啊！
69,加油
70,泪目
71,好感动啊！！！泪目
72,。。
73,加油！
74,加油，欢迎回家
75,加油！
76,欢迎回来
77,泪目，加油，中国加油
78,抱抱，欢迎回家
79,加油
80,加油朋友们
81,回家吧
82,泪目
83,泪目
84,加油
85,加油
86,加油加油加加油！！！！！
87,加油啊!!!
88,谢谢
89,谢谢
90,加油，奥利给！！！
91,加油
92,坐标新西兰奥克兰，泪目辽
93,加油
94,加油
95,欢迎回家
96,加油
97,泪目 每一个人都得好好珍惜
98,666
99,可以撤侨了
100,有我一个
101,加油
102,欢迎回家
103,保护自己，加油
104,泪目
105,欢迎
106,加油！！！！！
107,非常感谢！
108,欢迎回家
109,欢迎回家
110,在国外宅家
111,感谢祖国
112,欢迎回家
113,平安啊
114,感谢国家！
115,加油
116,加油加油加油
117,加油
118,确实！加油海外同胞
119,歡迎回家
120,加油
121,泪目
122,感谢祖国母亲！
123,大家都加油！你们是我们的祖国，也是世界共同的未来
124,坐标芝加哥，大使馆前几天给我们学联发口罩啦，拿到了十个！
125,请加油
126,谢谢！
127,感谢祖国为我们发声
128,祖国随时欢迎自己的孩子回家！
129,加油
130,我爱祖国
131,现在他们要回来也挺难吧
132,加油
133,哇地一声哭出来 
134,加油呀
135,加油
136,有点感动
137,大家一起加油
138,加油
139,加油
140,加油
141,祖国不会拒绝自己的孩子回家！
142,加油
143,加油
144,加油！！！
145,祝平安
146,谢谢！欢迎回家！
147,泪目
148,终于有人说留学生好话了
149,祖国加油！！
150,中国加油！
151,加油
152,中国加油
153,我爱中国
154,感谢祖国
155,感动
156,致敬
157,加油
158,欢迎回家
159,加油
160,回家吧，按照要求做好隔离就好
161,等你们
162,照顾好自己，早日回家啊
163,加油
164,加油！
165,欢迎回家
166,加油！
167,期望撤侨
168,海外都这样了，都不撤侨？？？把中国人接过来呀
169,今天国旗为平民而降，警报为烈士长鸣，我们忧伤，我们悲痛，但我们更要体会到现在的幸福生活来之不易，我们要化悲痛为力量，努力学习、全面发展，为祖国贡献自己的一份力量！武汉加油！中国加油！
170,加油
171,中国加油
172,都是祖国的孩子
173,泪目
174,欢迎回家
175,加油。。
176,欢迎回家
177,配合防疫规定，画重点
178,更多的是两边吃
179,回来吧，我们等你
180,中国的崽不要虚
181,加油
182,祖国强大！真的很感动
183,中华人民共和国万岁
184,泪目
185,宝贝们我们都跟你们在一起
186,这就是我现在还敢留在美国坚持上课的原因
187,宝贝们加油啊
188,我我我
189,加油
190,加油
191,加油
192,加油
193,致敬
194,接你回家也没见道歉的
195,早日回家，加油！
196,我敢说这次疫情以后，会有更多留学生回国报效祖国
197,加油
198,泪目
199,谢谢
200,愿平安
201,。。。今天。。。。。
202,丹总啊啊啊啊
203,眼泪不值钱
204,加油啊
205,自己的孩子，泪目了
206,愿逝者安息，愿生者奋发，愿祖国强盛，致敬英雄
207,泪目 
208,加油！
209,加油加油
210,祖国最棒
211,哭了
212,中国加油，武汉加油
213,致敬！
214,欢迎回家
215,加油！
216,感谢祖国！
217,加油
218,泪目
219,衣白褂，破新冠。赤子切记平安还
220,武汉加油
221,中国加油
222,兄弟们回家吧
223,加油
224,泪目加油
225,我姐妹还在夏威夷5555
226,加油！
227,好感动
228,加油啊
229,加油！
230,加油！
231,加油！！！！！！！
232,泪目
233,加油
234,欢迎回家
235,武汉加油，中国加油！
236,加油
237,加油！
238,加油
239,加油
240,致敬
241,此生无悔入华夏，来生再做中国人
242,加油！
243,加油
244,加油
245,加油
246,加油
247,中国加油！！！
248,加油啊
249,加油！中国！
250,加油
251,致敬
252,加油加油
253,真的该回家就回家吧
254,加油！
255,泪目
256,加油
257,谢谢你们热爱祖国，祖国也热爱你们！
258,想回家qaq
259,泪目
260,泪目
261,加油
262,感动
263,加油！
264,辛苦了
265,加油！
266,真的想回国啊！怕给你们添麻烦
267,加油
268,中国
269,中国
270,加油
271,加油！
272,加油
273,加油！
274,加油奥利给！！！！！
275,致敬
276,加油！
277,致敬
278,只要同胞在，就不会离开。泪目啊！！！
279,加油
280,注意安全！
281,加油 加油     加油         加油
282,加油
283,加油
284,加油
285,武汉加油
286,泪目
287,泪目
288,中国加油，世界加油
289,致敬
290,武汉市
291,加油
292,泪目
293,泪目
294,欢迎回家
295,欢迎回家
296,中国加油！！！
297,我在纽约，我想回家
298,祝平安
299,我来了
300,加油
301,有我一个
302,保护好自己
303,加油！
304,加油
305,在加拿大
306,我在英国考文垂，压岁钱2000我全捐了，几先不回来添麻烦啦
307,伟大的祖国
308,回家吧，家里安全。
309,加油！
310,加油！
311,加油 加油 
312,加油加油！
313,眼睛进砖头
314,平安，一定要平安！
315,@许可馨
316,。
317,欢迎回家
318,谢谢你们
319,他们为了不给祖国添乱才不回来的
320,加油
321,加油！
322,中国加油
323,加油中国！
324,致敬！
325,加油加油加油！！！
326,留学生太难了
327,祖国最棒
328,祖国的叫起来
329,为全世界加油！
330,留守的留学生哭了。想家
331,回不去啊
332,加油！
333,想回家，但是我宅的住！
334,中国天下第一
335,加油
336,等你回家
337,加油！
338,致敬
339,回来吧
340,加油
341,日本还准备打个加时赛
342,致敬
343,作为留英的一员 能做的就是照顾好自己 也利用自己的专业知识 为想归国的同学提供帮助
344,我b站灰了
345,我在新西兰没敢回国
346,感动啊
347,国是家，家是国
348,愿他们安全回来…
349,中国加油
350,此生无悔入华夏，来世愿做中国人
351,中国加油
352,回不了家www
353,加油!
354,加油
355,淦
356,加油！！！
357,加油
358,lj病毒
359,加油
360,泪目
361,谢谢你们，守护生命！幸得有你，山河无恙！你们是真正的英雄！是祖国的脊梁！是新时代最可爱的人！
362,加油！
363,此生无悔入中华！
364,加油
365,大家加油
366,泪目
367,同为炎黄子孙，希望你安全
368,我骄傲，我是中国人！！！
369,泪目
370,祖国不会拒绝自己的孩子回家
371,加油！
372,欢迎回来
373,我就希望，留完学，带着你的知识回来建设祖国，不要不回来了！
374,加油加油
375,海外留学生们加油！！一定要平安回来！
376,加油
377,加油！！！
378,加油！欢迎回家～
379,疫情当前，140万之一就不回去给国家添麻烦了
380,来了，早安呀
381,祖国万岁
382,4月4号，为英雄默哀
383,坐标旧金山，泪目了
384,魏妍姿要平安
385,能回就回吧！
386,谢谢，不给祖国添麻烦
387,没有人吗
388,So touching！
389,西班牙表示麻木了
390,学子们加油
391,日本留学生还要打加时。
392,泪目
393,看了那么多信息，我都没有哭得这么大声过。妈妈，等我学成就回家❤️
394,致敬
395,我想回来 但要上网课回不来…… 算了 不给祖国添麻烦
396,平安
397,安特卫普报道
398,不回家给祖国添麻烦o(*￣︶￣*)o
399,有志之士
400,谢谢祖国
401,中国加油
402,谢谢 在外面上学四年了，听到这句不会拒绝自己的孩子回家眼泪就不争气的流了出来
403,不会拒绝，哈哈哈哈哈
404,选择留下？不是被民航局被迫留下吗
405,超想回去啊
406,哭了
407,祖国万岁
408,作为一名留学生很感谢央视能够为这个群体发声
409,我爱中国
410,欧阳大夏丹
411,都柏林报道
412,心疼
413,？
414,打护士的那个已经被依法治好病后就刑拘
415,毕业后贡献祖国
416,I'm  Chinese!!!! I  love China!!!
417,加油加油！！
418,都是祖国的孩子
419,欢迎回家
420,都是祖国的孩子
421,欢迎回家
422,永远记得你还有祖国
423,外籍华人哭了，我一直认为自己是中国人，唉......
424,早点回家，我们等你
425,想回家555
426,对的
427,大家都要平平安安回家
428,我哭了 我爱祖国
429,回家
430,在德国等疫情过去，感谢大使馆发的口罩
431,中国永远是你们的家
432,抱抱
433,是的 我们打全场 还在当地做志愿者 不用担心
434,加油
435,140W分之一
436,好温柔呀
437,是的，海外留学生年轻人居多，要对他们有个态度
438,祖国加油
439,泪目！
440,回来吧
441,中国 加油
442,关键是要诚实
443,中国真暖心
444,我已安全到酒店隔离，自我感觉良好，感谢国家。
445,加油!
446,祖国，不会拒绝自己的孩子回家  这句让我彻底哭了
447,让孩子们回家吧
448,祖国真强大
449,加油啊！
450,谢谢
451,爱国的就来，不爱国的就滚！
452,大家都能平安就好了，希望大家平安！
453,加油呀！
454,泪目
455,不知道为什么就是想哭
456,感谢
457,哭了
458,注意安全，回家吧
459,在日留学生瞬间泪目
460,加油啊
461,加油啊
462,作为公民，别把个别行为带入整个留学生群体去黑就是对这些孩子最大的贡献了
463,致敬！
464,留守法国，感到了国家和国内学校的支持和帮助，中国万岁!
465,哭了
466,致敬
467,哇～～～我要哭啦
468,回家吧
469,回来吧！
470,老姐，记得平安回来！
471,我骄傲，我是中国人！！！
472,谢谢关心❤️
473,要加油啊
474,我还好，一直没回国，参加下半场
475,加油，保重身体！
476,我也是那140万之一
477,深切哀悼抗疫烈士和逝世同胞
478,深切哀悼抗疫烈士和逝世同胞
479,细理游子绪，菰米似故乡
480,欢迎回家
481,想哭
482,加油
483,中国加油
484,快回来吧，注意安全！！
485,我爱你祖国
486,死神畏白衣，今朝人尽回。
487,平安无事(ღ˘⌣˘ღ)
488,我哥就在德国
489,欢迎回家
490,等你们回家
491,加油
492,加油
493,这就是中国！！！！
494,泪目
495,加油
496,辛苦了❤️❤️❤️
497,加油啊！！
498,都加油
