,comments
0,我们是学校里报销
1,全靠自觉啊
2,待。。。
3,共存了，对自己都没影响？
4,张竣
5,前面盐酸西地那非的别跑，以为我不知道这是啥嘛
6,？？？？
7,让我想到盐酸雷宁替丁
8,天津核酸180
9,中国万岁
10,张竣是是哪个
11,拜复乐
12,其中格力的话本来人家没有感染上，后面被感染上了怎么办？
13,中国是真的以人民利益为主的大国
14,盐酸左氧氟沙星
15,留学的时候在米国做过脑CT，账单打下来总价5K自费五百刀不到，学校还是给买的最贵的那一档
16,所以这有啥可以恐慌的啊
17,无症状感染也是会传染别人的，但凡一个出现了症状他就能被带出来啊
18,居家一家最少三口全都是无症状感染者的概率有多小？
19,谁传谁很重要吗？已经都是患者了，都有传染性
20,有没有医保本来价格就不一样 地区之间有的费用也不一样 拿自己来揣度别人有多大意义呢
21,从居家隔离 到 应收尽收 还看不出来为什么吗
22,普通人哪记得了这些药名嘛
23,吃HCL哈哈哈
24,这声音不是玩P3D的UP主的声音
25,峻儿叔
26,叔还在央视？
27,有排面
28,叔来了
29,张竣
30,阿比多尔
31,哈哈哈哈哈
32,怎么回事？
33,小米手机
34,我还以为喝盐酸
35,人家有没有故意传播，弹幕口下留德
36,央视驻俄首席记者——叔
37,加油
38,没事，胃酸主要成分也是盐酸
39,盐酸？胃里就有啊【滑稽】
40,核酸152
41,叔前面好几期的节目都有他名字的
42,加油
43,也有可能你传给你爸的，毕竟你没有症状
44,伤寒玛丽
45,盐酸
46,盐酸。。。。。。
47,怪不得我看这条新闻的时候觉得声音这么熟！！！
48,叔啊
49,张竣
50,宁波发热门诊是150一次核酸 ct免费
51,弹幕里吐槽有医保上千美金的是说的美国，没看到他加了狗头吗
52,断句鬼才
53,盐酸。。
54,没学过，就少说话
55,早期不也是有吗，一直强调早期就好像没发生过一样。。。。
56,没毛病，盐酸杀病毒所以喝盐酸（狗头）
57,他这种病毒都威胁不了他的身体
58,这种治疗费用很少的
59,伤寒玛丽
60,丑表情
61,吓我一跳
62,无症状吃什么药
63,也可能是你传染给你家里人的。。。
64,盐酸酸性不强
65,想想米国检测3500美金
66,叔！
67,核酸不要钱 ct医保报销
68,看名字可不就是缺什么补什么呗
69,安排
70,吃盐酸，喝王水
71,别说了...别国两万起步
72,ct血常规不要钱的
73,我们四月七号开学
74,阿姨这么强
75,阿姨好强
76,来了叔
77,先天免疫？
78,血常规加CT一共370
79,吓死我了
80,夜也姓张
81,核酸一百多块钱
82,给叔排面
83,国家强
84,早日康复
85,我做了肺部CT是49块钱。。。
86,我做血常规+CT 才70块钱。。前面说六七百是认真的吗
87,？
88,来了来了
89,这就很尴尬了
90,假阳性
91,这就是天选之人啊，自然选择新人类
92,加油
93,核酸就200
94,比美国好了不止一点半点
95,Ct600
96,国家真好
97,免疫力强啊
98,观察日记真的好好看
99,来了
100,西地那非的别走
101,中国真好
102,好人！
103,抗体！
104,武汉加油
105,早日康复
106,小破站有心了
107,毛毛的
108,650到700，我也做了三项检测
109,盐酸可还行
110,这是小米
111,小米
112,中国真好
113,断句鬼才
114,食贫道噢
115,收拾
116,核酸520医生告诉我的
117,无症状感染者
118,我觉得我还挺牛逼的
119,加油！！！！！！！
120,那这样子不是很多人都没想到去医院……
121,吃的盐酸？
122,那是早期
123,武汉加油
124,叔！
125,伤寒玛丽
126,食贫道
127,我告诉大家，核酸检测是268，血液抗体检测是90
128,问的那个能看看简介吗
129,我说句实话，我们这里大约两百五。
130,目前国外还全都是居家隔离呢，而且根本没地毯式查找应收尽收
131,武汉那边是都要检测么
132,武汉加油
133,爱我中华
134,叔来了
135,国家真的好好啊
136,MIUI可还行
137,早日康复！
138,武汉加油
139,祝福
140,听音识叔
141,国家真好
142,这种全面检查靠医院是没有用的必须的有趣更加方便快捷的东西
143,这种东西靠医院是没有用的。必须有更加方便快捷的东西。
144,说没感觉看简介
145,。。
146,今天第一个视频
147,早
148,我莫得选择中国牛壁！
149,免疫系统没有过度反应
150,全黑白
151,无症状感染者大有人在，而且还是病毒携带者
152,无症状
153,身体真好
154,CT 血常规 核酸 300多
155,300多
156,盐酸不就是胃酸
157,无症状感染者具有传染性吗？
158,话得一口气说完
159,丑了 丑了
160,要当心啦！
161,早啊
162,武汉加油！
163,断句鬼才
164,也可能是ace2受体偏少
165,吓一跳
166,有医保才几十块！没医保一个CT400
167,无症状感染者？
168,早日康复
169,问题是，毫无感觉。
170,我们这边 80
171,大部分国家出了
172,这些都是小钱了
173,b站暗了？
174,也可能是你传染给他的
175,全黑白吓得我虎躯一震
176,那是国企吧？
177,有医保真好
178,每个人体质不一样
179,战地记者，还去过切尔诺贝利
180,战地记者
181,国家真的好啊！
182,这是什么手机
183,哇叔的名字
184,我们好像核酸140
185,560-1000左右、
186,有没有可能试纸问题，或者其他的病的阳性
187,你们看下简介在说话
188,张竣
189,别扯淡了，血常规+ct，自费非医保的600~800，过千美金你玩儿呢？
190,张竣—长的俊  是一种美好的愿望狗头
191,叔的名字暴露了
192,盐酸西地那非（）
193,断句鬼才
194,那没必要吧。。。。
195,病毒变聪明了
196,刚知道大佬 叫 张竣
197,赚了 没发病就产生抗体了
198,盐酸非索非那定片么。。。。
199,邪门了
200,这么这么多人才知道叔是中央电视台的?
201,张竣
202,那为啥没传染给妈妈？
203,假阳性？
204,尾？哈哈哈哈
205,叔真的有排面
206,进去多久……
207,食频道？
208,无症状又不是他自己的错啊？？搞不懂弹幕为什么要杠
209,都是多久没看过新闻节目的人啊……
210,这病毒太狡猾
211,CT 核酸各自220
212,这病毒应该是目前最难控制的病毒之一了，各种传染属性均爆表
213,哈哈哈哈哈哈哈哈哈哈
214,我们这复工体检全部做下来192块钱，但不包括核酸检测
215,国家真好！！
216,阿比朵尔
217,叔，叫张竣.....
218,人如其名叔真的长得很严峻（竣）
219,为什么不是你传染给他?你又没症状
220,叔本来就叫张竣啊，很奇怪吗
221,叔本来就叫张竣啊，很奇怪吗
222,叔本来就叫张竣啊
223,总台记者
224,不认得名字，但认得叔的声音
225,fan t
226,进去…
227,叔
228,国家真好
229,后边才听出来是叔
230,张竣！叔也姓张！
231,来了叔
232,叔回北京还要再隔离14天 而且还没结束 所以就没回去
233,吓人
234,核酸自费270左右
235,阿姨的基因比较强大
236,壮如牛
237,ct血常规应该要钱，核酸不要钱
238,那是很早的时候了，应收尽收之前
239,O型血好，找老婆找O型的。
240,祝早日康复
241,反向思考，有可能是你传染你爸的
242,？
243,？？？
244,那个繁体字的家伙yygq啥呢
245,缺啥叫啥
246,排面
247,来了来了
248,国家真好
249,叔叔叔 叔的观察日记好好看
250,叔！
251,这大喘气
252,国家把我们宠坏了
253,哥们 保护好自己
254,俊 还好哈哈哈
255,看样子无症状还是蛮危险的啊
256,我这边已经400多了
257,张俊！！！
258,等等！您传给叔叔的可能性比较大吧！阿姨都没事！
259,总台央视记者六个大字看不见？选择性失明？
260,明显数据不对
261,西方媒体:患者被迫吃盐酸
262,这味儿一听就是叔
263,盐酸绝了
264,ct几十吧?
265,好多繁体弹幕
266,也有可能你传染他的。。。
267,核酸260
268,吃盐酸23333
269,？UP接触了
270,咦？不是医保后还需要上千美元吗？（狗头）
271,早日康复
272,无症状是免疫系统和病毒势均力敌的情况，有可能发展为出现症状也可能隐性感染
273,总台记者饼叔
274,哈喽哈喽
275,盐酸
276,政策真的好
277,吓我一跳2333333
278,HCL啊
279,居家隔离是对的！集中隔离太困难。（密切接触人员）
280,叔这名字啊
