,comments
0,实在
1,说得好！
2,致敬
3,实诚，挺好
4,武昌社保局
5,好评！
6,好好工作赚钱就是做贡献就是爱国
7,多美好的人文光景
8,哈哈哈
9,实在
10,生活啊
11,谢谢！
12,谢谢你们
13,真实！但是的确打动人心
14,真汉子！！致敬！伟大的国家！伟大的人民！
15,太辛苦了！！
16,人间的烟火气！！我是多么的怀念！
17,哈哈哈哈哈哈哈哈
18,有点文化
19,想去吃小龙虾
20,武汉人真心值得尊敬
21,看起来好香
22,我妈妈也是这么说，她过年期间每天去医院上班，路上一个人都没有，也没有车，很恐怖
23,。。
24,泪目！！
25,真实
26,"实话,一个诺大的城市基本上没灯火那场景简直了"
27,实在
28,每次看董倩面对面 就一堆学生出来指指点点 佛了
29,2.0新世界
30,多采访这些平凡的英雄多好
31,是的
32,真实
33,方方那个老巫婆来看看 这才是中国人民
34,这家呀！
35,可能很大一部分，真的不是因为赚钱才坚持的。
36,朴实，真实
37,家里的神兽控制不住了
38,假的
39,假的
40,很温暖
41,很真实
42,哈哈哈哈神兽回笼
43,这样采访才真实啊
44,哈哈哈哈哈哈哈哈
45,说的对啊
46,大姐加油
47,辛苦了
48,果然实诚
49,害
50,过真实
51,央视宣传系列
52,真老实人
53,实在人
54,这家店在哪里，一定点
55,话糙理不糙
56,大姐太实诚了，我可太喜欢了。
57,好实诚
58,我很喜欢这个主持，她总能一语见地的把最真实的状态问出来
59,很辛苦
60,老板娘都累肿了
61,烟火又人间
62,这油亮的色泽，啊啊啊
63,我去武汉就去这家烤串
64,可以给我来碗热干面吗
65,前面穿防护服的有点齐步走的感觉哦
66,蛋黄的裙纸，蓬松的头发
67,哈哈哈哈
68,白天出去街上都是空荡荡的，很难受
69,尬不尬
70,可歌可泣的武汉
71,这才是真实的兔子！爱了！小钱钱真心甜 ：）
72,英雄也有智慧
73,老板好实在 湖北人都是英雄
74,好可爱啊
75,哈哈哈哈真实
76,武汉话
77,这个记者一直都这样……看多了就知道 经常有人觉得她态度不好
78,哈哈哈，这么大姐我喜欢！
79,漫步者打钱
80,真实的人民最可爱
81,口罩带上来了！
82,初五初六上班。。。真的整个城市看着好难受……
83,越实在越受人尊重  其实也做了很多好事  
84,太实诚了大姐，真实的人啊
85,可爱可爱
86,哈哈哈哈可爱
87,董卿不是主持人吗？
88,哈哈哈哈哈
89,这样实在的老板 老顾客去每次得少个3。5十块没问题
90,弹幕一群小学生
91,哈哈哈哈哈哈哈
92,真实
93,真是
94,都不容易
95,提的问题很好啊，怎么就不会了？
96,辛苦了
97,这个记者很聪明啊，很会引导人说话，怎么就是冲呢？
98,平凡的英雄
99,哈哈哈哈哈哈和
100,哈哈哈哈哈
101,哈哈哈哈哈哈哈哈
102,哈哈哈哈哈哈好实诚
103,国家光说往后延期，但是一个月一个月累计啊
104,对的
105,武汉加油
106,加油
107,老百姓是最真实最坚韧的！
108,感觉记者在逗老板娘
109,说得很棒
110,哈哈哈
111,骑手更辛苦啊
112,我擦，太真实了
113,很诚实
114,记者不会聊天
115,所以说劳动人民是最有智慧的！
116,你这被采访了，真就赚大了
117,这不是一般的黑
118,烟火气
119,实在人
120,加油
121,阿姨我很喜欢  很真实
122,是！  你们是英雄
123,我饿了
124,喜欢
125,一个月小一万啊
126,可怜天下父母心
127,已点外卖
128,离我好近，过两天去吃
129,小东门
130,央视给你做广告
131,道家无为无不为
132,反向思维在民间
133,哈哈哈哈哈哈
134,我好讨厌记者诱导式发问
135,哈哈哈哈哈哈哈哈哈这个阿姨太真实了
136,正月十五上班，步行，整个大街就两三个行人，真的内心非常慌张
137,看这些都想哭 啥泪点
138,我们也希望
139,哈哈哈哈
140,很真实
141,招财猫
142,房东不要生活了？人家也有各种支出，没有房租人家咋活
143,喜剧来源悲剧
144,还图什么？做生意你说图啥？
145,口罩有点小
146,太累了
147,群居动物
148,实诚啊我天
149,武汉加油武汉加油
150,确实记着这提问导向性是太明显了~奈何老板“不上道”啊
151,这才是货真价实的武汉日记
152,面对面，一直这个风格...比较冲
153,董倩采访都是这样，看过面对面的就知道...特别的套路
154,这句话问的………
155,淡黄的裙子，蓬松的头发
156,我会来的
157,这样的采访很好
158,棒
159,好
160,人家想休息呗，董倩老瞎问
161,说得好
162,我以后必去这家店
163,真实
164,哈哈实诚
165,点赞
166,真的是这样  
167,这半夜看得我
168,加油
169,真实
170,说的好，
171,不赚钱人怎么生活啊 朋友
172,实在
173,有信仰的老板
174,新冠状病毒去死
175,实诚不好吗。
176,中国加油
177,武汉加油
178,是的！
179,马上就到了，可以喝啤酒了
180,英雄的城市！英雄的人民！
181,实诚
182,真实
183,武汉特色烟火气
184,不喜欢主持人腔调
185,钓人胃口。。。
186,不煽情，很坚强
187,肉好少
188,到底减没减呢最后
189,真实
190,减房租？房东也要过活呀！
191,武汉加油
192,神兽归笼
193,武汉不愧是英雄的城市，武汉人民不愧是英雄的人民
194,很真实，武汉确实这样
195,董倩这次也是拼了
196,武汉奥力给
197,人情味
198,就冲这广告，不能关
199,武汉雄起
200,赤壁这边都是封的
201,在？为什么没有被封？
202,为什么没有被封？
203,记者配不上这大姐
