,comments
0,太好听了
1,jolin
2,公主
3,泪目
4,Jolin
5,！！
6,致敬
7,加油
8,加油
9,全球加油
10,致敬
11,中文版是佟丽娅和蔡徐坤的《山河无恙在我胸》
12,哇哇哇
13,fighting
14,不忘初心，砥砺前行
15,点赞云南广播电视台
16,点赞云南广播电台
17,中国加油，世界加油
18,Jolin！！
19,加油，一切都会好起来的
20,人类命运共同体
21,加油
22,加油
23,致敬
24,加油
25,加油！
26,中国加油
27,加油
28,致敬
29,有中文版的，这是国际版
30,建议不要听中文版
31,Eason！！没想到是这样听到你的歌声
32,jolin和eson因为这个视频被台湾人骂……
33,jolin唱的好好
34,好好听哦！可是拍摄蜜汁角度
35,致敬
36,山河无恙，人间皆安
37,致敬
38,中国加油
39,致敬
40,中国加油，陈奕迅、蔡依林好样的
41,我林好美
42,世界加油
43,我林太温柔啦！中国加油！世界加油！
44,蔡依林冲鸭！中国加油！
45,蔡依林
46,蔡依林好样的
47,去时风雨锁寒江，归来落樱染轻衫
48,好听
49,神仙转音
50,世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！
51,世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！
52,世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！
53,世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！
54,世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！
55,世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！
56,世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！
57,世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！
58,世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！
59,世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！
60,世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！
61,世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！
62,世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！
63,世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！
64,世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！
65,世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！世界加油！
