,comments
0,衣服是西装，裤子是沙滩裤，拖鞋
1,恭迎美国突破一百万。
2,现在国内口罩厂都已经破产了，国外还没造出来。
3,爱你，中国
4,记得五星好评！
5,质量一定要过关
6,亲～欢迎到店自提哟～没有中间商打劫
7,团课来啦～
8,众志成城
9,加油加油
10,兔子崛起
11,233
12,汉语有些语义，英语现在都没发明出来
13,泪目
14,中国加油
15,骄傲!!
16,中国制造NB
17,不自提会被打劫快递的
18,666
19,中国加油
20,发中文
21,青年大学习既视感hhh
22,大国担当
23,加油
24,先说好不享有七天无理由啊！
25,中国万岁
26,可是并没有几个国家帮助我们呀，，
27,只收黄金！不要美元
28,记得五星好评哦，亲
29,厉害了我的国
30,祖国万岁
31,要写MADE IN CHINA！！！！
32,还省了运费
33,这估计是被劫怕了
34,给祖国投币！
35,同球自提
36,不限制，但是先给钱
37,中国加油
38,自提是被逼无奈哈哈哈哈哈
39,从第一名逆袭到第一名
40,你管这叫逆袭？！
41,180万了
42,阿中真棒
43,法国?
44,兔子太棒了
45,五星好评
46,168了
47,厉害了我的国
48,我们的人道主义有时候真的很让我们吃亏和受气
49,只收RMB
50,中国的大国担当
51,国际社会的知识:国家间的共同利益是国与国合作的基础
52,政治考点:人类命运共同体
53,美国就49万了
54,怕被抢
55,泪目
56,深圳宝安机场每天有好多国外飞机来运货的
57,加油
58,祖国万岁
59,不好意思，不包邮
60,怕被抢了
61,祖國加油
62,有点点感动的想哭
63,民族自豪感
64,不包邮
65,制度优势！
66,就怕吃了还骂人
67,自提，不包邮
68,美帝站出来挨打！！！
69,美帝站出来挨打！！！
70,感觉像在上团团课程
71,记得五星好评哦⊙∀⊙！亲＾3＾
72,法国那个飞行员被隔离了
73,先给钱
74,美国提供了三分之一
75,小钱钱
76,上帝会保佑美国的
77,听说军机装得多
78,我爱祖国！
79,用人民币结算
80,ohhhhhhh
81,工业是人类的希望
82,怕截胡哈哈
83,实业兴国
84,加油
85,小钱钱
86,刚强小哥哥！
87,刚强！！！
88,怕被截胡
89,前面的错了，是不包邮，全球自提。
90,打个99折吧
91,真的是行行跨界了
92,六老师说了：什么叫国际巨星阿？
93,小心美国，美国在蠢蠢欲动
94,亲，记得给个五星好评
95,大国担当
96,怕被截胡
97,祖国万岁
98,给个面子
99,怕被劫了
100,骄傲
101,瑞士，自提可还行
102,中国好棒！！
103,中国加油
104,大国风范
105,大国担当
106,加油赚小钱钱
107,挣小钱钱了
108,我是中国人我骄傲
109,厉害了我的国（哈哈哈哈哈骄傲突破天际突破世界）
110,某鹰酱
111,祖国万岁
112,好，实在是太棒了
113,小本买卖，概不赊账
114,说你呢老美
115,大发！
116,不自提会被劫走
117,说不好的别用啊
