,comments
0,热干面我来了
1,热干面出院了
2,枯了，还是祖国更幸运。
3,欢迎归队
4,恭喜
5,恭喜！
6,明天更好
7,武汉你好！
8,祝贺武汉
9,欢迎回来
10,久违了 武汉
11,真的是拼命
12,好感动啊啊啊啊啊啊
13,恭喜
14,恭喜
15,武汉，你好。
16,恭喜恭喜！
17,开城大吉
18,解除封印，恭喜恭喜
19,武汉
20,真好，谢谢
21,恭喜恭喜
22,bgm充满希望
23,刀削面欢迎热干面归队
24,开城大吉
25,恭喜
26,恭喜
27,泪目
28,武汉你好！
29,开门大吉，武汉加油
30,加油武汉
31,武汉加油！
32,久违了
33,祝福武汉，开城大吉
34,明天更好
35,武汉，你好！
36,恭喜
37,好久不见
38,欢迎回来 武汉
39,ohhhhhhhhhhhhhhhh
40,开城大吉，明天更好
41,开城大吉！！
42,加油
43,在见武汉
44,冲冲冲
45,冲冲冲
46,武汉加油加油加油
47,欢迎热干面回归
48,武汉你好
49,恭喜
50,终于，奈斯
51,恭喜回来
52,开城大吉
53,恭喜
54,欢迎回归
55,终于
56,开城大吉！！
57,恭喜武汉
58,恭喜！
59,热干面好久不见
60,恭喜恭喜
61,好久不见
62,武汉，你好啊
63,大吉大利
64,ohhhhhhhhhhhhhhh
65,致敬武汉！
66,恭喜热干面！
67,开城大吉
68,中国❤❤❤❤❤
69,恭喜
70,泪目
71,开门大吉1！！
72,加油啊啊啊！
73,哇啊啊啊啊恭喜恭喜热干面回归
74,真的很好
75,全国人明 新年快乐 
76,开城大吉
77,加油加油
78,感谢
79,愿天佑我华夏平安！
80,愿天佑我华夏平安！
81,愿天佑我华夏平安！
82,愿天佑我华夏平安！
83,恭喜恭喜
84,你真好看
85,欢迎热干面！
86,恭喜！
87,ohhhhhhhhhhhhhhhhhh噢
88,ohhhhhhhhhhhhhhhhhh
89,武汉加油！！！！
90,武汉加油
91,恭喜武汉
92,欢迎回来，武汉
93,湖北早上好
94,恭喜ヾ ^_^♪
95,加油
96,泪目
97,恭喜恭喜
98,恭喜恭喜
99,恭喜恭喜
100,武汉加油
101,开门大吉
102,武汉精神
103,热干面辛苦啦！！！
104,开城大吉
105,然而还是不让出去。
106,赞！
107,"恭喜武汉,天佑中华"
108,辛苦了！大家一起继续加油！
109,那叫不服桌
110,棒棒棒
111,恭喜
112,ohhhhh
113,ohhhhhhhhhhhhhh
114,周黑鸭
115,感谢各位医护人员和全体中国人民！
116,武汉，好久不见！
117,武汉，好久不见！
118,恭喜
119,武汉加油
120,ohhhhhhhhhh
121,我要去武汉吃三鲜豆皮
122,开城大吉
123,恭喜
124,ohhhhhhhhhhh
125,热干面辛苦啦
126,恭喜恭喜恭喜
127,恭喜
128,ohhhhhh
129,结束了，我们胜利了
130,nice
131,恭喜！一路走来不容易！
132,开城大吉，明天更好
133,直播间来的
134,欢迎大武汉回归！
135,见证历史
136,感谢武汉
137,见证历史
138,久违了，武汉
139,开城大吉！
140,加油！
141,明天更好
142,广东迎来严峻的防控
143,哈哈哈哈哈
144,00:00来报道！
145,恭喜
146,就是现在
147,前面的笑死我了
148,恭喜啊～
149,还有三分钟
150,我听见我小区门口在拆那个隔离挡板的声音了
151,恭喜ヾ ^_^♪
152,开城大吉
153,泪目
154,武汉加油！！
155,别出来转啊！！！！
156,想了半天，她想说的是不服卓的精神hhhhhh
157,恭喜
158,武汉加油！！
159,8号也是我的生日  最有意义的一次生日与武汉重生
160,辛苦武汉同胞了
161,武汉加油！！！
162,武汉加油
163,ohhhhhh
164,恭喜
165,恭喜武汉！
166,开城大吉
167,祝福
168,恭喜恭喜
169,还是要谨慎
170,开城大吉！
171,加油！胜利在望！
172,武汉很棒，中国最强
173,开城大吉
174,恭喜
175,你好，武汉！
176,我不管，我要吃热干面
177,恭喜恭喜
178,中国加油，武汉加油
179,你好 武汉、
180,很好
181,泪目
182,加油
183,泪目
184,真好
185,太好了
186,来干杯热干面
187,英雄城市以你们为荣
188,恭喜
189,太好啦！
190,开城大吉
191,恭喜
192,祖国万岁
193,加油武汉
194,热干面，等我
195,又一次见证了共和国传奇故事
196,加油
197,辛苦武汉同胞了
198,人民万岁≧▽≦
199,总算快解封了，湖北恩施的学生都不知道什么时候开学
200,开城大吉
201,ohhhhhhhhhhhhh
202,ohhhhhhhhhhhhhhh
203,武汉nb，中国nb！
204,恭喜
205,大家不要忘了看直播哦
206,恭喜
207,加油加油
208,祝福武汉，恭喜
209,万岁！
210,久违了，热干面
211,233塑料武汉话
212,开城大吉，明天更好
213,这普通话说得太好听了
214,开城大吉
215,开城大吉
216,武汉加油
217,感谢
218,叫不服做
219,开城大吉
220,武汉加油
221,开城大吉
222,ohhhhhhhhhhhhhh
223,开城大吉
224,开城大吉
225,中国人民无敌
226,刚订了回家的车票  
227,中国无敌！
228,加油鸭
229,加油
230,可以去汉口找美食了！！！！！！
231,啊啊啊啊啊，热干面我来啦！！！
232,今天跨年夜
233,武汉牙仔呢？
234,偶也
235,武汉加油！！！
236,开城大吉！！！！
237,太棒了！我爱你中国
238,哟呼
239,o“hhhhhhhhhhhhhhhhhhhh
240,武汉加油鸭！
241,恭喜恭喜
242,恭喜！！！
243,恭喜武汉归来
244,加油奥利给
245,？？
246,好美
247,nice！！！
248,开城大吉，明天更好！
249,开城大吉，明天更好
250,？？？
251,记得看直播
252,武汉加油
253,繁华很好
254,开城大吉！！！！！！！！！！！！！
255,春光未老
256,ohhhhhhh，不是武汉加油，是武汉自由!
257,欢迎回来
258,ohhhhhhhhh
259,好棒
260,武汉加油
261,来了来了
262,？？？
263,ohhhhhhhhhhhhhhhhh
264,泪目
265,武汉人，我要在家憋死了
266,恭喜
267,ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
268,还有一小时！
269,还有一小时
270,欢迎各位来武汉看樱花
271,想念武汉的热干面，武大的樱花
272,武汉是个英雄的城市，要哭了5555
273,热干面要出锅了
274,开城大吉 明天更好
275,恭喜武汉人民，加油啊
276,恭喜
277,恭喜啊
278,武汉加油
279,OHHHHHHHHHH
280,咋听的像河南话doge
281,武汉你好啊！
282,解封大吉
283,开城大吉
284,虽然解封但是依然要做好严格防护啊
285,泪目
286,加油呀！！！
287,不服天（战国嘛  懂的）
288,Nice
289,不服作。
290,驴肉火烧为热干面打call
291,热干面要继续加油！
292,恭喜
293,ohhhhhh
294,开。城。大。吉
295,河北恭喜武汉
296,恭喜恭喜
297,ohhhhhhhhhh
298,开了开了，光谷我来了
299,开城大吉，明天更好
300,泪目
301,ohhhhh
302,欢呼吧小宇宙
303,庆祝
304,哭了
305,加油！
306,恭喜热干面！！！
307,武汉伢！都出来闹啊
308,终于啊
309,ohhhhhhhhhhhhh
310,加油
311,武汉加油！！！！！！！！！！！！！！！
312,ohhhhhhhhhhhhhhhhhh
313,还要警惕，保护自己
314,ohhhhhhhhhhhhhhhhhh
315,ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
316,终于要来了！
317,愿永无疫情 愿物阜民丰 愿国泰民安
318,好美啊
319,感谢祖国，感谢中国人民解放军，感谢人民
320,赛高
321,中国加油
322,武汉加油！中国加油！
323,解放了
324,等会记得看直播
325,为什么没有弹幕呢？  还要恭喜武汉！
326,ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
327,漂亮
328,热干面哭了
329,我们胜利了！！！
330,气质！
331,想哭。
332,武汉久违了
333,武汉加油
334,ohhhhhhhhhhhhhhhhhhhhhhh
335,我自由了！！！！！！！！
336,这么好看的梓萌封面拍成表情包了
337,ohhh
338,恭喜武汉
339,恭喜啊
340,冲鸭
341,欢迎回来，武汉
342,yehyehuyeh
343,恭喜恭喜
344,加油
345,欢迎欢迎
346,武汉挺住了！
347,加油
348,哇奥
349,欢迎～
350,热干面同志，今晚，我们等你！
351,欧力给
352,祝贺
353,祝福武汉
354,好
355,ohhhhhhhhhhhh
356,武汉，你好！
357,真好
358,久违了
359,热乎的
360,祝福武汉开启祝福武汉开启
361,恭喜恭喜
362,狂喜
363,武汉加油
364,耶耶耶耶
365,武汉加油！
366,第一条！
367,祝福我们的英雄城市
368,开城大吉！
369,今天好早！
370,曾经在武汉汉口江岸区堤角住过几年
371,我们终于等到了
372,这是中国人民共同努力的结果
373,来啦来啦
374,祝福武汉
375,ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
376,要康复啦
377,武汉！！！
378,加油
379,如果奇迹有颜色，那一定是红色！！！
380,加油
381,终于来了
382,开城大吉
383,来了来了
384,恭喜
385,终于结束了！
386,武汉加油！
387,中国万岁！
388,耶
389,武汉加油
