,comments
0,卧槽饿了
1,不错
2,很好听
3,bgm汉阳门花园
4,武汉，好久不见
5,武汉，好久不见！
6,好久不见
7,经常坐的二号线诶
8,武汉，好久不见，你还好吗
9,感谢祖国
10,好久不见啊，武汉
11,湖北人来啦 在欧洲好想家
12,好久不见
13,武汉，好久不见
14,武汉，好久不见
15,武汉，好久不见
16,武汉，好久不见
17,好久不见甚是想念
18,好久不见，武汉
19,有华科吗
20,光谷广场啊
21,好久不见，石楠花
22,好久不见，石楠花
23,石楠花又开了
24,武汉好久不见
25,好久不见…
26,好久不见，别来无恙！
27,武汉，好久不见
28,你好武汉
29,sijin武汉，蛮想li
30,快来武汉吃热干面
31,这是武汉话啊
32,武汉，好久不见！
33,武汉，好久不见
34,汉阳门花园！！！
35,好久不见
36,武汉，好久不见！
37,武汉好久不见～
38,武汉，好久不见！
39,武汉，好久不见
40,武汉，好久不见
41,武漢好久不見~
42,武汉，好久不见
43,终于等到你武汉，我可爱又英雄的一“面”
44,武汉人过早的样子，赞不停
45,久久不见好想见
46,武汉，好久不见
47,好久不见
48,武汉，好久不见
49,武汉，好久不见
50,你好武汉
51,是石楠花啦！
52,武汉，好久不见
53,武汉，好久不见
54,重新认识一下，你好，武汉
55,石楠花又开了
56,热干面
57,前面石楠花哈哈哈哈哈哈
58,武汉，好久不见
59,武汉，好久不见
60,好久不见
61,好久不见
62,爱你
63,武汉 好久不见
64,好久不见
65,武汉好久不见
66,春天石楠花
67,好久不见
68,好温暖啊
69,武汉，好久不见，欢迎回来
70,啊啊啊啊啊油焖虾
71,石楠花开了！！！！！
72,三个多月不见啦，武汉好想你
73,bgm：汉阳门花园
74,武汉！好久不见！
75,好久不见，甚是想念
76,武汉，好久不见
77,想哭
78,好久不见
79,Hi  朋友又见面了
80,武汉，好久不见！
81,想吃
82,欢迎回来！
83,好久不见！
84,好久不见！
85,来了来了
86,知音号
87,武汉，好久不见
88,现在是到佛祖岭了哦
89,BGM：汉阳门花园
90,好熟悉呀   快回去啦
91,武汉，好久不见
92,武汉，好久不见，蛮想你
93,武汉，好久不见
94,武汉，好久不见，蛮想你
95,山河依旧
96,回来了
97,好久不见 武汉
98,武汉，好久不见！
99,欢迎回来
100,武汉，好久不见
101,我爱的武汉
102,武汉，好久不见
103,前面说潜江小龙虾的，潜江人来了。现在在广州呢
104,武汉好久不见
105,武汉，好久不见！
106,武汉，好久不见
107,好久不见
108,武汉，好久不见
109,武汉好久不见
110,好久不见我的武汉！
111,一定要去见见
112,一定要去见见
113,好久不见
114,好久不见！
115,好久不见
116,武汉好久不见！
117,好久不见
118,好   久   不   见
119,热干面来一碗！
120,武汉，好久不见
121,有时间去玩玩
122,好久不见
123,武汉，好久不见
124,武汉好久不见
125,石楠花等我，都是石楠花，石榴花我是没见到哈哈
126,好久不见
127,好久不见
128,武汉好久不见
129,武汉好久不见
130,想吃
131,好久不见
132,武汉 好久不见！
133,好的！
134,武汉，好久不见
135,武汉，好久不见，欢迎回来
136,武汉欢迎回家！
137,最熟悉的二号线
138,好久不见 武汉
139,好久不见
140,这种端着吃热干面的才有灵魂
141,武汉，好久不见
142,好久不见！
143,好久不见！
144,好久不见！
145,好久不见！
146,好久不见！
147,好久不见！
148,好久不见！
149,好久不见！
150,好久不见！
151,好久不见！
152,好久不见！
153,好久不见！
154,好久不见
155,好久不见
156,好久不见
157,武汉，好久不见
158,武汉，好久不见!
159,武汉，好久不见
160,武汉，好久不见
161,武汉，好久不见
162,武汉，好久不见
163,武汉，好久不见
164,武汉，好久不见
165,武汉，好久不见
166,好久不见，武汉！
167,好久不见
168,武汉好久不见
169,武汉，好久不见！
170,好久不见
171,武汉，好久不见！
172,好久不见，武汉
173,武汉，好久不见
174,武汉，好久不见！
175,好久不见
176,武汉好久不见！
177,            武汉，好久不见
178,武汉，好久不见
179,好久不见
180,春天石楠花，左右为楠
181,石楠花
182,武汉好久不见
183,武汉，好久不见
184,武汉，好久不见！
185,好久不见
186,好久不见！
187,好久不见
188,武汉，欢迎回来！
189,好久不见
190,武汉，好久不见！
191,武汉，好久不见！
192,武汉，好久不见！
193,武汉，好久不见！
194,武汉好久不见
195,好久不见
196,好久不见
197,武汉，好久不见
198,武汉，好久不见啊
199,武汉，好久不见
200,好久不见
201,武汉，好久不见!
202,好久不见
203,欢迎回来
204,武汉，好久不见
205,好久不见！！！
206,武汉，好久不见
207,第一条弹幕送给英雄武汉
208,好久不见呀
209,武汉好久不见
210,武汉好久不见
211,欢迎回来武汉
212,泪目
213,好久不见
214,武汉，好久不见！
215,很好听
216,武汉好久不见
217,武汉，好久不见
218,武汉你好
219,我爱武汉，虽然我是长沙人
220,武汉，好久不见
221,我爱武汉，虽然
222,佛祖岭
223,好久不见，念您多日
