,comments
0,？？？？？？？？
1,有点帅
2,隔离的你笑死我了
3,终于守得云开见月明
4,辛苦了，谢谢你们
5,第一辆车被反超了
6,？？？？
7,飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞
8,辛苦您们
9,小姐姐，不哭
10,我也是
11,谢谢你们的付出！
12,不是那啥，你这湖南人口音这么这么大碴子味儿啊？
13,加油
14,等不了一分钟，亲情，中国人的亲情！
15,泪目
16,溜了溜了
17,加油
18,？？？？？
19,加油
20,隔离
21,冲鸭！
22,谢谢！！
23,人间没有永恒的夜晚，世界没有永恒的冬天。
24,泪目
25,哈哈哈
26,英雄城市
27,一路顺风
28,？？？
29,加油
30,武汉加油
31,恭喜你们
32,泪目
33,好
34,哈哈哈哈
35,哈哈
36,记着故意这样问问题
37,安抚好激动的心情，一路平安！一生平安！
38,辛苦你们啦！
39,辛苦了
40,长得蛮帅
41,？？？？？？
42,老乡
43,？？？？？？
44,泪目
45,泪目
46,欢迎回家
47,加油！
48,出去还会被隔离
49,哈哈哈哈哈哈哈
50,哭哭
51,他说的是到黄冈
52,哈哈哈一路顺风啊
53,哈哈哈，一路顺风啊
54,到黄冈+1
55,泪目
56,？？？？？？？
57,泪目
58,辛苦了
59,武汉加油！
60,见证历史
61,加油
62,欢迎回家
63,欢迎回家
64,都好起来了
65,加油！！！
66,哈哈哈哈哈哈哈哈哈哈
67,谢谢辛苦了！
68,辛苦了，谢谢你们
69,向谁致敬
70,辛苦了
71,湖南人东北口音
72,东北人？
73,泪目
74,  武汉加油
75,辛苦了
76,欢迎回来
77,泪目
78,一路顺风
79,阿妈粽
80,一个小时绝对汉川的
81,哈哈哈哈哈哈哈湖南的
82,泪目
83,辛苦了，谢谢你们
84,加油
85,加油
86,老乡啊
87,厉害了我的国
88,泪目
89,？？？？
90,辛苦了！！！！
91,谢谢你们
92,谢谢你们
93,加油
94,不是东北口音啊，我妈湖南的就这个口音
95,武汉
96,？？
97,路上小心，你们忍住不闹，也是英雄，互相体谅
98,？？？？
99,飞吧  
100,他们一定有很想见的人吧
101,一切都会变好
102,特别感动
103,看着不自觉笑了
104,是啊
105,泪目
106,老乡啊！
107,？？？？
108,？？？
109,湖南人在这，抱抱你们
110,？？？？
111,欢迎回家
112,加油
113,？？？？？？
114,加油
115,恭喜
116,？？？？？？
117,？？？？？？？？
118,泪目
119,谢谢你们！
120,床板断了还可以
121,声音好听
122,加油！！！
123,武汉加油！天佑中华！
124,真好
125,哭了，我想回武汉工作了
126,妈耶，要流泪了
127,刚刚后面那个人口罩没带好
128,哈哈哈哈哈哈
129,？？？？
130,？？？
131,太开心了
132,好帅
133,致敬
134,白天就10小时了
135,泪目
136,梁朝伟？
137,哈哈哈
138,太激动
139,致敬
140,泪目
141,谢谢你们
142,药水哥
143,热干面我来了
144,旁边的媳妇有些惊了
145,好久不见
146,好棒
147,我也是湖南的
148,哈哈哈哈
149,哦豁，多说点
150,梁朝伟
151,？？？？？？？
152,腰好
153,辛苦了
154,泪目
155,辛苦了
156,？？？？？？
157,加油！
158,哈哈哈哈哈哈
159,辛苦了各位
160,泪目
161,想家了
162,开车？
163,武汉好久不见
164,恭喜你们！！！！！！！！
165,英雄们回家了
166,床板睡断可还行
167,哈哈哈哈哈
168,加油
169,辛苦了，谢谢你们
170,床板，认真的吗。哈哈哈哈
171,辛苦了，谢谢你们
172,怎么有点大碴子味儿呢233
173,操着东北口音的湖南人
174,开心啊
175,激动啊
176,ohhhhhhhhhhh
177,眼神有念想梁朝伟
178,哈哈哈哈哈
179,武汉你好！
180,武汉你好
181,中国加油
182,开哥！
183,哈哈哈哈
184,武汉加油！
185,哈哈哈哈哈
186,加油
187,咳嗽！隔离隔离
188,辛苦了
189,泪目
190,床板睡断？有点猛哈
191,哈哈哈
192,哈哈哈
193,哈哈哈哈
194,湖南人为什么有东北口音。。。
195,泪目
196,湖南老乡
197,加油
198,hhhhhhh想家
199,飞飞飞飞
200,感动
201,同湖南人
202,回来了～
203,哈哈哈哈腰好
204,？？？？
205,加油
206,致敬英雄
207,辛苦啦
208,感觉到了大家回家的期盼
209,梁朝伟？
210,这口音有些串呀
211,武汉加油！
212,武汉加油！
213,真好
214,断床板。。。
215,加油
216,中国加油
217,泪目
218,加油
