,comments
0,毛毛的歌
1,太好了 平凡又美好
2,毛毛?
3,地铁扫二维码是为了记录轨迹，方便追踪密切接触者的
4,毛毛？？？？哈哈哈
5,现在才知道 原来这样平凡的生活 居然如此可贵 以前的我们 可谓身在福中不知福了
6,好久不见呐
7,好久不见
8,这什么歌呀
9,愿全世界平安
10,武汉人技能边走路边吃热干面
11,熟悉的味道回来了
12,莫名泪目
13,生活的声音
14,五一带爸妈出去溜达一圈
15,烟火气息
16,好久不见 武汉
17,你好，武汉
18,英雄的城市
19,欢迎回来
20,欢迎回来
21,江边的玫瑰花都要盛开了
22,bgm好评
23,中国加油，武汉加油
24,毛毛继续努力，武汉是个英雄城市！
25,毛毛排面
26,在这拉练过
27,想吃热干面了
28,平平淡淡的生活真的很美好
29,武汉加油
30,最平凡的一天啊
31,好配！
32,扫二维码为了实名认证，追踪每个人的乘车记录
33,欢迎回来
34,好好啊
35,真好
36,又是平凡的一天呢！
37,武汉等我回去。
38,武汉好久不见
39,欢迎回来。
40,欢迎回来
41,感动了
42,生活的气息
43,新年快乐
44,这是最幸福的一天啊
45,毛毛呢哈哈哈哈
46,武汉加油！
47,最美好的一天
48,好久不见，武汉。
49,毛毛毛毛毛毛毛毛毛毛不易
50,毛毛毛毛毛毛毛
51,平凡的一天，多么美好
52,平凡最難得
53,平凡的一天也是最珍貴的一天
54,泪目
55,平凡的一天挺好
56,都要好好的
57,以前在武汉读过书，好想热干面
58,平凡的一天
59,眼睛发酸！！！
60,欢迎回来
61,都回来啦
62,突然就哭了
63,学生党还在家
64,武汉，你好呀！
65,地铁实名登记，深圳也是
66,欢迎回来，武汉
67,加油
68,灾难让我们明白，拥有平凡就是庆幸
69,武汉好久不见
70,这是最平凡的一天呀，你也想要吗
71,表白bgm
72,平凡的一天啊
73,真好
74,泪目
75,毛毛呢，哈哈哈
76,感动
77,武汉加油
78,好久不见，一切平安
79,加油啊！！！！
80,武汉加油！
81,这个短片给了这首歌新的定义 感动
82,多好啊
83,想要啊
84,毛毛！
85,谁不喜欢那个平凡的一天啊
86,收钱吧打钱
87,泪目，市井气息如此感人是怎么回事
88,好久不见甚是想念
89,武汉的烟火气，回来了。
90,烟火气息的武汉回来了
91,毛毛
92,平凡的一天呀。
93,真好
94,喜欢毛毛
95,这歌真的应景啊
96,平凡的日子就是最好的日子
97,想念小巷里的烧烤
98,愿今后的每一天平凡却不平庸
99,只有晚风轻拂着脸颊
100,生活可以不那么复杂❤
101,背景音乐和画面很适合
102,美好宁静
103,充满烟火气的平凡的一天
104,这是最平凡的一天啊
105,平凡的一天何其难得啊
106,平凡的一天也是珍贵的一天
107,武汉的平凡的一天
108,久违的笑脸啊
109,好适配的bgm
110,加油啊
111,光听前奏就有种要流泪的感觉了
112,好久不见啊
113,武汉，好久不见
114,泪目
115,泪目
116,毛不易！！
117,bgm:毛不易原创《平凡的一天》
118,这首歌表达了普通人的心声。
119,武汉加油
120,欢迎回来
121,只有晚风轻抚着脸颊
122,平凡的一天!
123,毛毛的歌毛毛的歌充满人文关怀
124,武汉加油！！
125,毛不易啊啊啊啊
126,好开心哈哈哈哈哈
127,欢迎回来
128,回家了
129,温柔的声音，温暖的一天
130,毛不易我爱你 我好爱你
131,平凡的一天  我爱你毛不易
132,是毛毛的平凡的一天啊啊啊！
133,平凡的日子里平凡的你我走的平凡的路过着平凡的每一天却建成了不平凡的大中国
134,哭了 抱抱武汉
135,想哭了
136,第二碗
137,很开心
138,平凡最可贵
139,欢迎回来
140,辛苦了武汉！
141,平凡的一天最是难得
142,毛毛排面
143,不平凡的2020不平凡的中国
144,这个秋千好好玩
145,真的哭了
146,毛毛毛毛毛毛毛
147,美好
148,这笑声好美好
149,平凡的一天 武汉的一天
150,这首歌很适合这个视频
151,好好听
152,毛老师！
153,武汉！欢迎回来
154,毛毛
155,太温暖美好了
156,hhhhhhh，狗狗叫毛毛
157,毛毛!
158,毛不易啊
159,毛毛
160,好久不见
161,武汉加油❤
162,啊啊啊泪目
163,给毛毛排面
164,毛毛
165,这平凡的一天，英雄的人英雄的城，泪目
166,欢迎回来~
167,毛毛！
168,欢迎回来！
169,太应景了
170,哇 烟火气 市井气
171,欢迎回来，武汉
172,奥利给
173,眼泪不争气的流下来
174,来之不易的喧闹
175,欢迎回来
176,平凡的一天是最完美的一天啊
177,有点美噢
178,愿我们都能享受到属于自己的平凡的一天。
179,武汉加油
180,武汉最棒
181,武汉好久不见
182,边走边吃才有那味
183,看哭了
184,平凡的一天 完美的一天
185,但愿能永远过这样平凡的每一天
186,人间烟火气最是珍贵
187,武汉真的不容易，大家辛苦了
188,很喜欢的歌
189,平凡温暖的日子，朴实走心的歌，真好
190,毛毛排面
191,平凡的日子其实也发着光
192,这是最平凡的一天啊
193,想死了!
194,想死了!
195,都戴着口罩
196,二维码等登机你做过这列车啊
197,欢迎回来
198,武汉地铁现在扫二维玛是为了鉴别绿玛，万一哪一趟地铁出现了发热的那么谁扫了玛，谁玛就黄了，便于后续追踪隔离
