,comments
0,非洲也发展的不错啊
1,?
2,肯尼亚没有能力生产塑料袋，但是编织袋可以本土生产，既保护环境又增加就业
3,B站
4,哈哈哈
5,好贵
6,美国1300了
7,11月28号弹幕前来考古
8,这个不错啊
9,@朱一旦是被你送去非洲的吗
10,？？
11,保护好自己
12,感觉非洲不错哎
13,汇率的问题
14,好贵啊
15,感觉不错啊
16,值得学习
17,哇哦，那边有商机
18,中国也帮忙印度好多，但是他们可不还是对中国不咋好
19,一定要注意安全！
20,非州发展得可以了！
21,要小心啊
22,非洲农业不发达
23,牛逼
24,一旦
25,有没有老干妈啊
26,有汇率为什么不能比？
27,非洲消费水平真高，吃不起，吃不起
28,？？？？？？就这？？42？？？？？
29,声音呢
30,比美利坚好多了
31,美国一个国家就十几万
32,你好
33,朱一旦派过来的
34,我们这40RMB两人份大盘鸡，还送面
35,排面
36,高中地理
37,注意安全
38,注意安全
39,不错啊
40,恕我直言把国外物价和国内物价对比的人真的chun逼
41,小哥别紧张，注意安全，加油
42,注意安全，健健康康地回家！
43,人家还没出门啊……带什么口罩嘛
44,注意安全啊
45,加油非洲！
46,好贵，这里也就5块钱
47,马哥注意安全
48,食品包装袋不是塑料吗
49,就这这样的朴实无华且相当枯燥
50,脖子旋转180
51,对那边而言就是进口的
52,看起来很不错诶
53,注意安全呀
54,咱这三线小城差不多这样
55,说基建不错的，这是首都
56,注意安全，保护好自己
57,这个逼是说错了吧，一斤是42吧
58,比不靠谱，靠谱多了
59,做好防护呀
60,前旦哩旦哩记者
61,禁塑确实不错啊！不过外卖怎么办？只能用纸盒吗？
62,这么贵
63,有点贵
64,排面
65,下一个不应该是印度吗
66,加油
67,好评
68,就这个篮子，就值个赞
69,你喘什么
70,贵
71,上央视紧张了
72,紧张吗
73,注意安全
74,注意安全
75,富人区
76,？？？？？
77,这个超好
78,进口的嘛
79,1肯尼亚先令=1/15元
80,环保有屁用
81,说了啊42人民币
82,小时候也是挎着篮子去买东西
83,一团轮廓，融为一体
84,我右耳聋了？？？
85,你也姓马？？
86,比特朗普强多了
87,感觉有些地方防护做的比中国还好
88,贵
89,好贵
90,非洲都比美国明白事
91,挺好
92,禁塑挺好
93,这跟国内好像啊
94,这个对焦。。
95,我的妈呀，贵的离谱
96,卢旺达饭店的那个卢旺达？
97,个人可以做得更好看一些
98,好评
99,还行
100,手上是今晚的食材
101,？？？
102,加油
103,吼吼吼
104,注意安全
105,42可以买肉了
106,从朱一旦投币视频过来的
107,好
108,朱一旦
109,比美国的措施好多了
110,说丁俊晖的你别走
111,妖娆
112,禁塑很好诶
113,给你报销吗？
114,好漂亮的花啊
115,我这也就2块钱
116,这是B站特供的素材吧
117,比美国好
118,这吃了会变超级玛丽？这么贵
119,？？？
120,塑料要用石油，而且难以降解，我喜欢那个篮子
121,不要低估非洲
122,？？？？？？？？？？？？
123,这么贵
124,你好
125,中国幫非洲建设，建築当然像
126,肯尼亚的基建很多都是中国帮忙修的
127,很明显她是女生啊
128,好看！
129,有一说一，就算是我们这进口的调料也没那么贵，例如椰浆
130,注意安全
131,大超市！！能和中国的小超市比？
132,有点6线城市的味道了
133,感觉环境与防疫工作都做得不错
134,注意安全
135,辣条
136,服了 真贵 
137,。。。。。
138,超市很危险
139,你好口罩呢 戴起
140,注意安全吧
141,？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？
142,卢旺达今年准备去，但疫情去不了！
143,左边开车！
144,绝地是富人区
145,注意安全
146,我这里湿香菇几块钱一斤
147,肯尼亚禁塑？整得挺好
148,肯中超市，我去过
149,飞起的鬓角有点意思
150,心系非洲
151,禁塑好棒！
152,从蛋总那里过来的。最近投币的视频
153,像你家吧，怎么像中国呢
154,国内4.2
155,好贵
156,这个可以，
157,可以做成干花卖，还能捐到医院送给病人啊
158,帅哥辛苦了
159,妖娆
160,相机拿反了
161,这也太贵了
162,条件还可以，防护挺好的
163,注意安全
164,辛苦了
165,建议推广学习
166,我觉得这应对的不错啊
167,保护好自己
168,他们好高呀
169,都说了是去中国超市
170,这么少的人 说明当地老百姓根本不会来这里购物
171,怎么感觉比印度好昂 啧不科削
172,这是富人区吧
173,感谢一线人员，注意安全
174,这是非洲比较有钱的地方啊
175,？？？
176,禁塑料？很环保
177,保安腿好长
178,发型暴露了好久没出门的事实
179,小哥如果你是被朱一旦逼迫去的，就眨眨眼
180,气不够吗？
181,注意安全
182,注意安全
183,富人区？
184,42人民币买这点菇？？
185,房子是我们去建造的，你说为什么像…
186,内罗毕是首都正常
187,人家禁塑好多年了
188,禁塑料绝对不会
189,真贵
190,?
191,42奢侈品
192,666
193,什么物理是地理
194,好贵的蘑菇
195,禁止塑料好评
196,欧美和他们比想个弱鸡，
197,注意安全
198,非洲物价恐怖
199,怎么会这么贵
200,朱总那里来的
201,注意安全，保护好自己啊！
202,这是人家首都，肯定不错啊
203,被白左忽悠瘸了
204,三四个蘑菇42？一个十块…
205,太贵了吧
206,所谓不发达的地区物价未必便宜 比如金边
207,想要这个篮子
208,战术跳眼皮
209,你好
210,立白洗衣粉吗
