,comments
0,盖茨要是中国人受到的待遇是不同的，将受人赞美
1,我只想问W11什么时候出
2,手
3,动手
4,比尔盖茨为什么选择新冠病毒流行作为研讨依据呢？这个是美国人怀疑的原因～不过说比尔盖茨想统治地球这个说法，应该还没有依据吧
5,那些说格局没他高的人只是钱还不够多
6,这个问题真是一针见血
7,基本上是有共同利益的，共同合作结果也可共享，利大于弊的
8,基金会从来就不是慈善
9,呵呵呵呵
10,7月已超过300万，死亡13万
11,不检查人数就不会增加
12,老白
13,预言家
14,同声传译，比较高难度的一种重要场合翻译
15,Ironic 
16,6月10日 200万
17,200
18,美国是不是想要借此实现人口优化？
19,人家能了解的这么透彻对武汉目前情况的基本已经够了解用心了，还能有什么刺挑，我是觉得有诚意的
20,感谢
21,人家是企业家、慈善家，政治方面不掺和
22,不是那得是什么动机什么心态好歹得想想比尔盖茨的为人吧就直接断定黑他
23,根本没有因果关系就是扯淡
24,谢谢！大佬
25,美国人疯了。
26,为什么老让别人来中国？你都喜欢呆在自己国家，比尔盖茨就不想在自己家呆着吗？
27,带预言家
28,我不喜欢听盖茨说英文，因为我在开车，还得费心去看字幕。。
29,谢谢比尔盖茨
30,谢谢大佬
31,花大钱了，还要被美国的蠢货攻击
32,盖茨先生做到了达则兼济天下的思想
33,哈哈哈哈哈脑洞太大
34,他回答了，就是提出警告希望能做好面对大瘟疫的准备减少损失，可以他面对的是懂王。
35,不会吧。。。都2020年了还有人不知道中国依旧是发展中国家吗？
36,有几秒钟延迟吧，机器翻译+人红核查
37,录播，剪辑，还同声传译？
38,公鸡会
39,？？？？？
40,像面试官问问题
41,老马的格局不行
42,人类不感谢逻辑
43,有同步翻译的
44,这是多寒心啊，
45,牛
46,战术喝水
47,从这句  yes is OK  就值得点赞
48,移民来中国吧
49,老手风琴大师
50,盖茨法师专业手势
51,150W了
52,穷则独善其身，达则兼济天下
53,我的妈呀这都什么脑回路啊不后悔不听盖茨的预测反而要怪盖茨
54,中国方方面面都达到了发达国家水平，除了人均。。。。
55,怎么总觉得他全程好几句话都是中国不是发展中国家的意思
56,这样的问题。。。他怎么可能正面回答，美国已经有很多人对他不满了
57,科磨还算不错吧，最起码他正视疫情了
58,不愧是世界首富，有这样的眼光和预测能力
59,我觉得就算是这样幕后黑手也不该是比尔盖茨啊，狼人悍跳预言家给自己打成焦点牌？
60,居安思危
61,如果是中国，我们会后悔没听当年的预测，现在美国说他是灭霸
62,你要是会说中文那该多好呀！听起来好费劲
63,现在快俩百万了
64,机翻的笑死我了
65,都5G你还怀疑不是直播？
66,盖茨，马云等都是人类历史中的伟大人物。
67,盖茨真是太难了
68,是眼光和格局
69,盖茨已经是慈善家了
70,复习错题抄一次提成
71,饱和式研发，他是真的心怀天下民生。
72,人类的技术根本没这水平
73,太超前了，别人就把你当怪物
74,←你在外国能天天看到中国新闻
75,150w了
76,讲科学的在美国混不下去了
77,远见卓识 可惜美国没有听
78,知道为什么采访他吗 因为想让他夸夸中国
79,一看就是阴谋论
80,战术后仰
81,美国自己灭自己
82,参见微软创始人！
83,140W
84,1亿人了
85,5g无延时传送？
86,歧视问题没人敢乱答的，兄弟
87,就算盖茨有几百亿，但是几十亿的花费也不少啊
88,保护伞公司崛起~~~233
89,是完了小岛秀夫的游戏了吧
90,上百万了
91,中国话意义太多，翻译错了很正常
92,盖茨被世界上很多蠢猪骂惨了
93,谢谢
94,语序不一致
95,愚蠢的民众，哎，归根结底还是反智教育和无良媒体害的
96,你们注意内容好不好？不要再那么延迟了
97,好惨
98,中国是发展中国家是因为入口太多了
99,上传B站前  up主经过剪辑了吧？
100,活久见。。。。
101,？？？？？？
102,前排提示：这期的《新闻1+1》不是直播
103,200万了
104,那些人是写小说的吗？
105,120万了
106,不是直播，我在现场
107,为什么他要写信？难道他不用QQ邮件吗？
108,保护
109,说错了，是
110,节目不是后期处理的
111,是现场连线，但节目不是直播
112,、
113,微软的中英文实时互译系统很强的
114,直径
115,一方奸诈势力要想亲近某方，必须要示好，影响大众口碑，更容易拉进人们距离，决不相信比尔盖茨
116,绝不相信比尔盖茨，索罗斯等人！！
117,绝不相信比尔盖茨，索罗斯等人！！！！！！！！！！！！
118,拍部电影吧
119,第三次冲击
120,113
121,节目不是直播，有剪辑的
122,来看盖茨院士
123,他话真多
124,是不是后补的字幕关你们什么事？
125,特朗普：你聪明，你就是罪人
126,盖茨太惨了
127,比尔盖茨：大哥请你说英文 我不是特都懂
128,看看主持人那个屏幕，理智思考
129,新闻一加一，这可是官方的，有必要骗你
130,前面的现在是五月份四月底已经100w了
131,Everyone on the planet
132,哎，老百姓太可怜了
133,私人问题，还容易被骂，人家绕过去没毛病啊
134,盖茨估计有，但不能说，怕引起民愤
135,能不能把重点放在讨论的内容？吵了多少分钟了，真醉了
