,comments
0,小红 小黄 和小小蓝！
1,美国人永远看不懂系列
2,文艺家庭
3,热干面它回来了
4,叔的声音
5,八月来啦，花生收了吗
6,叔
7,请收下我的膝盖
8,眼睛里面有星辰大海
9,辛苦了
10,重庆！
11,看到这，我居然想到了网上的那个:炒一本
12,我跟他已经五个月没见了
13,心酸
14,协和右手边一站路 就是同济医院
15,加油
16,这是武汉话
17,这个面特别是那个肉酱。
18,这个面特好吃。
19,复音口琴吧
20,这就是中国，这就是团结，这就是民族的力量
21,所以要好好珍惜
22,泪目
23,把这些视频应该让川普好好看看
24,加油
25,叔
26,闪亮的灵魂
27,这是武汉话
28,了不起的中国人
29,热烈祝贺雷神火神倒闭，关门大吉
30,今年 最迟明年 我真的要带我爸妈孩子老公再去趟武汉 上次没吃到豆皮！
31,热干面早上好！欢迎回来！！
32,我就说不像广州
33,背景音乐居然是往后余生
34,bgm：between worlds 
35,重庆排面
36,风琴呢，真怀念
37,泪目
38,大重庆！
39,万物复苏
40,武汉。你终于好了
41,好美 我以后一定要去看一次
42,对啊对啊！
43,金银潭
44,叔！
45,楚河汉街！
46,这是武汉话
47,敬畏生命吧，每一个频繁岗位上的工作人员都不容易。
48,人民万岁
49,人民万岁
50,老计
51,泪目
52,丧失危机吗？
53,哇二号线
54,整整齐齐，哈哈哈哈对不起眼泪都出来了结果我笑了
55,哈哈哈哈哈
56,辛苦啦
57,武汉挺过来了！
58,我料青山多妩媚
59,疫情面前不低头
60,封城是一件人类壮举
61,听到叔了
62,这口音，重庆人吧
63,武汉也有天河
64,哈哈哈奶茶真实
65,英雄的人民
66,泪目
67,团结
68,泪目
69,万能的扎带
70,蔡林记的热干面
71,蔡林记的热干面
72,泪目
73,武汉，我们感谢你
74,诗一样的回答
75,中国加油
76,英雄
77,是我泪点太低了吗
78,哭了
79,重庆的
80,中国人民都是最棒的
81,此生无悔入中华
82,医院绝对不能私有化
83,一切都会好起来的
84,一下就想哭了
85,重庆！
86,真棒我们都是最棒的
87,烤冷面内个，我学校门口的不出摊了
88,嗨，难受
89,啊，我饿了
90,BGM是什么
91,黄字病句
92,重庆终于有牌面了！！！！
93,第一批援鄂医疗队来自重庆，好兆头。重庆，庆祝重生！
94,对的
95,祝福
96,谢谢啊
97,谢谢啊
98,重庆啊啊啊
99,BGM:between worlds不用谢我
100,感谢大家
101,幸苦啦
102,？？？叔、
103,对啊对啊
104,重见人间烟火，也许这就是生活，有点想哭。
105,今天买了一袋烤冷面，自己在家做
106,威海+1
107,哭了
108,英雄的城市，英雄的人民！
109,这个星球上最伟大的国家
110,这个伟大的国家
111,热干面！！！
112,武汉雄起
113,珍惜来之不易的平凡
114,越来越好
115,这句话太亮了！
116,真就嗷嗷团结呗
117,感恩
118,泪目
119,推动历史发展的永远是人民
120,泪目
121,哈哈，熟悉的大叔
122,不容易啊
123,都不容易
124,武汉之下，樱花盛开。
125,出门，看一下天，踩一下地，泪目
126,这是中国，中华民族的磅礴力量
127,2020的春节是很有意义的一年
128,是啊，父母健全真的，很幸福的
129,你想的倒蛮美
130,花更遗憾
131,七十多天的努力
132,哈哈哈哈哈哈哈
133,哈哈哈
134,鼻子开始酸了
135,哈哈，这确实太好了＼(^▽^)／！
136,开头就饿了
137,这是生命的厚度宽度长度的表现呢(๑>؂<๑）
138,武汉能开城，好，真好，太好了
139,重庆春节当晚就开始集结
140,国外是永远做不到的
141,协和医院！
142,深夜放毒，哈哈哈，为啥想哭
143,可爱的大家
144,感恩  泪目
145,谢谢
146,囍
147,英雄们辛苦了，全国人民也都辛苦了，
148,闪亮的灵魂一下戳中我的泪点T_T
149,过分了     泪目
150,无论什么时候都不能忘了种地
151,谢谢你们
152,Bgm是什么 好感动
153,叔？
154,了不起的普通人是英雄啊
155,武汉人民英勇！中国人民万岁！
156,重庆！！！
157,泪目( Ĭ ^ Ĭ )
158,bgm太煽情了 泪目
159,伟大的中华儿女 伟大的中国
160,谢谢大家的付出！
161,真得不容易啊
162,广州
163,豆皮！
164,叔
165,我想起了某个舞蹈
166,你斯辣里楞
167,开心
168,泪目
169,致敬
170,谢谢
171,泪目( Ĭ ^ Ĭ )
172,爱你们
173,流浪地球里也有这个  咚 咚 咚 的片段
174,幸福着也感激着
175,这盛世，如你所愿
176,英雄的人民
177,闪亮了灵魂！哭了……
178,百万剪辑，自愧不如
179,没有什么华丽的修辞，没有用什么煽动性的话语，就只是记录者真实的感谢，却让人忍不住落泪了
180,眼睛里进原子弹了
181,内牛满面
182,平凡得来不易，要更加珍惜
183,感动
184,感谢有你们
185,好美
186,生命的力量
187,郎平扣球！~
188,仁者无敌，厚德载物，自强不息，中国雄起
189,辛苦了
190,这是日记爱好者们看不到的
191,我也要哭了!
192,开口就饿了
193,热干面
194,叔是你吗叔？
195,热乎的
196,都过去了，春天来了
197,谢谢你们
198,加油
199,创造出不平凡的平凡才是真正的伟大
200,眼眶在眼泪里打转
201,闪亮的灵魂！
202,英雄从来都是在人群之中
203,我也好饿啊
204,太棒了
205,谢谢你们
206,谢谢
207,海棠吗？？
208,武汉太棒了，谢谢你们的付出
209,这人间仍充满着爱
210,你们是最美的风景！
211,泪目
212,谢谢
213,妙啊
214,为什么穿着美团骑饿了么？？？
215,泪目
216,为重庆打call！！！
217,为啥开头就有点泪目
218,天下兴亡，匹夫有责
219,环境变好了
220,很欣慰
221,中国加油！
222,世界加油
223,我也饿
224,武汉必胜！祖国万岁！！
225,为你们点赞！
226,为什么弹幕这么少
227,泪目
228,哭了
229,学校门口的烤冷面，我想死你了
230,我眼睛里怎么进了沙子
231,这两个月最不容易做到的是憋着不哭
232,重庆有排面了
233,广州
234,广州
235,我家娃宅家期间钢琴水平真的是突飞猛进，笑哭
236,真不容易啊
237,哈哈哈哈哈哈哈草
238,哈哈哈
239,加油中国
240,我大重庆，泪目
241,谢谢你们
242,这个声音是大力吗
243,谢谢你们
244,泪目
245,疫情让我们更团结
246,平静的叙述 有时能给人更大的震撼
247,谢谢你们
248,致敬
249,谢谢
250,这口音听着好亲切
251,泪目
252,威海+1
253,谢谢你们
254,我馋了，热干面加油
255,但民警们，每年春节都回不去，因为正是人流高峰，要保证安全
256,致敬
257,感动的泪水，从嘴角流了下来
258,棒棒哒！
259,真好
260,美团打钱
261,我也是哈哈哈
262,8分钟2000播放你们住在b站啊
263,穿美团衣服带饿了么箱子
264,泪目
265,我饿了
266,.
267,373
268,1
269,谢谢你们
270,谢谢你们
271,落泪 哽咽 为乘客而着急
272,太不容易 了
273,道理我都懂，为什么穿着美团骑着饿了么
274,威海------汉口
275,谢谢
276,武汉雄起！
277,泪目
278,武汉加油ヾ(◍°∇°◍)ﾉﾞ
279,来了
